feature,ADHD_mean,Control_mean,ADHD_median,Control_median,p_value,cohen_d,abs_effect_size
Fp1_delta_power,29083.677279743806,39051.3885802744,23740.38062382805,22515.075052475815,0.627882233364901,-0.2722257010167482,0.2722257010167482
Fp1_theta_power,6843.752101342952,6935.1993012877965,5548.236634822594,5369.722114323971,0.5880014527289549,-0.017528594324440868,0.017528594324440868
Fp1_alpha_power,1840.1515797191498,1872.4610611937505,1728.7510701174283,1517.8169156407675,0.31082900141780523,-0.027780496566235182,0.027780496566235182
Fp1_beta_power,2674.867345521593,2686.9234843984236,2370.0119521991755,2159.5112925298067,0.3909133265945861,-0.006118663966697634,0.006118663966697634
Fp1_theta_beta_ratio,2.9731939639527263,3.0011970378107704,2.2351620646191543,2.882084781487108,0.605984223722458,-0.015065269528919624,0.015065269528919624
Fp2_delta_power,35878.32618777066,35522.40568577323,25414.933946839144,20515.226704661767,0.22411352343059665,0.008278733490828924,0.008278733490828924
Fp2_theta_power,7447.237381429042,6415.020546965377,5357.057805135672,4542.158860195161,0.11325497878190051,0.16499395383976995,0.16499395383976995
Fp2_alpha_power,1911.2518973761669,1903.2656199424791,1652.5037212133066,1440.3511534570157,0.22018715962691782,0.005292069775432357,0.005292069775432357
Fp2_beta_power,3251.5718288994426,3089.0436061202804,2672.5551558154875,1911.4497763892705,0.008386615072067772,0.0491671213102978,0.0491671213102978
Fp2_theta_beta_ratio,2.7627891730612997,2.6954103773364153,2.080962305085668,2.521402473502432,0.6726593478635974,0.03628194902814274,0.03628194902814274
F3_delta_power,14752.05646304467,28400.901553276923,10627.51568243068,13711.041549815052,0.23414774579883546,-0.4486370825251609,0.4486370825251609
F3_theta_power,4820.700610906977,5890.649824580949,4582.673838094758,3961.618235306278,0.42919530044034926,-0.2276502501265825,0.2276502501265825
F3_alpha_power,1853.8567701507445,1914.5272944342603,1631.1323397726007,1516.5688783004289,0.12175659682217904,-0.04397080606301657,0.04397080606301657
F3_beta_power,1983.9594453413363,2010.9473416097785,1731.0604234643004,1580.490883379543,0.23414774579883546,-0.01615355089887364,0.01615355089887364
F3_theta_beta_ratio,2.643646693357789,3.4170417633671453,2.427796322102603,2.95207791078321,0.07495735312598147,-0.4237178114005154,0.4237178114005154
F4_delta_power,17554.330739761604,23687.025345297494,11897.076453358237,11929.68520362706,0.8539866319047035,-0.20905742692545812,0.20905742692545812
F4_theta_power,4820.233495897345,4973.650321830155,4373.33697617707,3333.1354684768776,0.09661471704711366,-0.04275187377082606,0.04275187377082606
F4_alpha_power,1897.1617520314087,1854.96733538963,1708.3153701258009,1349.5375848101226,0.021793524932119918,0.02787515880365147,0.02787515880365147
F4_beta_power,2417.502842281334,2254.8921114262275,2081.2246930801844,1482.8708649188075,0.0016955473350843654,0.06009785682421407,0.06009785682421407
F4_theta_beta_ratio,2.2683256435060954,2.8521241478223383,2.14045906054012,2.7510589048016465,0.0456672672858111,-0.4507835775594994,0.4507835775594994
C3_delta_power,16207.810695321828,28320.022512464067,9348.041897647978,12493.463640236929,0.052206006553390485,-0.3537868912680459,0.3537868912680459
C3_theta_power,4800.69949648964,5811.391300942016,4345.933556565925,4130.127866981611,0.37675963077870567,-0.2355803208571896,0.2355803208571896
C3_alpha_power,2689.813499588998,2721.2553218998396,2135.5913179746576,1808.2523589009065,0.06164309391577456,-0.012172109766389917,0.012172109766389917
C3_beta_power,1803.7364090326626,1759.159566423629,1607.0973813125504,1412.3386600946437,0.02965156267993257,0.02831177571284087,0.02831177571284087
C3_theta_beta_ratio,2.945134119858168,3.7192431490086073,2.6198151530271945,3.045339463617048,0.09557887774268774,-0.43035779977889776,0.43035779977889776
C4_delta_power,15009.519980400863,22912.606555555903,10533.59756612934,10858.235332110558,0.825619901733847,-0.26930795757603676,0.26930795757603676
C4_theta_power,4517.745073424119,5112.732474023531,4144.843548810102,3388.2538275892275,0.04854850887498887,-0.14407068998421116,0.14407068998421116
C4_alpha_power,2659.7434409246416,2734.1259584386885,1867.7037467724492,1528.0318019797364,0.07327831926558687,-0.024786161526912244,0.024786161526912244
C4_beta_power,1898.1359315359502,2062.4917518188354,1741.616549714635,1241.250883872475,0.00559048540782547,-0.059325939956150466,0.059325939956150466
C4_theta_beta_ratio,2.7246714334526763,3.125903682106378,2.5666998318297884,2.4833491870810174,0.17853998805199656,-0.24247722076476583,0.24247722076476583
P3_delta_power,13475.087599907087,29169.204759165168,8061.920553110442,12830.660752158472,0.01132801027470897,-0.47870544661191516,0.47870544661191516
P3_theta_power,4432.720265918578,6201.094317347836,4061.906237631773,3748.555687523217,0.8054941831181234,-0.32074654663258817,0.32074654663258817
P3_alpha_power,2448.0692836820936,2618.6753535091475,2153.994435513652,1627.0507745313466,0.049142709729841555,-0.07170889862017815,0.07170889862017815
P3_beta_power,2120.845289568559,3095.6286088748466,1916.2942788660048,1835.59988694718,0.1687076087793703,-0.19139774060112105,0.19139774060112105
P3_theta_beta_ratio,2.263024539881168,2.8411199829661435,1.998557090061964,2.330747147930382,0.20870476563367135,-0.3841520340855936,0.3841520340855936
P4_delta_power,12877.773793220838,23625.29064886207,9456.967320556068,10543.746704952773,0.4413988619803719,-0.3576001986279701,0.3576001986279701
P4_theta_power,3941.5047137794813,5288.646164545003,3565.671804309424,3114.9737123055143,0.23824926543288216,-0.28297880525052166,0.28297880525052166
