feature,p_value,cohen_d,abs_effect_size,p_fdr
temporal_theta_beta_ratio,0.0004993637606264614,-0.7174489872783841,0.7174489872783841,0.021972005467564303
T7_theta_beta_ratio,0.0022821709300749633,-0.6572923977183178,0.6572923977183178,0.03347184030776613
Pz_theta_beta_ratio,0.00918766670476481,-0.6376295945948063,0.6376295945948063,0.08085146700193033
P7_theta_beta_ratio,0.002166731816550273,-0.5955885720185198,0.5955885720185198,0.03347184030776613
parietal_delta_power_mean,0.03692567797572172,-0.53398134704774,0.53398134704774,0.17526352467686235
O1_theta_beta_ratio,0.06609926921372508,-0.5054812562363706,0.5054812562363706,0.18987232231667642
occipital_theta_beta_ratio,0.07001253343400067,-0.4836614147678822,0.4836614147678822,0.18987232231667642
T8_theta_beta_ratio,0.0324822273713568,-0.47891732023486205,0.47891732023486205,0.17526352467686235
occipital_delta_power_mean,0.005415016580789667,-0.4776149484632055,0.4776149484632055,0.059565182388686334
F4_theta_beta_ratio,0.0456672672858111,-0.4507835775594994,0.4507835775594994,0.1826690691432444
Fz_theta_beta_ratio,0.0393350547481049,-0.44736052110107716,0.44736052110107716,0.17526352467686235
P4_theta_beta_ratio,0.19766266093464124,-0.4453774859697381,0.4453774859697381,0.2999019683146281
parietal_theta_power_mean,0.49871051625845975,-0.4312351143265938,0.4312351143265938,0.5774542819834797
C3_theta_beta_ratio,0.09557887774268774,-0.43035779977889776,0.43035779977889776,0.20026050574658383
parietal_theta_beta_ratio,0.06236803343344608,-0.42955546308814724,0.42955546308814724,0.18987232231667642
F3_theta_beta_ratio,0.07495735312598147,-0.4237178114005154,0.4237178114005154,0.18987232231667642
temporal_delta_power_mean,0.081990321000383,-0.41138489358904407,0.41138489358904407,0.18987232231667642
O2_theta_beta_ratio,0.12943389287613205,-0.40525613603681343,0.40525613603681343,0.2588677857522641
P3_theta_beta_ratio,0.20870476563367135,-0.3841520340855936,0.3841520340855936,0.30610032292938466
F7_theta_beta_ratio,0.08018376184577798,-0.3749106116785302,0.3749106116785302,0.18987232231667642
central_delta_power_mean,0.34675241479237806,-0.36833424586243785,0.36833424586243785,0.46945605172017685
P8_theta_beta_ratio,0.07580857806710851,-0.36473713660830664,0.36473713660830664,0.18987232231667642
temporal_theta_power_mean,0.4663928297751192,-0.36119779854956163,0.36119779854956163,0.562203316726797
frontal_delta_power_mean,0.8907323072777829,-0.3557387945600015,0.3557387945600015,0.9114470120981963
central_theta_beta_ratio,0.15472892348537853,-0.3504577249269984,0.3504577249269984,0.26440145674142584
occipital_theta_power_mean,0.1488061613108939,-0.31550005336917586,0.31550005336917586,0.26440145674142584
Cz_theta_beta_ratio,0.1430580817610968,-0.2759700927218045,0.2759700927218045,0.26440145674142584
frontal_theta_beta_ratio,0.17031750185601735,-0.26665405985281804,0.26665405985281804,0.2775544474690653
C4_theta_beta_ratio,0.17853998805199656,-0.24247722076476583,0.24247722076476583,0.2805628383674232
F8_theta_beta_ratio,0.4352724022323413,-0.2263198673995007,0.2263198673995007,0.5549014264896105
parietal_beta_power_mean,0.4413988619803719,-0.21204986546321586,0.21204986546321586,0.5549014264896105
central_theta_power_mean,0.24031893712471752,-0.1995660606918595,0.1995660606918595,0.34109784624153455
frontal_theta_power_mean,0.3520920387901326,-0.10921210402705801,0.10921210402705801,0.46945605172017685
central_beta_power_mean,0.015369685466219016,-0.10859225393938383,0.10859225393938383,0.11271102675227279
parietal_alpha_power_mean,0.5458814110939693,-0.10803398142712484,0.10803398142712484,0.6158662073880679
temporal_alpha_power_mean,0.47276187997480656,-0.08852448812180212,0.08852448812180212,0.562203316726797
occipital_alpha_power_mean,0.9235959105614805,0.050434602941820075,0.050434602941820075,0.9235959105614805
occipital_beta_power_mean,0.7031820729242639,0.04735779168554054,0.04735779168554054,0.736666933539705
Fp2_theta_beta_ratio,0.6726593478635974,0.03628194902814274,0.03628194902814274,0.7218783245365435
frontal_beta_power_mean,0.0547701862442699,0.035712209854513434,0.035712209854513434,0.18987232231667642
frontal_alpha_power_mean,0.15623722443811527,-0.035181639624454364,0.035181639624454364,0.26440145674142584
central_alpha_power_mean,0.09053236299298399,-0.021074128250996124,0.021074128250996124,0.19917119858456478
Fp1_theta_beta_ratio,0.605984223722458,-0.015065269528919624,0.015065269528919624,0.6665826460947037
temporal_beta_power_mean,0.03983261924474144,-0.010078973339346818,0.010078973339346818,0.17526352467686235
