,frontal_delta_power_mean,frontal_theta_power_mean,frontal_alpha_power_mean,frontal_beta_power_mean,frontal_theta_beta_ratio,central_delta_power_mean,central_theta_power_mean,central_alpha_power_mean,central_beta_power_mean,central_theta_beta_ratio,parietal_delta_power_mean,parietal_theta_power_mean,parietal_alpha_power_mean,parietal_beta_power_mean,parietal_theta_beta_ratio,temporal_delta_power_mean,temporal_theta_power_mean,temporal_alpha_power_mean,temporal_beta_power_mean,temporal_theta_beta_ratio,occipital_delta_power_mean,occipital_theta_power_mean,occipital_alpha_power_mean,occipital_beta_power_mean,occipital_theta_beta_ratio
frontal_delta_power_mean,1.0,0.6846633247527435,0.40987671047283564,0.2962606692860046,0.4596938084270424,0.7368310527028857,0.45493835523641785,0.15463351849342907,0.24045522286952986,0.2794878742717789,0.6766766020864382,0.5095447771304701,0.296064218940523,0.3786072347920336,0.22347242921013413,0.5539832001083864,0.5127421758569299,0.36225443706814797,0.24791356184798807,0.30662511854762226,0.6605608996070993,0.5011380571738246,0.3472564693131012,0.32915594092941336,0.23540848123560493
frontal_theta_power_mean,0.6846633247527435,1.0,0.7166305378674976,0.5481642053922233,0.46733504945129384,0.47629724969516324,0.7778417558596397,0.36099444519712776,0.48711556699634195,0.28578105947703564,0.451984825904349,0.7250846768730524,0.4910648963555074,0.598225172740821,0.18522557918981167,0.27106760601544505,0.6601205798672266,0.5238043625524996,0.41209185747188726,0.2789662647337759,0.4359368649234521,0.5392561983471075,0.505256740279095,0.4489635550738382,0.1698889039425552
frontal_alpha_power_mean,0.40987671047283564,0.7166305378674976,1.0,0.650386126541119,0.09478390461997019,0.24545454545454545,0.5859368649234521,0.7431919794065844,0.6579799485164611,-0.07663595718737298,0.24148489364584744,0.5144560357675112,0.8272456306733504,0.6930768188592331,-0.1261278959490584,0.11060154450616448,0.4377252404823195,0.8086302669015039,0.5336946213250237,-0.041898116786343316,0.24331391410377998,0.3914307004470939,0.6868581493022625,0.4361942826175315,0.010777672402113535
frontal_beta_power_mean,0.2962606692860046,0.5481642053922233,0.650386126541119,1.0,-0.4028790136837827,0.2058596396152283,0.4664205392223276,0.44695163257011244,0.7480558189947162,-0.3035090096192928,0.1557038341688118,0.37240888768459557,0.5068080205934156,0.7742446822923723,-0.34579325294675517,0.08578783362687982,0.31573635008806394,0.4587996206476087,0.7019238585557512,-0.27491532312694755,0.2021270830510771,0.28239398455493836,0.49455358352526757,0.5574041457797047,-0.1730117870207289
frontal_theta_beta_ratio,0.4596938084270424,0.46733504945129384,0.09478390461997019,-0.4028790136837827,1.0,0.3730050128708847,0.32277469177618207,-0.07671724698550332,-0.247493564557648,0.6596396152282888,0.37067470532448177,0.37632434629454004,-0.005134805581899471,-0.1421758569299553,0.6012803143205527,0.2750101612247663,0.39792711014767645,0.09743937135889445,-0.24829968838910715,0.622144695840672,0.28786749762904756,0.2936593957458339,0.035794607776724024,-0.08093754233843653,0.4074922097276792
central_delta_power_mean,0.7368310527028857,0.47629724969516324,0.24545454545454545,0.2058596396152283,0.3730050128708847,1.0,0.5488077496274217,0.10359707356726731,0.28039561035090094,0.3317504403197399,0.832834304294811,0.6336472022761144,0.26700989025877253,0.3683037528790137,0.3477103373526622,0.73301043219076,0.6643950684189134,0.37325565641511993,0.3175856929955291,0.4087115566996342,0.7876981438829427,0.6490041999729034,0.33135753962877657,0.18131012057986723,0.47485435577834983
central_theta_power_mean,0.45493835523641785,0.7778417558596397,0.5859368649234521,0.4664205392223276,0.32277469177618207,0.5488077496274217,1.0,0.48087657498983877,0.5920742446822924,0.3681343991329088,0.3975545319062458,0.746030348191302,0.4781398184527842,0.514591518764395,0.2792372307275437,0.3531838504267714,0.7621663731201734,0.5642663595718738,0.4614415390868446,0.3524996612925078,0.3934764937000406,0.5582576886600732,0.4646524861129928,0.2927855304159328,0.2961251862891207
central_alpha_power_mean,0.15463351849342907,0.36099444519712776,0.7431919794065844,0.44695163257011244,-0.07671724698550332,0.10359707356726731,0.48087657498983877,1.0,0.7021203089012329,-0.26850697737433954,-0.023181140766833763,0.24733775911123154,0.7998645170031161,0.5123357268662783,-0.2634466874407262,0.01684053651266766,0.24893645847446144,0.7662105405771575,0.49685679447229375,-0.19846226798536784,-0.013385720092128437,0.1655669963419591,0.4968093754233844,0.2782278824007587,-0.08008399945806802
central_beta_power_mean,0.24045522286952986,0.48711556699634195,0.6579799485164611,0.7480558189947162,-0.247493564557648,0.28039561035090094,0.5920742446822924,0.7021203089012329,1.0,-0.4539764259585422,0.11882536241701666,0.36558054464164746,0.6046741633924942,0.7894187779433681,-0.3952919658582848,0.12465113128302398,0.36981438829426905,0.6016528925619835,0.7123560493158109,-0.23405365126676603,0.13947297114212168,0.2560831865600867,0.48026690150386125,0.5186831052702886,-0.15985638802330307
central_theta_beta_ratio,0.2794878742717789,0.28578105947703564,-0.07663595718737298,-0.3035090096192928,0.6596396152282888,0.3317504403197399,0.3681343991329088,-0.26850697737433954,-0.4539764259585422,1.0,0.3606015445061645,0.40380707221243733,-0.13578105947703564,-0.2990109741227476,0.8299281940116515,0.27495596802601274,0.3989025877252405,-0.04093618750846769,-0.2756672537596532,0.6808630266901504,0.3365871833084948,0.3629047554531906,-0.010052838368784718,-0.26161766698279365,0.5810188321365669
parietal_delta_power_mean,0.6766766020864382,0.451984825904349,0.24148489364584744,0.1557038341688118,0.37067470532448177,0.832834304294811,0.3975545319062458,-0.023181140766833763,0.11882536241701666,0.3606015445061645,1.0,0.7447635821704376,0.29605744479067875,0.3579460777672402,0.470681479474326,0.7109131553989975,0.6310797994851646,0.3272524048231947,0.20438287494919388,0.46287088470396964,0.876602086438152,0.7013751524183715,0.36721311475409835,0.20639479745291966,0.4695569706001897
parietal_theta_power_mean,0.5095447771304701,0.7250846768730524,0.5144560357675112,0.37240888768459557,0.37632434629454004,0.6336472022761144,0.746030348191302,0.24733775911123154,0.36558054464164746,0.40380707221243733,0.7447635821704376,1.0,0.5269136973309849,0.5516393442622951,0.49319875355642867,0.46005283836878474,0.7840807478661428,0.5046741633924943,0.3674027909497358,0.4439168134399133,0.6679108521880504,0.7842636499119361,0.5211895407126406,0.3404416745698415,0.43735943639073294
parietal_alpha_power_mean,0.296064218940523,0.4910648963555074,0.8272456306733504,0.5068080205934156,-0.005134805581899471,0.26700989025877253,0.4781398184527842,0.7998645170031161,0.6046741633924942,-0.13578105947703564,0.29605744479067875,0.5269136973309849,1.0,0.6819536648150657,-0.11719956645440997,0.14741227475951768,0.38275301449668064,0.8348326784988483,0.5052770627286276,-0.08241430700447094,0.2663257011245089,0.4486383958813169,0.747073567267308,0.3610892832949465,0.09194553583525268
