feature_1,feature_2,spearman_r,abs_spearman_r
parietal_delta_power_mean,occipital_delta_power_mean,0.876602086438152,0.876602086438152
parietal_alpha_power_mean,temporal_alpha_power_mean,0.8348326784988483,0.8348326784988483
central_delta_power_mean,parietal_delta_power_mean,0.832834304294811,0.832834304294811
occipital_delta_power_mean,occipital_theta_power_mean,0.8308156076412411,0.8308156076412411
central_theta_beta_ratio,parietal_theta_beta_ratio,0.8299281940116515,0.8299281940116515
frontal_alpha_power_mean,parietal_alpha_power_mean,0.8272456306733504,0.8272456306733504
frontal_alpha_power_mean,temporal_alpha_power_mean,0.8086302669015039,0.8086302669015039
central_alpha_power_mean,parietal_alpha_power_mean,0.7998645170031161,0.7998645170031161
central_beta_power_mean,parietal_beta_power_mean,0.7894187779433681,0.7894187779433681
central_delta_power_mean,occipital_delta_power_mean,0.7876981438829427,0.7876981438829427
parietal_theta_power_mean,occipital_theta_power_mean,0.7842636499119361,0.7842636499119361
parietal_theta_power_mean,temporal_theta_power_mean,0.7840807478661428,0.7840807478661428
frontal_theta_power_mean,central_theta_power_mean,0.7778417558596397,0.7778417558596397
frontal_beta_power_mean,parietal_beta_power_mean,0.7742446822923723,0.7742446822923723
central_alpha_power_mean,temporal_alpha_power_mean,0.7662105405771575,0.7662105405771575
central_theta_power_mean,temporal_theta_power_mean,0.7621663731201734,0.7621663731201734
frontal_beta_power_mean,central_beta_power_mean,0.7480558189947162,0.7480558189947162
parietal_alpha_power_mean,occipital_alpha_power_mean,0.747073567267308,0.747073567267308
central_theta_power_mean,parietal_theta_power_mean,0.746030348191302,0.746030348191302
parietal_delta_power_mean,parietal_theta_power_mean,0.7447635821704376,0.7447635821704376
frontal_alpha_power_mean,central_alpha_power_mean,0.7431919794065844,0.7431919794065844
frontal_delta_power_mean,central_delta_power_mean,0.7368310527028857,0.7368310527028857
central_delta_power_mean,temporal_delta_power_mean,0.73301043219076,0.73301043219076
temporal_delta_power_mean,temporal_theta_power_mean,0.7281872375016936,0.7281872375016936
frontal_theta_power_mean,parietal_theta_power_mean,0.7250846768730524,0.7250846768730524
frontal_theta_power_mean,frontal_alpha_power_mean,0.7166305378674976,0.7166305378674976
central_beta_power_mean,temporal_beta_power_mean,0.7123560493158109,0.7123560493158109
