feature,ADHD_mean,Control_mean,ADHD_median,Control_median,p_value,cohen_d,abs_effect_size,p_fdr
F4_theta_beta_ratio,1.601112164313155,2.509954783383739,1.4575911830041044,2.3189675893086577,0.00014935397224288274,-0.8528758857004723,0.8528758857004723,0.01792247666914593
temporal_theta_beta_ratio,1.514803055762635,2.2804883101962243,1.4194359269863617,2.1504266841256285,0.0008189423559851537,-0.7427716083464501,0.7427716083464501,0.04913654135910922
T7_theta_beta_ratio,1.7309334161466767,2.6401842653656677,1.586814590176292,2.112067133344218,0.0037258859200405385,-0.6488130899457075,0.6488130899457075,0.11177657760121616
T8_theta_beta_ratio,1.4420690340263138,2.097026200275184,1.300862400816749,1.7075343796320308,0.004839345490858495,-0.6021146800996351,0.6021146800996351,0.11614429178060387
P4_theta_beta_ratio,2.0275286311650893,2.7620308868704515,1.8589029739385483,2.410626217228836,0.0220931113827207,-0.5691486787866357,0.5691486787866357,0.15551706965488643
Pz_theta_power,2339.107146427733,3516.1687869550033,1936.8777995262965,2899.3966698450586,0.023013463392490337,-0.5669469614324595,0.5669469614324595,0.15551706965488643
P7_theta_power,1867.3880140452568,3034.608366520183,1646.6930747745678,2362.432318099598,0.0032072889566406135,-0.5401973645958384,0.5401973645958384,0.11177657760121616
parietal_theta_power_mean,2214.830153486039,3315.2621485874356,1968.3849111091452,2292.9606000204503,0.049142709729841555,-0.49845245671835664,0.49845245671835664,0.19100997246090679
frontal_theta_beta_ratio,1.7385797215444936,2.1834440885938706,1.665833851422902,2.074739069822506,0.02667873938536461,-0.4812582659730799,0.4812582659730799,0.1684973013812502
O1_theta_power,3054.8820510410933,4346.228172674732,2680.0451940125267,3037.222839582681,0.038355743626737146,-0.46009955334271785,0.46009955334271785,0.17482246554713288
F7_delta_power,9040.09933034319,14610.570282395845,6286.238216328156,8294.577105106455,0.059510019164281794,-0.44822403951807127,0.44822403951807127,0.20403435142039472
T7_theta_power,1651.247755540068,2382.032082784382,1463.1435788667136,1606.616163526523,0.06236803343344608,-0.4393093095463812,0.4393093095463812,0.2078934447781536
O2_theta_beta_ratio,1.4983518259692192,1.908450903355258,1.322366855502897,1.6372323529589203,0.035541273517592335,-0.43877328000752774,0.43877328000752774,0.17482246554713288
Fz_theta_beta_ratio,2.27575209633155,2.71526602898394,2.283631913704275,2.6373657547436906,0.0645852729885093,-0.43452377652128055,0.43452377652128055,0.20946575023300312
central_theta_power_mean,2072.2418252772213,2897.2729369557114,1816.9324810974613,2000.9493895266503,0.21439053614893144,-0.42582650920960924,0.42582650920960924,0.395797912890335
Pz_delta_power,7043.97890658529,11608.186585209345,4595.109692869667,5875.6897814546555,0.052837449363514796,-0.4253882536974476,0.4253882536974476,0.19100997246090679
P4_theta_power,2027.4777328968291,3374.52494173416,1748.731872988145,2053.160066699041,0.05411949219725692,-0.4179937160352113,0.4179937160352113,0.19100997246090679
F7_theta_power,2126.2256355377485,2885.906417119704,1730.593843042997,2077.4776530270124,0.047960353192599475,-0.41790020324574634,0.41790020324574634,0.19100997246090679
F3_theta_beta_ratio,1.8242752453252262,2.659356108200907,1.759141744261907,2.0266505630611995,0.02965156267993257,-0.41371169436176464,0.41371169436176464,0.16943750102818614
F3_delta_power,5554.156184937378,9214.659105989076,3873.519718681567,4141.790246637453,0.1255495214959195,-0.4125076181592603,0.4125076181592603,0.29541063881392826
occipital_theta_beta_ratio,1.575783960328429,1.9763251539777602,1.5532236284183771,1.698026282851783,0.13207489184983856,-0.411097668455105,0.411097668455105,0.3047882119611659
P7_delta_power,6522.646482898067,13191.072062382565,4044.388655034009,5433.063217549894,0.013309094688487396,-0.40886475460625216,0.40886475460625216,0.15551706965488643
Cz_delta_power,6356.163986821953,10281.146755009187,4040.121341241839,4779.568631250727,0.0515808870108686,-0.4086291545192462,0.4086291545192462,0.19100997246090679
Fz_delta_power,6868.109863160012,10831.011955867893,4338.616076913712,5641.959165349897,0.008133827838092718,-0.4066612631128705,0.4066612631128705,0.13781500057147214
temporal_theta_power_mean,1814.7691058476678,2417.785907462596,1708.8584887667917,1769.3728764894981,0.11683943951665723,-0.4046640583284296,0.4046640583284296,0.29541063881392826
F4_theta_power,2039.8746665773267,2634.756513131078,1817.862280639947,2219.7465383051585,0.20497545767146974,-0.3994499208389328,0.3994499208389328,0.3904294431837519
Cz_theta_power,2207.9515692060927,3531.221684054246,1983.8496035931523,2504.525882068605,0.038355743626737146,-0.39886916019553226,0.39886916019553226,0.17482246554713288
F8_theta_beta_ratio,1.9162348398450066,2.397342889107006,1.7186676641912937,2.061500121274978,0.020069196445101637,-0.3964506364958368,0.3964506364958368,0.15551706965488643
Fp2_theta_beta_ratio,1.5493008148248553,2.037629224495096,1.296792877809993,1.6894834000386008,0.05411949219725692,-0.3848861299507529,0.3848861299507529,0.19100997246090679
P7_alpha_power,1054.3258333076787,1356.1001727930036,867.6612559507178,1028.1393893376908,0.02063025579684606,-0.38021559094964547,0.38021559094964547,0.15551706965488643
occipital_theta_power_mean,3140.4529115452588,4081.7952202513607,2769.547343473569,3422.9491922034676,0.023327560448232965,-0.3751641776562091,0.3751641776562091,0.15551706965488643
central_theta_beta_ratio,2.2842462066172797,2.753119161466203,2.255458280761887,2.50777937241218,0.031650765724794756,-0.3738284933891869,0.3738284933891869,0.17264054031706233
P4_delta_power,7445.509838481199,12411.190017758587,5342.5388467854855,5381.784560149981,0.32847230728706056,-0.373080505930793,0.373080505930793,0.4866256404252749
O1_theta_beta_ratio,1.7832935310879507,2.2237135930347653,1.691591511146872,1.9253035714714384,0.2867290248653712,-0.3660889162207927,0.3660889162207927,0.44473942780328424
F7_theta_beta_ratio,1.7443849781511565,2.1114206510806097,1.622044603045151,1.8618916257623215,0.0393350547481049,-0.36455957308971,0.36455957308971,0.17482246554713288
P3_delta_power,7387.772522986498,11503.954657768762,4935.781024276199,5661.086341408667,0.12301082162196554,-0.35448607048340475,0.35448607048340475,0.29541063881392826
T7_delta_power,8776.275808817663,13737.331634532025,4387.277052343082,6681.783293385208,0.04346726262295438,-0.3426007739201424,0.3426007739201424,0.1862882683840902
parietal_delta_power_mean,8189.011289723274,12377.586610276083,6373.9216423574535,6099.7632616045075,0.24449621126969623,-0.33885712288913616,0.33885712288913616,0.4132330331318809
P3_theta_power,2174.566751899968,3721.780378569114,1966.7094327970267,1943.5840757799479,0.17031750185601735,-0.3380609572163046,0.3380609572163046,0.36496607540575143
temporal_delta_power_mean,10060.688372579536,14465.81148508585,6373.624100094503,8996.861011256759,0.10192930369610546,-0.33739837726628674,0.33739837726628674,0.2716153978451508
P7_theta_beta_ratio,1.4842963812188052,1.8846072062376358,1.342832394127063,1.4557442651698138,0.24240124545273478,-0.3321728818512368,0.3321728818512368,0.4132330331318809
frontal_delta_power_mean,9010.50683357917,12389.401350606147,6625.005212457697,7914.375539255496,0.10411923584064114,-0.3319113162557051,0.3319113162557051,0.2716153978451508
