group,feature_subset,feature_1,feature_2,spearman_r,abs_spearman_r
ADHD,regional,frontal_delta_power_mean,frontal_theta_power_mean,0.6285563194077208,0.6285563194077208
ADHD,regional,frontal_delta_power_mean,frontal_alpha_power_mean,0.2863564251718667,0.2863564251718667
ADHD,regional,frontal_delta_power_mean,frontal_beta_power_mean,0.19127445795875198,0.19127445795875198
ADHD,regional,frontal_delta_power_mean,frontal_theta_beta_ratio,0.4421470121628768,0.4421470121628768
ADHD,regional,frontal_delta_power_mean,central_delta_power_mean,0.6504494976203067,0.6504494976203067
ADHD,regional,frontal_delta_power_mean,central_theta_power_mean,0.30883130618720256,0.30883130618720256
ADHD,regional,frontal_delta_power_mean,central_alpha_power_mean,0.059227921734531994,0.059227921734531994
ADHD,regional,frontal_delta_power_mean,central_beta_power_mean,0.2364886303543099,0.2364886303543099
ADHD,regional,frontal_delta_power_mean,central_theta_beta_ratio,0.0967741935483871,0.0967741935483871
ADHD,regional,frontal_delta_power_mean,parietal_delta_power_mean,0.6340560549973558,0.6340560549973558
ADHD,regional,frontal_delta_power_mean,parietal_theta_power_mean,0.42374405076679006,0.42374405076679006
ADHD,regional,frontal_delta_power_mean,parietal_alpha_power_mean,0.16134320465362242,0.16134320465362242
ADHD,regional,frontal_delta_power_mean,parietal_beta_power_mean,0.2919090428344791,0.2919090428344791
ADHD,regional,frontal_delta_power_mean,parietal_theta_beta_ratio,0.17985193019566367,0.17985193019566367
ADHD,regional,frontal_delta_power_mean,temporal_delta_power_mean,0.5045478582760444,0.5045478582760444
ADHD,regional,frontal_delta_power_mean,temporal_theta_power_mean,0.49201480698043365,0.49201480698043365
ADHD,regional,frontal_delta_power_mean,temporal_alpha_power_mean,0.30116340560549976,0.30116340560549976
ADHD,regional,frontal_delta_power_mean,temporal_beta_power_mean,0.03844526705446853,0.03844526705446853
ADHD,regional,frontal_delta_power_mean,temporal_theta_beta_ratio,0.46493918561607617,0.46493918561607617
ADHD,regional,frontal_delta_power_mean,occipital_delta_power_mean,0.6593336858804865,0.6593336858804865
ADHD,regional,frontal_delta_power_mean,occipital_theta_power_mean,0.4822316234796404,0.4822316234796404
ADHD,regional,frontal_delta_power_mean,occipital_alpha_power_mean,0.22136435748281333,0.22136435748281333
ADHD,regional,frontal_delta_power_mean,occipital_beta_power_mean,0.26795346377578,0.26795346377578
ADHD,regional,frontal_delta_power_mean,occipital_theta_beta_ratio,0.243204653622422,0.243204653622422
ADHD,regional,frontal_theta_power_mean,frontal_alpha_power_mean,0.6375991538868324,0.6375991538868324
ADHD,regional,frontal_theta_power_mean,frontal_beta_power_mean,0.43564251718667374,0.43564251718667374
ADHD,regional,frontal_theta_power_mean,frontal_theta_beta_ratio,0.47937599153886834,0.47937599153886834
ADHD,regional,frontal_theta_power_mean,central_delta_power_mean,0.3866737176097303,0.3866737176097303
ADHD,regional,frontal_theta_power_mean,central_theta_power_mean,0.6918032786885245,0.6918032786885245
ADHD,regional,frontal_theta_power_mean,central_alpha_power_mean,0.11205711263881545,0.11205711263881545
ADHD,regional,frontal_theta_power_mean,central_beta_power_mean,0.4113167636171338,0.4113167636171338
ADHD,regional,frontal_theta_power_mean,central_theta_beta_ratio,0.2634056054997356,0.2634056054997356
ADHD,regional,frontal_theta_power_mean,parietal_delta_power_mean,0.4547858276044421,0.4547858276044421
ADHD,regional,frontal_theta_power_mean,parietal_theta_power_mean,0.6695928080380751,0.6695928080380751
ADHD,regional,frontal_theta_power_mean,parietal_alpha_power_mean,0.2827075621364358,0.2827075621364358
ADHD,regional,frontal_theta_power_mean,parietal_beta_power_mean,0.5080909571655209,0.5080909571655209
ADHD,regional,frontal_theta_power_mean,parietal_theta_beta_ratio,0.20037017451084083,0.20037017451084083
ADHD,regional,frontal_theta_power_mean,temporal_delta_power_mean,0.25177154944473823,0.25177154944473823
ADHD,regional,frontal_theta_power_mean,temporal_theta_power_mean,0.6482284505552618,0.6482284505552618
ADHD,regional,frontal_theta_power_mean,temporal_alpha_power_mean,0.415018508725542,0.415018508725542
ADHD,regional,frontal_theta_power_mean,temporal_beta_power_mean,0.18397673188789002,0.18397673188789002
ADHD,regional,frontal_theta_power_mean,temporal_theta_beta_ratio,0.4965097831835008,0.4965097831835008
ADHD,regional,frontal_theta_power_mean,occipital_delta_power_mean,0.49375991538868325,0.49375991538868325
