group,band,feature_1,feature_2,spearman_r,abs_spearman_r
ADHD,delta,frontal_delta_power_mean,central_delta_power_mean,0.6941829719725013,0.6941829719725013
ADHD,delta,frontal_delta_power_mean,temporal_delta_power_mean,0.5407191961924908,0.5407191961924908
ADHD,delta,frontal_delta_power_mean,parietal_delta_power_mean,0.6496033844526705,0.6496033844526705
ADHD,delta,frontal_delta_power_mean,occipital_delta_power_mean,0.7219460602855632,0.7219460602855632
ADHD,delta,central_delta_power_mean,temporal_delta_power_mean,0.5836065573770491,0.5836065573770491
ADHD,delta,central_delta_power_mean,parietal_delta_power_mean,0.7176097303014278,0.7176097303014278
ADHD,delta,central_delta_power_mean,occipital_delta_power_mean,0.6817028027498678,0.6817028027498678
ADHD,delta,temporal_delta_power_mean,parietal_delta_power_mean,0.5369645690111052,0.5369645690111052
ADHD,delta,temporal_delta_power_mean,occipital_delta_power_mean,0.5290322580645161,0.5290322580645161
ADHD,delta,parietal_delta_power_mean,occipital_delta_power_mean,0.7746166049709149,0.7746166049709149
Control,delta,frontal_delta_power_mean,central_delta_power_mean,0.7120311197554876,0.7120311197554876
Control,delta,frontal_delta_power_mean,temporal_delta_power_mean,0.4459572103362045,0.4459572103362045
Control,delta,frontal_delta_power_mean,parietal_delta_power_mean,0.7898860794665185,0.7898860794665185
Control,delta,frontal_delta_power_mean,occipital_delta_power_mean,0.8007779938871908,0.8007779938871908
Control,delta,central_delta_power_mean,temporal_delta_power_mean,0.73098082800778,0.73098082800778
Control,delta,central_delta_power_mean,parietal_delta_power_mean,0.8437899416504585,0.8437899416504585
Control,delta,central_delta_power_mean,occipital_delta_power_mean,0.7886079466518477,0.7886079466518477
Control,delta,temporal_delta_power_mean,parietal_delta_power_mean,0.6450680744651291,0.6450680744651291
Control,delta,temporal_delta_power_mean,occipital_delta_power_mean,0.656849124756877,0.656849124756877
Control,delta,parietal_delta_power_mean,occipital_delta_power_mean,0.8758544040011115,0.8758544040011115
ADHD,theta,frontal_theta_power_mean,central_theta_power_mean,0.6378106821787414,0.6378106821787414
ADHD,theta,frontal_theta_power_mean,temporal_theta_power_mean,0.5073506081438393,0.5073506081438393
ADHD,theta,frontal_theta_power_mean,parietal_theta_power_mean,0.7351665785298783,0.7351665785298783
ADHD,theta,frontal_theta_power_mean,occipital_theta_power_mean,0.5579587519830778,0.5579587519830778
