,Fp1_alpha_power,Fp2_alpha_power,F7_alpha_power,F3_alpha_power,Fz_alpha_power,F4_alpha_power,F8_alpha_power,T7_alpha_power,C3_alpha_power,Cz_alpha_power,C4_alpha_power,T8_alpha_power,P7_alpha_power,P3_alpha_power,Pz_alpha_power,P4_alpha_power,P8_alpha_power,O1_alpha_power,O2_alpha_power
Fp1_alpha_power,1.0,0.6623479640401904,0.6557377049180327,0.7822316234796404,0.6757800105764146,0.7355896351136965,0.5005817028027498,0.6414595452141724,0.5772607086197779,0.6132734003172924,0.5498677948175569,0.5306716023268112,0.5144368059227922,0.6346377578001058,0.48360655737704916,0.5962982548915917,0.4785298783712322,0.47070333157059757,0.5439450026441036
Fp2_alpha_power,0.6623479640401904,1.0,0.6285563194077208,0.6604970914859862,0.6334214701216287,0.66409307244844,0.5641459545214172,0.5237440507667901,0.4845055526176626,0.5490216816499207,0.42035959809624535,0.5642517186673718,0.5029613960867266,0.5865150713907985,0.49063987308302487,0.7022739291380222,0.6940243257535695,0.5343204653622422,0.5768376520359598
F7_alpha_power,0.6557377049180327,0.6285563194077208,1.0,0.711158117398202,0.6054468535166578,0.6943945002644104,0.477895293495505,0.6586462189317821,0.5477525118984664,0.630830248545743,0.4858804865150714,0.6933368588048652,0.6648334214701216,0.606292966684294,0.5263352723426759,0.6648334214701216,0.7338445267054469,0.38027498677948174,0.5896879957694342
F3_alpha_power,0.7822316234796404,0.6604970914859862,0.711158117398202,1.0,0.8498149127445795,0.8772078265468006,0.5826017979904812,0.7350608143839239,0.773030142781597,0.7857218402961396,0.7043363299841354,0.6922792173453199,0.5877842411422528,0.8383923849814913,0.7325224748810153,0.8250132205182443,0.6352194606028556,0.5108937070333157,0.6482284505552618
Fz_alpha_power,0.6757800105764146,0.6334214701216287,0.6054468535166578,0.8498149127445795,1.0,0.8818085668958223,0.5551031200423057,0.670597567424643,0.6592808038075093,0.6548387096774193,0.6474352194606029,0.7348492860920148,0.5832892649391856,0.7576414595452142,0.6107879428873612,0.761872025383395,0.7140666314119514,0.559016393442623,0.6621893178212586
F4_alpha_power,0.7355896351136965,0.66409307244844,0.6943945002644104,0.8772078265468006,0.8818085668958223,1.0,0.5843469063987309,0.723109465891063,0.689846641988366,0.8063458487572713,0.7049180327868853,0.7812268640930724,0.6411422527763089,0.7851401374933897,0.6634056054997356,0.8285563194077208,0.6814383923849815,0.5193548387096775,0.6710206240084612
F8_alpha_power,0.5005817028027498,0.5641459545214172,0.477895293495505,0.5826017979904812,0.5551031200423057,0.5843469063987309,1.0,0.5060285563194077,0.4197778952934955,0.429613960867266,0.4057641459545214,0.6063458487572713,0.5342675832892649,0.5318878900052882,0.4353781068217874,0.5529878371232152,0.522316234796404,0.39349550502379693,0.4956107879428874
T7_alpha_power,0.6414595452141724,0.5237440507667901,0.6586462189317821,0.7350608143839239,0.670597567424643,0.723109465891063,0.5060285563194077,1.0,0.5850343733474352,0.5894764674775251,0.47075621364357484,0.6652035959809625,0.7202538339502909,0.7024854574299313,0.5558434690639873,0.6800634584875727,0.6280803807509254,0.571390798519302,0.6426758328926494
C3_alpha_power,0.5772607086197779,0.4845055526176626,0.5477525118984664,0.773030142781597,0.6592808038075093,0.689846641988366,0.4197778952934955,0.5850343733474352,1.0,0.737123215230037,0.7822845055526176,0.5013749338974087,0.3457429931253305,0.7307773664727657,0.6631411951348493,0.7244843997884717,0.46562665256478053,0.35631940772078263,0.4784769962982549
Cz_alpha_power,0.6132734003172924,0.5490216816499207,0.630830248545743,0.7857218402961396,0.6548387096774193,0.8063458487572713,0.429613960867266,0.5894764674775251,0.737123215230037,1.0,0.7962982548915918,0.6161819143310417,0.4952934955050238,0.6762030671602327,0.759016393442623,0.726176626123744,0.4785298783712322,0.35742993125330513,0.5478053939714437
C4_alpha_power,0.5498677948175569,0.42035959809624535,0.4858804865150714,0.7043363299841354,0.6474352194606029,0.7049180327868853,0.4057641459545214,0.47075621364357484,0.7822845055526176,0.7962982548915918,1.0,0.634479111581174,0.34341618191433104,0.628397673188789,0.5975145425700688,0.6342675832892649,0.4121099947117927,0.18894764674775252,0.42184029613960866
T8_alpha_power,0.5306716023268112,0.5642517186673718,0.6933368588048652,0.6922792173453199,0.7348492860920148,0.7812268640930724,0.6063458487572713,0.6652035959809625,0.5013749338974087,0.6161819143310417,0.634479111581174,1.0,0.6784241142252776,0.6957694341618191,0.5477525118984664,0.6904812268640931,0.6964040190375462,0.465520888418826,0.6149127445795876
P7_alpha_power,0.5144368059227922,0.5029613960867266,0.6648334214701216,0.5877842411422528,0.5832892649391856,0.6411422527763089,0.5342675832892649,0.7202538339502909,0.3457429931253305,0.4952934955050238,0.34341618191433104,0.6784241142252776,1.0,0.6224219989423585,0.4731887890005288,0.6443680592279217,0.7161290322580646,0.6722897937599154,0.6936541512427287
P3_alpha_power,0.6346377578001058,0.5865150713907985,0.606292966684294,0.8383923849814913,0.7576414595452142,0.7851401374933897,0.5318878900052882,0.7024854574299313,0.7307773664727657,0.6762030671602327,0.628397673188789,0.6957694341618191,0.6224219989423585,1.0,0.7304600740349022,0.8598096245372818,0.607509254362771,0.6221575885774723,0.6626123744050767
Pz_alpha_power,0.48360655737704916,0.49063987308302487,0.5263352723426759,0.7325224748810153,0.6107879428873612,0.6634056054997356,0.4353781068217874,0.5558434690639873,0.6631411951348493,0.759016393442623,0.5975145425700688,0.5477525118984664,0.4731887890005288,0.7304600740349022,1.0,0.7976731887890005,0.4988894764674775,0.5320994182971972,0.6536753040719196
P4_alpha_power,0.5962982548915917,0.7022739291380222,0.6648334214701216,0.8250132205182443,0.761872025383395,0.8285563194077208,0.5529878371232152,0.6800634584875727,0.7244843997884717,0.726176626123744,0.6342675832892649,0.6904812268640931,0.6443680592279217,0.8598096245372818,0.7976731887890005,1.0,0.7663141195134849,0.6205182443151771,0.7974616604970914
P8_alpha_power,0.4785298783712322,0.6940243257535695,0.7338445267054469,0.6352194606028556,0.7140666314119514,0.6814383923849815,0.522316234796404,0.6280803807509254,0.46562665256478053,0.4785298783712322,0.4121099947117927,0.6964040190375462,0.7161290322580646,0.607509254362771,0.4988894764674775,0.7663141195134849,1.0,0.5596509783183501,0.7076150185087255
