,Fp1_alpha_power,Fp2_alpha_power,F7_alpha_power,F3_alpha_power,Fz_alpha_power,F4_alpha_power,F8_alpha_power,T7_alpha_power,C3_alpha_power,Cz_alpha_power,C4_alpha_power,T8_alpha_power,P7_alpha_power,P3_alpha_power,Pz_alpha_power,P4_alpha_power,P8_alpha_power,O1_alpha_power,O2_alpha_power
Fp1_alpha_power,1.0,0.7125868296749097,0.8030564045568214,0.6915809947207557,0.7109752709085857,0.6812447902195055,0.6385662684078911,0.6246735204223396,0.5872742428452348,0.6292859127535426,0.5574881911642123,0.5912753542650736,0.7066407335370937,0.5950541817171436,0.6097804945818283,0.5996665740483468,0.6261739372047791,0.5691025284801333,0.5117532647957767
Fp2_alpha_power,0.7125868296749097,1.0,0.6262295081967213,0.5781050291747708,0.6009447068630175,0.6033898305084746,0.5319811058627396,0.5429285912753543,0.524256737982773,0.5723812170047236,0.4361767157543762,0.45295915532092246,0.604056682411781,0.51914420672409,0.5941650458460683,0.556876910252848,0.582217282578494,0.5221450402889691,0.4546818560711309
F7_alpha_power,0.8030564045568214,0.6262295081967213,1.0,0.8176715754376216,0.7507085301472631,0.6977493748263407,0.6985273687135315,0.7516532370102806,0.6621839399833287,0.6801889413726036,0.5151430953042512,0.5612670186162823,0.7499861072520144,0.6835232008891359,0.6661294804112253,0.597054737427063,0.6666851903306474,0.6195054181717143,0.5522089469297027
F3_alpha_power,0.6915809947207557,0.5781050291747708,0.8176715754376216,1.0,0.8716865796054459,0.842845234787441,0.7598221728257849,0.845012503473187,0.8653514865240345,0.771436510141706,0.5872186718532926,0.6581272575715477,0.7288135593220338,0.7717143651014171,0.7664351208669075,0.7184217838288414,0.6892470130591831,0.601889413726035,0.6128368991386496
Fz_alpha_power,0.7109752709085857,0.6009447068630175,0.7507085301472631,0.8716865796054459,1.0,0.8363434287302028,0.6950819672131148,0.7446512920255627,0.8206168380105585,0.7653237010280634,0.6521811614337316,0.7350930814115032,0.6973603778827452,0.8245623784384551,0.7653237010280634,0.7038621839399833,0.6665184773548208,0.612670186162823,0.6239510975270909
F4_alpha_power,0.6812447902195055,0.6033898305084746,0.6977493748263407,0.842845234787441,0.8363434287302028,1.0,0.6943039733259239,0.6672964712420116,0.7798833009169214,0.6941372603500973,0.7003056404556821,0.6570158377327036,0.5587107529869408,0.7485412614615171,0.7228118921922756,0.7688246735204224,0.6370102806335093,0.5191997777160322,0.5768268963601
F8_alpha_power,0.6385662684078911,0.5319811058627396,0.6985273687135315,0.7598221728257849,0.6950819672131148,0.6943039733259239,1.0,0.7405390386218395,0.6898582939705473,0.6453459294248403,0.5801611558766324,0.597054737427063,0.743651014170603,0.6384551264240067,0.5996665740483468,0.5677132536815782,0.7036398999722145,0.6192831342039455,0.5654348430119478
T7_alpha_power,0.6246735204223396,0.5429285912753543,0.7516532370102806,0.845012503473187,0.7446512920255627,0.6672964712420116,0.7405390386218395,1.0,0.8195054181717144,0.6546818560711308,0.5313142539594332,0.6650180605723812,0.8283967768824674,0.6830786329535983,0.7523756599055293,0.6761322589608224,0.6624617949430397,0.6715754376215616,0.5544317866073909
C3_alpha_power,0.5872742428452348,0.524256737982773,0.6621839399833287,0.8653514865240345,0.8206168380105585,0.7798833009169214,0.6898582939705473,0.8195054181717144,1.0,0.7725479299805501,0.6610725201444846,0.663350930814115,0.6218393998332871,0.7942761878299528,0.8455126424006668,0.7790497360377883,0.6042789663795499,0.5510975270908586,0.6130036121144763
Cz_alpha_power,0.6292859127535426,0.5723812170047236,0.6801889413726036,0.771436510141706,0.7653237010280634,0.6941372603500973,0.6453459294248403,0.6546818560711308,0.7725479299805501,1.0,0.648513475965546,0.6429008057793831,0.5628230063906641,0.7746040566824118,0.7208669074742984,0.7011947763267574,0.6521255904417894,0.5004167824395666,0.6117254792998055
