,Fp1_beta_power,Fp2_beta_power,F7_beta_power,F3_beta_power,Fz_beta_power,F4_beta_power,F8_beta_power,T7_beta_power,C3_beta_power,Cz_beta_power,C4_beta_power,T8_beta_power,P7_beta_power,P3_beta_power,Pz_beta_power,P4_beta_power,P8_beta_power,O1_beta_power,O2_beta_power
Fp1_beta_power,1.0,0.6047593865679535,0.5966684294024326,0.7370174510840825,0.7301427815970386,0.7723955579058699,0.6256478053939715,0.4466948704389212,0.5250132205182443,0.5075621364357483,0.5930724484399789,0.5367530407191962,0.43220518244315176,0.5560021152829191,0.5790586991010047,0.6212585933368588,0.37678476996298255,0.39751454257006874,0.49264939185616075
Fp2_beta_power,0.6047593865679535,1.0,0.43220518244315176,0.5566895822316235,0.5435219460602856,0.5339502908514013,0.47054468535166577,0.28355367530407194,0.3540983606557377,0.36874669487043893,0.3824960338445267,0.3181914331041777,0.2946060285563194,0.3287149656266526,0.3664727657324167,0.4549444738233739,0.3493918561607615,0.3152829190904283,0.3089899524061343
F7_beta_power,0.5966684294024326,0.43220518244315176,1.0,0.6959809624537282,0.623109465891063,0.7286620835536753,0.7208355367530407,0.5038603913273401,0.608937070333157,0.580327868852459,0.7059756742464305,0.6703331570597567,0.6542041248016922,0.5392913802221047,0.5627181385510313,0.5945531464833421,0.6101004759386568,0.33558963511369644,0.43717609730301427
F3_beta_power,0.7370174510840825,0.5566895822316235,0.6959809624537282,1.0,0.8930195663670016,0.8645690111052353,0.6763088313061872,0.6078265468006346,0.824748810153358,0.7185087255420413,0.7993654151242728,0.5015864621893178,0.5590692755156003,0.7554732945531465,0.8359598096245373,0.7930195663670015,0.36589106292966683,0.5232681121099947,0.6601797990481227
Fz_beta_power,0.7301427815970386,0.5435219460602856,0.623109465891063,0.8930195663670016,1.0,0.8787414066631412,0.6812797461660497,0.5532522474881015,0.7230037017451084,0.66795346377578,0.8054468535166579,0.5326282390269699,0.5373347435219461,0.7125330512956108,0.7359598096245373,0.7520888418826018,0.4046536224219989,0.5246959280803808,0.6398730830248546
F4_beta_power,0.7723955579058699,0.5339502908514013,0.7286620835536753,0.8645690111052353,0.8787414066631412,1.0,0.6874140666314119,0.5208355367530407,0.7289793759915388,0.6906927551560021,0.8398730830248545,0.6489159175039662,0.5329984135378106,0.6372289793759915,0.6977260708619778,0.6877313590692755,0.4537810682178741,0.3831835007932311,0.5853516657852987
F8_beta_power,0.6256478053939715,0.47054468535166577,0.7208355367530407,0.6763088313061872,0.6812797461660497,0.6874140666314119,1.0,0.4353781068217874,0.5907456372289793,0.5492860920148069,0.6608672659968271,0.6013220518244315,0.5245901639344263,0.5712321523003702,0.5781597038603913,0.6426229508196721,0.4462718138551031,0.41396086726599685,0.44600740349021684
T7_beta_power,0.4466948704389212,0.28355367530407194,0.5038603913273401,0.6078265468006346,0.5532522474881015,0.5208355367530407,0.4353781068217874,1.0,0.6232152300370174,0.5142252776308831,0.509941829719725,0.47096774193548385,0.5199894235854046,0.5945002644103649,0.5216287678476996,0.6046007403490217,0.3970386039132734,0.5932310946589107,0.5998413537810682
C3_beta_power,0.5250132205182443,0.3540983606557377,0.608937070333157,0.824748810153358,0.7230037017451084,0.7289793759915388,0.5907456372289793,0.6232152300370174,1.0,0.7463775780010576,0.7656795346377578,0.3778424114225278,0.5015335801163405,0.7883659439450026,0.8023268112109995,0.7378106821787415,0.23818085668958222,0.5538868323638286,0.5013749338974087
Cz_beta_power,0.5075621364357483,0.36874669487043893,0.580327868852459,0.7185087255420413,0.66795346377578,0.6906927551560021,0.5492860920148069,0.5142252776308831,0.7463775780010576,1.0,0.7592808038075093,0.3749338974087784,0.6382866208355368,0.6845584346906399,0.6950819672131148,0.7179799048122686,0.47916446324695927,0.5306187202538339,0.5635642517186674
