,Fp1_beta_power,Fp2_beta_power,F7_beta_power,F3_beta_power,Fz_beta_power,F4_beta_power,F8_beta_power,T7_beta_power,C3_beta_power,Cz_beta_power,C4_beta_power,T8_beta_power,P7_beta_power,P3_beta_power,Pz_beta_power,P4_beta_power,P8_beta_power,O1_beta_power,O2_beta_power
Fp1_beta_power,1.0,0.5149208113364824,0.6532925812725757,0.6131147540983607,0.6103917754931926,0.4936371214226174,0.549597110308419,0.38060572381217006,0.46001667129758267,0.42828563489858296,0.47957766046123923,0.3240344540150042,0.3640455682133926,0.43895526535148655,0.5344818005001389,0.44356765768268963,0.4747429841622673,0.43462072797999446,0.3333148096693526
Fp2_beta_power,0.5149208113364824,1.0,0.41650458460683526,0.45996110030564047,0.4489580439010836,0.4388441233676021,0.5180327868852459,0.29597110308419006,0.42383995554320647,0.37871631008613504,0.4036121144762434,0.40511253125868296,0.3703806612948041,0.4226729647124201,0.5063073075854404,0.4755209780494582,0.4451236454570714,0.47968880244512363,0.45190330647402055
F7_beta_power,0.6532925812725757,0.41650458460683526,1.0,0.7093637121422618,0.7055848846901918,0.6634620727979994,0.56926924145596,0.5221450402889691,0.5629341483745485,0.5503195332036677,0.514809669352598,0.4620172270075021,0.41139205334815226,0.5687135315365379,0.6110030564045569,0.5498193942761879,0.6527368713531536,0.5415393164767991,0.3601555987774382
F3_beta_power,0.6131147540983607,0.45996110030564047,0.7093637121422618,1.0,0.8220061128091136,0.8779661016949153,0.6110586273964991,0.6960266740761323,0.7868852459016393,0.7450958599611003,0.6830786329535983,0.5288135593220339,0.4737982772992498,0.7317588218949709,0.8137816060016672,0.7124201166990831,0.5111975548763545,0.5340372325646012,0.44529035843289805
Fz_beta_power,0.6103917754931926,0.4489580439010836,0.7055848846901918,0.8220061128091136,1.0,0.8081689358155043,0.6639622117254793,0.6420116699083078,0.8477354820783551,0.8009447068630176,0.7205890525145874,0.5195887746596277,0.468463462072798,0.8386218393998333,0.8392331203111976,0.722645179216449,0.5661572659071964,0.6253959433175882,0.5156988052236733
F4_beta_power,0.4936371214226174,0.4388441233676021,0.6634620727979994,0.8779661016949153,0.8081689358155043,1.0,0.6652959155320922,0.6399555432064462,0.7483745484856905,0.8170602945262573,0.7778271742150598,0.6027785495971103,0.39038621839399834,0.7443178660739094,0.7982217282578494,0.7602667407613226,0.5490969713809392,0.47729924979160876,0.5410947485412615
F8_beta_power,0.549597110308419,0.5180327868852459,0.56926924145596,0.6110586273964991,0.6639622117254793,0.6652959155320922,1.0,0.42856348985829396,0.5760489024729092,0.6254515143095304,0.5821617115865518,0.521311475409836,0.5756043345373715,0.5574881911642123,0.5231453181439288,0.5113642678521811,0.5455404278966379,0.4170047235343151,0.4605168102250625
T7_beta_power,0.38060572381217006,0.29597110308419006,0.5221450402889691,0.6960266740761323,0.6420116699083078,0.6399555432064462,0.42856348985829396,1.0,0.720200055570992,0.5431508752431231,0.6514587385384829,0.6113920533481523,0.4018338427340928,0.6406779661016949,0.6766323978883023,0.6913031397610447,0.30047235343150874,0.5593776048902472,0.41894970825229233
C3_beta_power,0.46001667129758267,0.42383995554320647,0.5629341483745485,0.7868852459016393,0.8477354820783551,0.7483745484856905,0.5760489024729092,0.720200055570992,1.0,0.7693248124479022,0.7346485134759655,0.566046123923312,0.38971936649069183,0.845290358432898,0.832898027229786,0.7846068352320089,0.4511253125868297,0.5823839955543206,0.5144762434009447
Cz_beta_power,0.42828563489858296,0.37871631008613504,0.5503195332036677,0.7450958599611003,0.8009447068630176,0.8170602945262573,0.6254515143095304,0.5431508752431231,0.7693248124479022,1.0,0.8097249235898861,0.5841622672964712,0.32575715476521255,0.7675465407057516,0.7956098916365657,0.7425395943317589,0.5419283134203946,0.4127257571547652,0.555265351486524
C4_beta_power,0.47957766046123923,0.4036121144762434,0.514809669352598,0.6830786329535983,0.7205890525145874,0.7778271742150598,0.5821617115865518,0.6514587385384829,0.7346485134759655,0.8097249235898861,1.0,0.7211447624340095,0.32747985551542097,0.6815226451792165,0.7408168935815505,0.8045568213392609,0.4611280911364268,0.4555709919422062,0.5871631008613504
T8_beta_power,0.3240344540150042,0.40511253125868296,0.4620172270075021,0.5288135593220339,0.5195887746596277,0.6027785495971103,0.521311475409836,0.6113920533481523,0.566046123923312,0.5841622672964712,0.7211447624340095,1.0,0.2901361489302584,0.45351486524034457,0.5306474020561267,0.5687691025284801,0.44445679355376494,0.38071686579605446,0.4514587385384829
P7_beta_power,0.3640455682133926,0.3703806612948041,0.41139205334815226,0.4737982772992498,0.468463462072798,0.39038621839399834,0.5756043345373715,0.4018338427340928,0.38971936649069183,0.32575715476521255,0.32747985551542097,0.2901361489302584,1.0,0.39772158933036955,0.436398999722145,0.4442345095859961,0.4802445123645457,0.42411781050291747,0.3578216171158655
P3_beta_power,0.43895526535148655,0.4226729647124201,0.5687135315365379,0.7317588218949709,0.8386218393998333,0.7443178660739094,0.5574881911642123,0.6406779661016949,0.845290358432898,0.7675465407057516,0.6815226451792165,0.45351486524034457,0.39772158933036955,1.0,0.8391775493192554,0.8244512364545707,0.4467907752153376,0.729369269241456,0.5901083634342873
Pz_beta_power,0.5344818005001389,0.5063073075854404,0.6110030564045569,0.8137816060016672,0.8392331203111976,0.7982217282578494,0.5231453181439288,0.6766323978883023,0.832898027229786,0.7956098916365657,0.7408168935815505,0.5306474020561267,0.436398999722145,0.8391775493192554,1.0,0.8929702695193109,0.5192553487079744,0.6418449569324812,0.6597943873298139
P4_beta_power,0.44356765768268963,0.4755209780494582,0.5498193942761879,0.7124201166990831,0.722645179216449,0.7602667407613226,0.5113642678521811,0.6913031397610447,0.7846068352320089,0.7425395943317589,0.8045568213392609,0.5687691025284801,0.4442345095859961,0.8244512364545707,0.8929702695193109,1.0,0.4724645734926368,0.6186718532925812,0.6866907474298416
P8_beta_power,0.4747429841622673,0.4451236454570714,0.6527368713531536,0.5111975548763545,0.5661572659071964,0.5490969713809392,0.5455404278966379,0.30047235343150874,0.4511253125868297,0.5419283134203946,0.4611280911364268,0.44445679355376494,0.4802445123645457,0.4467907752153376,0.5192553487079744,0.4724645734926368,1.0,0.4524034454015004,0.5898305084745763
O1_beta_power,0.43462072797999446,0.47968880244512363,0.5415393164767991,0.5340372325646012,0.6253959433175882,0.47729924979160876,0.4170047235343151,0.5593776048902472,0.5823839955543206,0.4127257571547652,0.4555709919422062,0.38071686579605446,0.42411781050291747,0.729369269241456,0.6418449569324812,0.6186718532925812,0.4524034454015004,1.0,0.6632953598221728
O2_beta_power,0.3333148096693526,0.45190330647402055,0.3601555987774382,0.44529035843289805,0.5156988052236733,0.5410947485412615,0.4605168102250625,0.41894970825229233,0.5144762434009447,0.555265351486524,0.5871631008613504,0.4514587385384829,0.3578216171158655,0.5901083634342873,0.6597943873298139,0.6866907474298416,0.5898305084745763,0.6632953598221728,1.0
