,Fp1_delta_power,Fp2_delta_power,F7_delta_power,F3_delta_power,Fz_delta_power,F4_delta_power,F8_delta_power,T7_delta_power,C3_delta_power,Cz_delta_power,C4_delta_power,T8_delta_power,P7_delta_power,P3_delta_power,Pz_delta_power,P4_delta_power,P8_delta_power,O1_delta_power,O2_delta_power
Fp1_delta_power,1.0,0.8092014806980433,0.4797990481226864,0.6526176626123744,0.6627710206240085,0.6802221047065045,0.4970386039132734,0.5118455843469064,0.5051824431517715,0.7395557905869911,0.5222633527234267,0.4451084082496034,0.6383923849814913,0.6136964569011105,0.6933897408778424,0.5400317292437864,0.49069275515600214,0.6250661025912215,0.69613960867266
Fp2_delta_power,0.8092014806980433,1.0,0.4537810682178741,0.584981491274458,0.6264410364886304,0.6803807509254363,0.48942358540454783,0.4727657324167107,0.5092014806980434,0.6645690111052354,0.443416181914331,0.3852987837123215,0.6599682707562137,0.5765203595980962,0.6514542570068746,0.6024854574299312,0.5352194606028556,0.6682178741406664,0.6482813326282391
F7_delta_power,0.4797990481226864,0.4537810682178741,1.0,0.5502908514013749,0.5389212057112639,0.5331570597567424,0.5537281861448968,0.4251718667371761,0.6230037017451084,0.531253305129561,0.5079851930195664,0.45996827075621366,0.44806980433633,0.4121099947117927,0.5701216287678477,0.5190904283447911,0.33061872025383393,0.46308831306187204,0.44082496033844526
F3_delta_power,0.6526176626123744,0.584981491274458,0.5502908514013749,1.0,0.8171337916446325,0.7540983606557377,0.5557377049180328,0.5700158646218931,0.6808566895822317,0.7693283976731888,0.6989952406134321,0.5714965626652565,0.7216287678476996,0.7197778952934955,0.7708619777895294,0.6395029085140137,0.5483342147012162,0.7215758857747223,0.7729772607086198
Fz_delta_power,0.6627710206240085,0.6264410364886304,0.5389212057112639,0.8171337916446325,1.0,0.7772607086197779,0.4180856689582232,0.6567424643046007,0.7434690639873083,0.8046536224219989,0.6286620835536753,0.48968799576943417,0.7030671602326811,0.7512956107879429,0.7564251718667372,0.6402432575356954,0.6173453199365415,0.7834479111581174,0.8277630883130619
F4_delta_power,0.6802221047065045,0.6803807509254363,0.5331570597567424,0.7540983606557377,0.7772607086197779,1.0,0.608514013749339,0.5899524061343204,0.7305658381808567,0.826969857218403,0.58397673188789,0.5644632469592809,0.7945531464833422,0.7821258593336858,0.7715494447382337,0.6563722897937599,0.7189317821258593,0.8511898466419884,0.7954521417239556
F8_delta_power,0.4970386039132734,0.48942358540454783,0.5537281861448968,0.5557377049180328,0.4180856689582232,0.608514013749339,1.0,0.4092543627710206,0.5047593865679535,0.6069275515600212,0.5262823902696986,0.4970386039132734,0.4331041776837652,0.42390269698572186,0.5802221047065045,0.5147540983606558,0.46483342147012163,0.5558434690639873,0.45727128503437336
T7_delta_power,0.5118455843469064,0.4727657324167107,0.4251718667371761,0.5700158646218931,0.6567424643046007,0.5899524061343204,0.4092543627710206,1.0,0.5229508196721312,0.7043892120571127,0.4891062929666843,0.4960867265996827,0.5098360655737705,0.6255949233209942,0.5892120571126388,0.5049709148598625,0.4391856160761502,0.6077736647276574,0.5962982548915917
C3_delta_power,0.5051824431517715,0.5092014806980434,0.6230037017451084,0.6808566895822317,0.7434690639873083,0.7305658381808567,0.5047593865679535,0.5229508196721312,1.0,0.7722897937599154,0.6336329984135378,0.5220518244315178,0.736911686938128,0.6704389212057112,0.7185616076150185,0.677895293495505,0.5560021152829191,0.6774193548387096,0.6332099418297197
Cz_delta_power,0.7395557905869911,0.6645690111052354,0.531253305129561,0.7693283976731888,0.8046536224219989,0.826969857218403,0.6069275515600212,0.7043892120571127,0.7722897937599154,1.0,0.7396086726599683,0.5547329455314648,0.8085668958223162,0.7487043892120571,0.8248545742993125,0.71988365943945,0.6488101533580116,0.8116340560549974,0.7765732416710736
C4_delta_power,0.5222633527234267,0.443416181914331,0.5079851930195664,0.6989952406134321,0.6286620835536753,0.58397673188789,0.5262823902696986,0.4891062929666843,0.6336329984135378,0.7396086726599683,1.0,0.6687466948704389,0.6007403490216816,0.5638286620835536,0.6803807509254363,0.7266525647805394,0.5680063458487573,0.5867794817556848,0.6103648863035431
T8_delta_power,0.4451084082496034,0.3852987837123215,0.45996827075621366,0.5714965626652565,0.48968799576943417,0.5644632469592809,0.4970386039132734,0.4960867265996827,0.5220518244315178,0.5547329455314648,0.6687466948704389,1.0,0.49814912744579587,0.41417239555790586,0.4813855103120042,0.41797990481226865,0.5668958223162348,0.5266525647805393,0.5363299841353781
P7_delta_power,0.6383923849814913,0.6599682707562137,0.44806980433633,0.7216287678476996,0.7030671602326811,0.7945531464833422,0.4331041776837652,0.5098360655737705,0.736911686938128,0.8085668958223162,0.6007403490216816,0.49814912744579587,1.0,0.7858804865150714,0.7605499735589635,0.6510840824960339,0.5767318878900053,0.8255949233209942,0.7663141195134849
P3_delta_power,0.6136964569011105,0.5765203595980962,0.4121099947117927,0.7197778952934955,0.7512956107879429,0.7821258593336858,0.42390269698572186,0.6255949233209942,0.6704389212057112,0.7487043892120571,0.5638286620835536,0.41417239555790586,0.7858804865150714,1.0,0.7673717609730302,0.6859862506610259,0.5565838180856689,0.7647805393971444,0.7400846113167636
Pz_delta_power,0.6933897408778424,0.6514542570068746,0.5701216287678477,0.7708619777895294,0.7564251718667372,0.7715494447382337,0.5802221047065045,0.5892120571126388,0.7185616076150185,0.8248545742993125,0.6803807509254363,0.4813855103120042,0.7605499735589635,0.7673717609730302,1.0,0.7574299312533052,0.5748810153358012,0.7583289264939186,0.7533051295610788
P4_delta_power,0.5400317292437864,0.6024854574299312,0.5190904283447911,0.6395029085140137,0.6402432575356954,0.6563722897937599,0.5147540983606558,0.5049709148598625,0.677895293495505,0.71988365943945,0.7266525647805394,0.41797990481226865,0.6510840824960339,0.6859862506610259,0.7574299312533052,1.0,0.6041776837652036,0.6065044949762031,0.6894235854045478
P8_delta_power,0.49069275515600214,0.5352194606028556,0.33061872025383393,0.5483342147012162,0.6173453199365415,0.7189317821258593,0.46483342147012163,0.4391856160761502,0.5560021152829191,0.6488101533580116,0.5680063458487573,0.5668958223162348,0.5767318878900053,0.5565838180856689,0.5748810153358012,0.6041776837652036,1.0,0.6430988894764674,0.7355896351136965
O1_delta_power,0.6250661025912215,0.6682178741406664,0.46308831306187204,0.7215758857747223,0.7834479111581174,0.8511898466419884,0.5558434690639873,0.6077736647276574,0.6774193548387096,0.8116340560549974,0.5867794817556848,0.5266525647805393,0.8255949233209942,0.7647805393971444,0.7583289264939186,0.6065044949762031,0.6430988894764674,1.0,0.835272342675833
O2_delta_power,0.69613960867266,0.6482813326282391,0.44082496033844526,0.7729772607086198,0.8277630883130619,0.7954521417239556,0.45727128503437336,0.5962982548915917,0.6332099418297197,0.7765732416710736,0.6103648863035431,0.5363299841353781,0.7663141195134849,0.7400846113167636,0.7533051295610788,0.6894235854045478,0.7355896351136965,0.835272342675833,1.0
