,Fp1_delta_power,Fp2_delta_power,F7_delta_power,F3_delta_power,Fz_delta_power,F4_delta_power,F8_delta_power,T7_delta_power,C3_delta_power,Cz_delta_power,C4_delta_power,T8_delta_power,P7_delta_power,P3_delta_power,Pz_delta_power,P4_delta_power,P8_delta_power,O1_delta_power,O2_delta_power
Fp1_delta_power,1.0,0.817782717421506,0.6696860238955266,0.6677966101694915,0.7725479299805501,0.6993609335926646,0.6288969158099472,0.4999722145040289,0.7536537927202,0.680300083356488,0.60377882745207,0.5581550430675187,0.7160878021672686,0.7367602111697694,0.7438177271464296,0.6271742150597388,0.7340928035565435,0.7989441511530981,0.7988885801611558
Fp2_delta_power,0.817782717421506,1.0,0.4968602389552654,0.6270075020839122,0.7240344540150042,0.6953598221728258,0.6038343984440122,0.49619338705195887,0.6922478466240622,0.6554042789663795,0.6066129480411225,0.42539594331758823,0.7652681300361212,0.7365379272020005,0.7357043623228675,0.6300083356487913,0.7280911364267852,0.7755487635454292,0.751764378994165
F7_delta_power,0.6696860238955266,0.4968602389552654,1.0,0.6201722700750208,0.5152542372881356,0.5049736037788275,0.6177827174215059,0.3232564601278133,0.6388996943595443,0.5866073909419283,0.5340928035565435,0.44623506529591556,0.4775215337593776,0.519422061683801,0.46557377049180326,0.45929424840233396,0.6921367046401778,0.5987218671853293,0.5677132536815782
F3_delta_power,0.6677966101694915,0.6270075020839122,0.6201722700750208,1.0,0.6760766879688802,0.7661016949152543,0.6519033064740206,0.5413726035009725,0.8121144762434009,0.6646290636287858,0.6854126146151709,0.5424840233398166,0.6716310086135038,0.7194776326757433,0.7008613503751042,0.7438732981383718,0.6903584328980272,0.66901917199222,0.7299805501528203
Fz_delta_power,0.7725479299805501,0.7240344540150042,0.5152542372881356,0.6760766879688802,1.0,0.7018616282300639,0.6192831342039455,0.5708252292303417,0.7377604890247291,0.7100305640455682,0.7344262295081967,0.6232842456237844,0.7425395943317589,0.7898860794665185,0.752042233953876,0.7342595165323701,0.7044734648513475,0.8635732147818839,0.774937482634065
F4_delta_power,0.6993609335926646,0.6953598221728258,0.5049736037788275,0.7661016949152543,0.7018616282300639,1.0,0.7403167546540705,0.5270352875798833,0.7413170325090302,0.7959988885801611,0.7645457071408724,0.5409280355654349,0.7277021394831897,0.784106696304529,0.7365379272020005,0.78866351764379,0.780050013892748,0.6926924145595998,0.7807168657960545
F8_delta_power,0.6288969158099472,0.6038343984440122,0.6177827174215059,0.6519033064740206,0.6192831342039455,0.7403167546540705,1.0,0.361989441511531,0.5938316198944151,0.6509030286190608,0.5772158933036955,0.48352320088913586,0.5326479577660461,0.6949152542372882,0.5856071130869686,0.5804945818282856,0.6771881078077243,0.6019449847179772,0.6785773826062795
T7_delta_power,0.4999722145040289,0.49619338705195887,0.3232564601278133,0.5413726035009725,0.5708252292303417,0.5270352875798833,0.361989441511531,1.0,0.6515143095304251,0.6549597110308419,0.6763545429285913,0.43284245623784384,0.6437899416504584,0.6272853570436232,0.5310919699916643,0.45268130036121146,0.506751875520978,0.5716587941094748,0.5410947485412615
C3_delta_power,0.7536537927202,0.6922478466240622,0.6388996943595443,0.8121144762434009,0.7377604890247291,0.7413170325090302,0.5938316198944151,0.6515143095304251,1.0,0.7043067518755209,0.7191997777160323,0.621561544873576,0.7792720200055571,0.7709363712142262,0.7263684356765768,0.7098082800777994,0.716421228118922,0.7502083912197832,0.7518755209780494
Cz_delta_power,0.680300083356488,0.6554042789663795,0.5866073909419283,0.6646290636287858,0.7100305640455682,0.7959988885801611,0.6509030286190608,0.6549597110308419,0.7043067518755209,1.0,0.8895804390108364,0.567657682689636,0.6732981383717699,0.8166712975826619,0.6968602389552654,0.7142539594331759,0.805112531258683,0.6818005001389275,0.7660461239233121
C4_delta_power,0.60377882745207,0.6066129480411225,0.5340928035565435,0.6854126146151709,0.7344262295081967,0.7645457071408724,0.5772158933036955,0.6763545429285913,0.7191997777160323,0.8895804390108364,1.0,0.6635176437899416,0.7025840511253126,0.7831619894415115,0.6879133092525701,0.735593220338983,0.7461517088080022,0.6907474298416226,0.6834120589052515
T8_delta_power,0.5581550430675187,0.42539594331758823,0.44623506529591556,0.5424840233398166,0.6232842456237844,0.5409280355654349,0.48352320088913586,0.43284245623784384,0.621561544873576,0.567657682689636,0.6635176437899416,1.0,0.6191719922200611,0.6654626285079188,0.6157821617115865,0.5039733259238678,0.6027229786051681,0.6748541261461517,0.5545429285912754
P7_delta_power,0.7160878021672686,0.7652681300361212,0.4775215337593776,0.6716310086135038,0.7425395943317589,0.7277021394831897,0.5326479577660461,0.6437899416504584,0.7792720200055571,0.6732981383717699,0.7025840511253126,0.6191719922200611,1.0,0.8074465129202556,0.7889969435954431,0.6686301750486247,0.7240900250069464,0.7796610169491526,0.6935815504306752
P3_delta_power,0.7367602111697694,0.7365379272020005,0.519422061683801,0.7194776326757433,0.7898860794665185,0.784106696304529,0.6949152542372882,0.6272853570436232,0.7709363712142262,0.8166712975826619,0.7831619894415115,0.6654626285079188,0.8074465129202556,1.0,0.8245623784384551,0.7987218671853292,0.7504862461794943,0.789497082522923,0.8544040011114198
Pz_delta_power,0.7438177271464296,0.7357043623228675,0.46557377049180326,0.7008613503751042,0.752042233953876,0.7365379272020005,0.5856071130869686,0.5310919699916643,0.7263684356765768,0.6968602389552654,0.6879133092525701,0.6157821617115865,0.7889969435954431,0.8245623784384551,1.0,0.7097527090858572,0.7292581272575716,0.8405112531258683,0.8021672686857461
P4_delta_power,0.6271742150597388,0.6300083356487913,0.45929424840233396,0.7438732981383718,0.7342595165323701,0.78866351764379,0.5804945818282856,0.45268130036121146,0.7098082800777994,0.7142539594331759,0.735593220338983,0.5039733259238678,0.6686301750486247,0.7987218671853292,0.7097527090858572,1.0,0.6696304529035844,0.6341761600444568,0.7324812447902195
P8_delta_power,0.7340928035565435,0.7280911364267852,0.6921367046401778,0.6903584328980272,0.7044734648513475,0.780050013892748,0.6771881078077243,0.506751875520978,0.716421228118922,0.805112531258683,0.7461517088080022,0.6027229786051681,0.7240900250069464,0.7504862461794943,0.7292581272575716,0.6696304529035844,1.0,0.7762711864406779,0.7613225896082245
O1_delta_power,0.7989441511530981,0.7755487635454292,0.5987218671853293,0.66901917199222,0.8635732147818839,0.6926924145595998,0.6019449847179772,0.5716587941094748,0.7502083912197832,0.6818005001389275,0.6907474298416226,0.6748541261461517,0.7796610169491526,0.789497082522923,0.8405112531258683,0.6341761600444568,0.7762711864406779,1.0,0.7645457071408724
O2_delta_power,0.7988885801611558,0.751764378994165,0.5677132536815782,0.7299805501528203,0.774937482634065,0.7807168657960545,0.6785773826062795,0.5410947485412615,0.7518755209780494,0.7660461239233121,0.6834120589052515,0.5545429285912754,0.6935815504306752,0.8544040011114198,0.8021672686857461,0.7324812447902195,0.7613225896082245,0.7645457071408724,1.0
