,Fp1_delta_power,Fp1_theta_power,Fp1_alpha_power,Fp1_beta_power,Fp1_theta_beta_ratio,Fp2_delta_power,Fp2_theta_power,Fp2_alpha_power,Fp2_beta_power,Fp2_theta_beta_ratio,F3_delta_power,F3_theta_power,F3_alpha_power,F3_beta_power,F3_theta_beta_ratio,F4_delta_power,F4_theta_power,F4_alpha_power,F4_beta_power,F4_theta_beta_ratio,C3_delta_power,C3_theta_power,C3_alpha_power,C3_beta_power,C3_theta_beta_ratio,C4_delta_power,C4_theta_power,C4_alpha_power,C4_beta_power,C4_theta_beta_ratio,P3_delta_power,P3_theta_power,P3_alpha_power,P3_beta_power,P3_theta_beta_ratio,P4_delta_power,P4_theta_power,P4_alpha_power,P4_beta_power,P4_theta_beta_ratio,O1_delta_power,O1_theta_power,O1_alpha_power,O1_beta_power,O1_theta_beta_ratio,O2_delta_power,O2_theta_power,O2_alpha_power,O2_beta_power,O2_theta_beta_ratio,F7_delta_power,F7_theta_power,F7_alpha_power,F7_beta_power,F7_theta_beta_ratio,F8_delta_power,F8_theta_power,F8_alpha_power,F8_beta_power,F8_theta_beta_ratio,T7_delta_power,T7_theta_power,T7_alpha_power,T7_beta_power,T7_theta_beta_ratio,T8_delta_power,T8_theta_power,T8_alpha_power,T8_beta_power,T8_theta_beta_ratio,P7_delta_power,P7_theta_power,P7_alpha_power,P7_beta_power,P7_theta_beta_ratio,P8_delta_power,P8_theta_power,P8_alpha_power,P8_beta_power,P8_theta_beta_ratio,Fz_delta_power,Fz_theta_power,Fz_alpha_power,Fz_beta_power,Fz_theta_beta_ratio,Cz_delta_power,Cz_theta_power,Cz_alpha_power,Cz_beta_power,Cz_theta_beta_ratio,Pz_delta_power,Pz_theta_power,Pz_alpha_power,Pz_beta_power,Pz_theta_beta_ratio
Fp1_delta_power,1.0,0.8105764145954522,0.47181385510312,0.14722369116869383,0.6576414595452141,0.6467477525118984,0.6482284505552618,0.42395557905869913,0.08688524590163935,0.5783183500793231,0.6333685880486515,0.27773664727657327,0.25230037017451085,0.1632469592808038,0.17662612374405076,0.335695399259651,0.25631940772078265,0.3239555790586991,0.15309360126916974,0.11998942358540454,0.6197250132205182,0.43601269169751455,0.27006874669487047,0.26240084611316766,0.18699101004759386,0.14600740349021682,0.10867265996827076,0.13035430988894764,0.13157059756742465,0.013273400317292438,0.45293495505023795,0.2988365943945003,0.2122157588577472,0.24235854045478583,0.06906398730830249,0.25875198307773667,0.222104706504495,0.1578529878371232,0.32966684294024323,-0.052723426758328924,0.3787414066631412,0.2629825489159175,0.1925965097831835,0.19264939185616076,0.109941829719725,0.28582760444209415,0.25441565309360126,0.15780010576414596,0.17535695399259651,0.08847170809095717,0.36737176097303015,0.3101533580116341,0.2762030671602327,-0.019090428344791115,0.24674775251189845,0.1605499735589635,0.24743521946060285,0.2779481755684823,0.043204653622422,0.19116869381279747,0.38487572712850343,0.2978318350079323,0.1850872554204125,0.02601797990481227,0.26478053939714435,0.0923320994182972,0.1540983606557377,0.22332099418297197,-0.07006874669487044,0.29492332099418295,0.41433104177683766,0.27800105764145955,0.2202009518773136,0.09360126916975145,0.2064516129032258,0.21422527763088314,0.2098360655737705,0.2903225806451613,0.03426758328926494,0.23992596509783184,0.7170809095716552,0.3605499735589635,0.29085140137493387,0.15224748810153357,0.18027498677948176,0.19603384452670544,0.15039661554732944,0.155579058699101,0.23664727657324167,-0.05780010576414595,0.3904283447911158,0.3287149656266526,0.17794817556848228,0.22548915917503967,0.08096245372818614
Fp1_theta_power,0.8105764145954522,1.0,0.722316234796404,0.28915917503966154,0.6945002644103648,0.5878371232152301,0.8114225277630883,0.575251189846642,0.17392913802221047,0.6046007403490217,0.5472236911686938,0.5722369116869381,0.46319407720782657,0.341988365943945,0.2744579587519831,0.30195663670015865,0.4572184029613961,0.39132734003172925,0.2484399788471708,0.21136964569011105,0.4978847170809096,0.6064516129032258,0.24579587519830778,0.37445795875198307,0.21909042834479112,0.08202009518773136,0.2685351665785299,0.0224748810153358,0.1974616604970915,0.09159175039661555,0.45351665785298784,0.5021681649920677,0.2779481755684823,0.4423056583818086,0.0662083553675304,0.1978318350079323,0.40206240084611317,0.19941829719725013,0.4423056583818086,-0.0028556319407720783,0.3074563722897938,0.38402961396086727,0.3203067160232681,0.345425700687467,0.05177154944473823,0.2110523532522475,0.2792702273929138,0.22501322051824432,0.25822316234796405,0.03141195134849286,0.15346377578001058,0.42956107879428873,0.42940243257535693,0.1367530407191962,0.19196192490745637,0.10661025912215759,0.35050237969328396,0.39323109465891065,0.18254891591750397,0.20624008461131677,0.34182971972501325,0.4585404547858276,0.35742993125330513,0.16604970914859862,0.289053410893707,0.021998942358540455,0.239555790586991,0.27128503437334744,0.017292437863564252,0.31057641459545215,0.44219989423585404,0.46938127974616606,0.3940772078265468,0.29185616076150184,0.21242728714965628,0.2536753040719196,0.3074563722897938,0.3225806451612903,0.16980433632998412,0.2156002115282919,0.5927551560021153,0.6059756742464305,0.46478053939714437,0.3197250132205182,0.2454785827604442,0.20544685351665784,0.3022739291380222,0.13696456901110524,0.38191433104177686,-0.03231094658910629,0.38043363299841354,0.5169751454257007,0.2696985721840296,0.4211528291909043,0.035483870967741936
Fp1_alpha_power,0.47181385510312,0.722316234796404,1.0,0.49317821258593336,0.334479111581174,0.2278688524590164,0.5273929138022211,0.769169751454257,0.3586991010047594,0.2192490745637229,0.37366472765732417,0.6301427815970386,0.8368059227921735,0.6253305129561079,0.014859862506610259,0.11163405605499735,0.4514013749338974,0.6001586462189318,0.5157588577472237,-0.08164992067689053,0.3032258064516129,0.518455843469064,0.49360126916975144,0.5822845055526177,-0.053569539925965096,-0.05452141723955579,0.28413537810682177,0.2472236911686938,0.4267583289264939,-0.17620306716023268,0.4098360655737705,0.4907985193019566,0.5589635113696457,0.6457958751983077,-0.19471179270227393,0.07831835007932311,0.35351665785298786,0.4466948704389212,0.5955050237969328,-0.25161290322580643,0.2562136435748281,0.3323638286620835,0.5250661025912216,0.48461131676361713,-0.11713379164463247,0.11417239555790587,0.2255420412480169,0.38217874140666314,0.4285034373347435,-0.1627181385510312,0.10253833950290851,0.38402961396086727,0.6423585404547858,0.40708619777895294,-0.016922263352723427,-0.09397144368059228,0.17895293495505024,0.41782125859333685,0.3734003172924379,-0.12152300370174511,0.28778424114225276,0.3872025383395029,0.593918561607615,0.38556319407720785,0.013960867265996827,-0.011475409836065573,0.2810153358011634,0.4180856689582232,0.2236911686938128,0.14383923849814914,0.40824960338445265,0.4674246430460074,0.632469592808038,0.4512956107879429,0.0701216287678477,0.07916446324695928,0.24246430460074034,0.37932310946589104,0.26589106292966685,0.04436805922792173,0.43950290851401375,0.6207826546800634,0.8214172395557906,0.6271285034373347,-0.06821787414066631,0.11438392384981491,0.24690639873083026,0.4125330512956108,0.5537810682178741,-0.23870967741935484,0.40962453728186143,0.49333685880486516,0.6046536224219989,0.6672659968270757,-0.25690111052353254
Fp1_beta_power,0.14722369116869383,0.28915917503966154,0.49317821258593336,1.0,-0.40951877313590695,0.08995240613432047,0.23907985193019565,0.38429402432575355,0.7434690639873083,-0.30698043363299843,0.15827604442094131,0.4737704918032787,0.3911158117398202,0.794923320994183,-0.3588577472236912,0.11586462189317821,0.2646218931782126,0.20544685351665784,0.6030142781597039,-0.31745108408249606,0.12585933368588048,0.4629825489159175,0.12363828662083554,0.6309360126916975,-0.11856160761501851,0.0449497620306716,0.3170280274986779,0.113590692755156,0.44658910629296666,-0.18376520359598097,0.25023796932839765,0.4487572712850344,0.23844526705446853,0.5595452141723956,-0.1434690639873083,0.17181385510312006,0.2670015864621893,0.17197250132205183,0.4232681121099947,-0.20163934426229507,0.1547858276044421,0.22014806980433632,0.2469592808038075,0.3538868323638287,-0.13141195134849287,0.16879957694341619,0.14410364886303542,0.23141195134849285,0.30698043363299843,-0.16319407720782655,-0.025806451612903226,0.2034902168164992,0.22310946589106292,0.6598096245372819,-0.4485986250661026,0.003966155473294554,0.1731887890005288,0.23051295610787942,0.5758328926493919,-0.2803807509254363,0.18455843469063987,0.32321523003701746,0.23992596509783184,0.51602326811211,-0.09333685880486516,-0.004759386567953464,0.16858804865150714,0.0842411422527763,0.3697514542570069,-0.17059756742464305,0.20306716023268112,0.361660497091486,0.3220518244315177,0.5065573770491804,-0.07340031729243786,0.04225277630883131,0.10576414595452142,0.10861977789529349,0.26129032258064516,-0.14447382337387626,0.19592808038075094,0.4121099947117927,0.3467477525118985,0.7791644632469593,-0.4044949762030672,0.10798519301956637,0.212374405076679,0.13246959280803808,0.34960338445267053,-0.13395029085140137,0.20544685351665784,0.4066102591221576,0.3028027498677948,0.5792173453199365,-0.24627181385510313
Fp1_theta_beta_ratio,0.6576414595452141,0.6945002644103648,0.334479111581174,-0.40951877313590695,1.0,0.4891062929666843,0.5805393971443681,0.266737176097303,-0.3471179270227393,0.8209413008989952,0.4282919090428345,0.19307244843997884,0.1433632998413538,-0.2234267583289265,0.5365943945002644,0.2647276573241671,0.2667900581702803,0.2068746694870439,-0.1641988365943945,0.45081967213114754,0.3948704389212057,0.2108937070333157,0.1466948704389212,-0.09545214172395558,0.30100475938656795,0.0858804865150714,0.059598096245372816,-0.012533051295610787,-0.09365415124272872,0.22950819672131148,0.2893707033315706,0.14331041776837652,0.05906927551560021,0.019090428344791115,0.18461131676361714,0.09873083024854575,0.17265996827075622,0.05573770491803279,0.10534108937070333,0.13744050766790059,0.17461660497091486,0.18064516129032257,0.141988365943945,0.10629296668429403,0.12940243257535694,0.1022739291380222,0.18646218931782127,0.07784241142252776,0.04299312533051296,0.16329984135378106,0.18524590163934426,0.23622421998942358,0.19968270756213644,-0.3124272871496563,0.47355896351136967,0.14420941300898996,0.2243786356425172,0.1621893178212586,-0.22453728186144897,0.4244843997884717,0.22501322051824432,0.22728714965626653,0.18090957165520888,-0.16329984135378106,0.3442622950819672,0.06874669487043893,0.1488630354309889,0.18043363299841353,-0.2294553146483342,0.44674775251189847,0.2734531993654151,0.14706504494976202,0.09799048122686409,-0.12014806980433633,0.27852987837123216,0.20058170280274987,0.21099947117927023,0.2343204653622422,-0.024854574299312534,0.3350608143839239,0.41205711263881545,0.23749338974087783,0.1540983606557377,-0.23151771549444738,0.5071919619249075,0.15156002115282918,0.1586991010047594,0.017345319936541512,0.10116340560549973,0.09994711792702274,0.2465362242199894,0.18503437334743522,0.030301427815970387,-0.006398730830248546,0.21406663141195134
Fp2_delta_power,0.6467477525118984,0.5878371232152301,0.2278688524590164,0.08995240613432047,0.4891062929666843,1.0,0.797778952934955,0.4670015864621893,0.18551031200423057,0.6373347435219461,0.28725542041248014,0.053305129561078794,0.010364886303543099,0.015071390798519302,0.09164463246959281,0.6356425171866738,0.331041776837652,0.25769434161819144,0.10460074034902168,0.3017451084082496,0.32966684294024323,0.26953992596509785,0.06493918561607614,0.06615547329455315,0.1508725542041248,0.4562665256478054,0.2696456901110523,0.13574828133262823,0.10364886303543099,0.19873083024854574,0.21792702273929138,0.15378106821787413,0.02845055526176626,0.08524590163934426,0.06991010047593865,0.6019037546271814,0.4565309360126917,0.15520888418826018,0.28413537810682177,0.20301427815970385,0.2204653622421999,0.2187202538339503,0.11676361713379164,0.12681121099947118,0.07445795875198308,0.4490216816499207,0.3655737704918033,0.21274457958751983,0.16023268112109995,0.23855103120042306,0.1195134849286092,0.15542041248016922,0.12575356953992597,0.03839238498149127,0.05118984664198837,0.5175039661554733,0.5611845584346906,0.4766261237440508,0.18524590163934426,0.4535695399259651,0.15758857747223692,0.1948704389212057,0.14690639873083025,-0.011634056054997356,0.185193019566367,0.36224219989423584,0.37678476996298255,0.303648863035431,0.1017451084082496,0.353146483342147,0.18831306187202537,0.12496033844526705,0.14309888947646748,0.19561078794288736,-0.03923849814912744,0.576679005817028,0.46805922792173454,0.3940772078265468,0.24918032786885247,0.30962453728186146,0.38122686409307244,0.13717609730301428,0.05891062929666843,-0.012004230565838181,0.14780539397144368,0.568164992067689,0.3241142252776309,0.1571655208884188,0.21438392384981492,0.13157059756742465,0.1350079323109466,0.16361713379164464,-0.012903225806451613,0.024907456372289794,0.12781597038603915
Fp2_theta_power,0.6482284505552618,0.8114225277630883,0.5273929138022211,0.23907985193019565,0.5805393971443681,0.797778952934955,1.0,0.7028027498677948,0.34262295081967215,0.6328926493918562,0.25594923320994184,0.2828662083553675,0.23987308302485458,0.19122157588577474,0.16726599682707563,0.4913802221047065,0.5408778424114226,0.4384452670544685,0.291274457958752,0.2993654151242729,0.26282390269698575,0.40396615547329456,0.10475938656795346,0.18339502908514013,0.21121099947117927,0.2802221047065045,0.43104177683765205,0.13707033315705977,0.20893707033315706,0.2675304071919619,0.26784769962982546,0.3121099947117927,0.10867265996827076,0.24114225277630882,0.10401903754627181,0.3924378635642517,0.5257006874669488,0.19122157588577474,0.40861977789529347,0.14368059227921734,0.19338974087784241,0.2493918561607615,0.22443151771549444,0.21517715494447381,0.0663670015864622,0.30465362242199895,0.3361713379164463,0.2310946589106293,0.23421470121628768,0.13532522474881015,-0.04225277630883131,0.22384981491274458,0.2834479111581174,0.11290322580645161,0.07112638815441566,0.3026969857218403,0.5676361713379164,0.5609201480698044,0.27757800105764147,0.39254362771020623,0.1417239555790587,0.3226335272342676,0.2740877842411423,0.15071390798519302,0.1931253305129561,0.1814383923849815,0.39994711792702275,0.31195134849286094,0.16308831306187202,0.32845055526176625,0.2317821258593337,0.27451084082496036,0.27091485986250663,0.24331041776837653,0.09978847170809095,0.42940243257535693,0.4636700158646219,0.40491803278688526,0.312374405076679,0.29201480698043364,0.3761501850872554,0.3760444209413009,0.2792702273929138,0.1763088313061872,0.201216287678477,0.39153886832363827,0.440772078265468,0.1398202009518773,0.3353781068217874,0.1222104706504495,0.19053410893707035,0.32591221575885776,0.10782654680063458,0.22887361184558436,0.0967741935483871
Fp2_alpha_power,0.42395557905869913,0.575251189846642,0.769169751454257,0.38429402432575355,0.266737176097303,0.4670015864621893,0.7028027498677948,1.0,0.5080909571655209,0.2589106292966684,0.11406663141195135,0.3061872025383395,0.6071390798519302,0.4443680592279217,-0.13289264939185616,0.3007403490216817,0.561872025383395,0.7612903225806451,0.6205182443151771,-0.028820729772607086,0.13865679534637756,0.317239555790587,0.32268640930724485,0.386620835536753,-0.0807509254362771,0.20999471179270227,0.4800634584875727,0.4100475938656795,0.5197250132205182,-0.029455314648334216,0.24325753569539926,0.26953992596509785,0.41623479640401906,0.44812268640930725,-0.22215758857747223,0.3598096245372819,0.5538339502908514,0.5616076150185088,0.6496033844526705,-0.08635642517186674,0.202432575356954,0.22464304600740348,0.45256478053939714,0.30787942887361186,-0.03289264939185616,0.31523003701745106,0.41216287678477,0.475251189846642,0.4759915388683236,0.012057112638815442,-0.07271285034373347,0.17440507667900582,0.4985193019566367,0.3465362242199894,-0.1404019037546272,0.10512956107879429,0.39254362771020623,0.6319407720782655,0.4756742464304601,0.05002644103648863,0.11311475409836065,0.230830248545743,0.5042305658381808,0.29989423585404545,-0.06398730830248546,0.1977260708619778,0.5092014806980434,0.5921734531993654,0.40861977789529347,0.1985193019566367,0.21433104177683765,0.2900052882072977,0.53590692755156,0.41110523532522475,-0.074034902168165,0.3051295610787943,0.4691168693812797,0.5786356425171867,0.44732945531464835,0.15002644103648863,0.2967741935483871,0.3916446324695928,0.6459545214172395,0.48741406663141196,-0.15795875198307774,0.2992067689053411,0.38503437334743523,0.49799048122686407,0.5636171337916447,-0.12363828662083554,0.1849286092014807,0.2569539925965098,0.43987308302485456,0.4602855631940772,-0.23479640401903754
Fp2_beta_power,0.08688524590163935,0.17392913802221047,0.3586991010047594,0.7434690639873083,-0.3471179270227393,0.18551031200423057,0.34262295081967215,0.5080909571655209,1.0,-0.43564251718667374,0.022792173453199366,0.22464304600740348,0.25806451612903225,0.5848228450555262,-0.3923320994182972,0.18757271285034374,0.32189317821258595,0.3199365415124273,0.7016922263352724,-0.35393971443680594,0.027234267583289264,0.2940772078265468,0.07678476996298254,0.44664198836594393,-0.1207297726070862,0.18350079323109467,0.3573241671073506,0.22644103648863034,0.5428873611845584,-0.2212585933368588,0.1534108937070333,0.21718667371760972,0.1500793231094659,0.41930195663670017,-0.2154944473823374,0.27948175568482286,0.2704389212057113,0.21813855103120042,0.4617662612374405,-0.24061343204653624,0.1125330512956108,0.1064516129032258,0.17451084082496035,0.2847699629825489,-0.15267054468535166,0.18339502908514013,0.09804336329984135,0.17265996827075622,0.3811210999471179,-0.24727657324167107,-0.09619249074563722,0.08804865150713909,0.21353781068217875,0.5792173453199365,-0.4374405076679006,0.12157588577472236,0.23833950290851402,0.34960338445267053,0.6592808038075093,-0.20163934426229507,0.10481226864093073,0.18857747223691168,0.22014806980433632,0.3880486515071391,-0.14309888947646748,0.12940243257535694,0.24706504494976203,0.1711792702273929,0.501427815970386,-0.21935483870967742,0.12004230565838181,0.16679005817028028,0.21956636700158647,0.4503437334743522,-0.20370174510840824,0.0493918561607615,0.1227392913802221,0.17112638815441567,0.4411951348492861,-0.2796404019037546,0.11332628239026969,0.27033315705975675,0.2652564780539397,0.5971443680592279,-0.3809095716552089,0.1921734531993654,0.24288736118455845,0.23024854574299314,0.4044420941300899,-0.1364886303543099,0.1506081438392385,0.22459016393442624,0.2493918561607615,0.450713907985193,-0.25885774722369115
Fp2_theta_beta_ratio,0.5783183500793231,0.6046007403490217,0.2192490745637229,-0.30698043363299843,0.8209413008989952,0.6373347435219461,0.6328926493918562,0.2589106292966684,-0.43564251718667374,1.0,0.23072448439978846,0.06747752511898467,0.017080909571655208,-0.25023796932839765,0.4194077207826547,0.3193548387096774,0.2278688524590164,0.13384452670544686,-0.2583818085668958,0.5672659968270756,0.3170280274986779,0.1437334743521946,0.06393442622950819,-0.144420941300899,0.24833421470121628,0.1853516657852988,0.12469592808038076,-0.010470650449497621,-0.1617662612374405,0.3430460074034902,0.1982548915917504,0.12210470650449498,-0.023638286620835537,-0.07578001057641459,0.23833950290851402,0.1787414066631412,0.27461660497091483,0.027921734531993654,0.025806451612903226,0.3089899524061343,0.15864621893178213,0.18551031200423057,0.13130618720253834,0.026599682707562137,0.20031729243786356,0.15393971443680593,0.24986779481755686,0.08804865150713909,-0.07572712850343734,0.35663670015864624,0.07472236911686939,0.12310946589106293,0.07398202009518773,-0.28683236382866206,0.34299312533051296,0.23923849814912745,0.35647805393971443,0.23220518244315178,-0.2047065044949762,0.5064516129032258,0.15378106821787413,0.21602326811211,0.12808038075092543,-0.12797461660497092,0.33151771549444736,0.12199894235854046,0.22591221575885775,0.1745637228979376,-0.18027498677948176,0.457800105764146,0.14114225277630882,0.12876784769962982,0.11263881544156532,-0.058646218931782124,0.20206240084611315,0.37488101533580115,0.3281332628239027,0.2331041776837652,-0.05013220518244315,0.47990481226864096,0.26478053939714435,0.09635113696456901,0.03194077207826547,-0.2641988365943945,0.4566367001586462,0.2668958223162348,0.20777366472765732,-0.0325753569539926,0.010576414595452142,0.18609201480698043,0.14357482813326283,0.13823373876255948,-0.08535166578529878,-0.11554732945531465,0.26668429402432575
