,Fp1_delta_power,Fp1_theta_power,Fp1_alpha_power,Fp1_beta_power,Fp1_theta_beta_ratio,Fp2_delta_power,Fp2_theta_power,Fp2_alpha_power,Fp2_beta_power,Fp2_theta_beta_ratio,F3_delta_power,F3_theta_power,F3_alpha_power,F3_beta_power,F3_theta_beta_ratio,F4_delta_power,F4_theta_power,F4_alpha_power,F4_beta_power,F4_theta_beta_ratio,C3_delta_power,C3_theta_power,C3_alpha_power,C3_beta_power,C3_theta_beta_ratio,C4_delta_power,C4_theta_power,C4_alpha_power,C4_beta_power,C4_theta_beta_ratio,P3_delta_power,P3_theta_power,P3_alpha_power,P3_beta_power,P3_theta_beta_ratio,P4_delta_power,P4_theta_power,P4_alpha_power,P4_beta_power,P4_theta_beta_ratio,O1_delta_power,O1_theta_power,O1_alpha_power,O1_beta_power,O1_theta_beta_ratio,O2_delta_power,O2_theta_power,O2_alpha_power,O2_beta_power,O2_theta_beta_ratio,F7_delta_power,F7_theta_power,F7_alpha_power,F7_beta_power,F7_theta_beta_ratio,F8_delta_power,F8_theta_power,F8_alpha_power,F8_beta_power,F8_theta_beta_ratio,T7_delta_power,T7_theta_power,T7_alpha_power,T7_beta_power,T7_theta_beta_ratio,T8_delta_power,T8_theta_power,T8_alpha_power,T8_beta_power,T8_theta_beta_ratio,P7_delta_power,P7_theta_power,P7_alpha_power,P7_beta_power,P7_theta_beta_ratio,P8_delta_power,P8_theta_power,P8_alpha_power,P8_beta_power,P8_theta_beta_ratio,Fz_delta_power,Fz_theta_power,Fz_alpha_power,Fz_beta_power,Fz_theta_beta_ratio,Cz_delta_power,Cz_theta_power,Cz_alpha_power,Cz_beta_power,Cz_theta_beta_ratio,Pz_delta_power,Pz_theta_power,Pz_alpha_power,Pz_beta_power,Pz_theta_beta_ratio
Fp1_delta_power,1.0,0.8341205890525146,0.5757710475131981,0.42200611280911365,0.4186718532925813,0.817782717421506,0.6908030008335648,0.4182272853570436,0.298916365657127,0.40416782439566545,0.6677966101694915,0.5101417060294526,0.3287024173381495,0.38405112531258684,0.23073075854404002,0.6993609335926646,0.5747707696582384,0.24762434009447068,0.34265073631564325,0.2531814392886913,0.7536537927202,0.5869963878855238,0.23995554320644624,0.41689358155043066,0.3433731592108919,0.60377882745207,0.4944151153098083,0.12570158377327034,0.3525979438732981,0.3388719088635732,0.7367602111697694,0.58438455126424,0.3412058905251459,0.3801055848846902,0.2986940816893582,0.6271742150597388,0.5027507641011392,0.28519033064740207,0.31403167546540706,0.24529035843289804,0.7989441511530981,0.6978049458182829,0.5037510419560989,0.32142261739372047,0.304306751875521,0.7988885801611558,0.6268963601000278,0.45156988052236735,0.42189497082522925,0.1748263406501806,0.6696860238955266,0.6177271464295637,0.42133926090580714,0.30969713809391497,0.43550986385106977,0.6288969158099472,0.6036676854681856,0.42228396776882465,0.4621839399833287,0.3114754098360656,0.4999722145040289,0.5771603223117533,0.3882745207001945,0.3308141150319533,0.3325923867741039,0.5581550430675187,0.49196999166435124,0.3207001944984718,0.36382328424562377,0.201889413726035,0.7160878021672686,0.6748541261461517,0.4903584328980272,0.3774381772714643,0.3297026951931092,0.7340928035565435,0.631786607390942,0.43373159210891915,0.4522367324256738,0.11191997777160323,0.7725479299805501,0.5703806612948041,0.3104751319811059,0.4637954987496527,0.13492636843567657,0.680300083356488,0.6231731036399,0.3243678799666574,0.4388441233676021,0.262795220894693,0.7438177271464296,0.5592664629063628,0.3610447346485135,0.3954431786607391,0.22684078910808558
Fp1_theta_power,0.8341205890525146,1.0,0.7231453181439289,0.5573214781883856,0.4223951097527091,0.6764656849124757,0.7896637954987497,0.5610447346485135,0.3811058627396499,0.421839399833287,0.4904140038899694,0.5855515420950264,0.35632120033342596,0.4425673798277299,0.22689636010002778,0.5084745762711864,0.6503473186996388,0.3251458738538483,0.34704084467907753,0.3351486524034454,0.5616560155598778,0.643678799666574,0.24751319811058628,0.448791330925257,0.3422617393720478,0.4119477632675743,0.5456515698805223,0.2197832731314254,0.3577660461239233,0.36810225062517365,0.5786607390941928,0.6636843567657683,0.3814392886913031,0.39566546262850794,0.3889969435954432,0.46240622395109754,0.5699360933592664,0.3343706585162545,0.3676021116976938,0.2692970269519311,0.7003612114476243,0.7395943317588219,0.538816337871631,0.39761044734648515,0.2430675187552098,0.5974993053626008,0.5893303695470964,0.39849958321756046,0.35443178660739094,0.19605445957210335,0.5264795776604613,0.7333703806612948,0.5396499027507641,0.42411781050291747,0.4186162823006391,0.41050291747707696,0.5598777438177271,0.42556265629341483,0.4351208669074743,0.28552375659905527,0.2845790497360378,0.5558766323978883,0.412670186162823,0.31097527090858573,0.3091969991664351,0.4566268407891081,0.5515976660183384,0.3053626007224229,0.26535148652403445,0.33181439288691306,0.6367879966657405,0.7711030841900528,0.5524312308974715,0.3884968046679633,0.3991664351208669,0.5504306751875521,0.6930258405112532,0.45290358432898026,0.42383995554320647,0.13726035009724924,0.5708808002222839,0.6453459294248403,0.38049458182828566,0.5202000555709919,0.15559877743817727,0.46974159488746875,0.6861906085023618,0.31614337315921087,0.4066685190330647,0.3764378994165046,0.7085301472631287,0.7070297304806891,0.425062517365935,0.48869130313976106,0.2828563489858294
Fp1_alpha_power,0.5757710475131981,0.7231453181439289,1.0,0.5964434565156989,0.11681022506251737,0.4098360655737705,0.5642678521811615,0.7125868296749097,0.354709641567102,0.20516810225062518,0.37543762156154487,0.5079188663517644,0.6915809947207557,0.6295081967213115,-0.1360377882745207,0.3485412614615171,0.5164212281189219,0.6812447902195055,0.5700472353431508,-0.0656849124756877,0.42639622117254794,0.4786885245901639,0.5872742428452348,0.5505418171714365,-0.037065851625451514,0.2207835509863851,0.40300083356487915,0.5574881911642123,0.512420116699083,-0.010391775493192553,0.3400388996943595,0.4270075020839122,0.5950541817171436,0.47807724367879967,0.012170047235343151,0.3081967213114754,0.36176715754376215,0.5996665740483468,0.5269241455959989,-0.13098082800777994,0.40961378160600165,0.45890525145873856,0.5691025284801333,0.3620450125034732,0.006501806057238122,0.37243678799666574,0.31764378994165043,0.5117532647957767,0.3223117532647958,-0.008335648791330925,0.5393164767991109,0.68841344818005,0.8030564045568214,0.5465962767435398,0.25484856904695746,0.38082800777993886,0.43934426229508194,0.6385662684078911,0.45268130036121146,0.12492358988607946,0.06963045290358433,0.31103084190052793,0.6246735204223396,0.441511530980828,-0.05640455682133926,0.20422339538760767,0.3317588218949708,0.5912753542650736,0.32914698527368713,0.04517921644901361,0.39849958321756046,0.4558488469019172,0.7066407335370937,0.36493470408446793,0.11197554876354543,0.4205056960266741,0.46001667129758267,0.6261739372047791,0.47151986662961937,-0.08980272297860517,0.34909697138093915,0.5038621839399833,0.7109752709085857,0.6346207279799945,-0.17249235898860796,0.3133092525701584,0.4621283689913865,0.6292859127535426,0.5809391497638233,0.02045012503473187,0.34692970269519313,0.4196165601555988,0.6097804945818283,0.6216726868574604,-0.1658794109474854
Fp1_beta_power,0.42200611280911365,0.5573214781883856,0.5964434565156989,1.0,-0.41472631286468464,0.24034454015004167,0.37149208113364823,0.33414837454848567,0.5149208113364824,-0.2134481800500139,0.14642956376771327,0.3483745484856905,0.2621283689913865,0.6131147540983607,-0.29936093359266464,0.10425118088357878,0.31208669074742984,0.2712420116699083,0.4936371214226174,-0.189219227563212,0.1982217282578494,0.2925257015837733,0.13753820505696027,0.46001667129758267,-0.1216449013614893,0.07879966657404834,0.2923589886079467,0.28985829397054735,0.47957766046123923,-0.10819672131147541,0.18432898027229785,0.33831619894415116,0.28507918866351767,0.43895526535148655,-0.06979716587941094,0.10386218393998332,0.23912197832731313,0.27707696582383995,0.44356765768268963,-0.19299805501528203,0.23706585162545152,0.36732425673798275,0.3980550152820228,0.43462072797999446,-0.15548763545429287,0.23117532647957767,0.277632675743262,0.2432342317310364,0.3333148096693526,-0.03339816615726591,0.290302861906085,0.43395387607668795,0.4577382606279522,0.6532925812725757,-0.13114754098360656,0.2153375937760489,0.35120866907474296,0.32670186162823006,0.549597110308419,-0.1180327868852459,-0.03989997221450403,0.16454570714087247,0.24162267296471243,0.38060572381217006,-0.15004167824395664,0.1620450125034732,0.270352875798833,0.210780772436788,0.3240344540150042,0.03584328980272298,0.1711030841900528,0.30941928313420397,0.36721311475409835,0.3640455682133926,-0.058071686579605444,0.10013892747985552,0.2161155876632398,0.27063073075854405,0.4747429841622673,-0.24612392331203112,0.22128368991386496,0.3115309808280078,0.3180327868852459,0.6103917754931926,-0.3550986385106974,0.1440400111141984,0.33009169213670464,0.20861350375104196,0.42828563489858296,-0.020561267018616283,0.20161155876632397,0.3349263684356766,0.2973603778827452,0.5344818005001389,-0.15354265073631565
Fp1_theta_beta_ratio,0.4186718532925813,0.4223951097527091,0.11681022506251737,-0.41472631286468464,1.0,0.4840789108085579,0.46863017504862464,0.26229508196721313,-0.15365379272020005,0.7958877465962767,0.4386218393998333,0.2919699916643512,0.16071130869686023,-0.2090580716865796,0.7161433731592108,0.45734926368435674,0.3813281467074187,0.07479855515420951,-0.2092247846624062,0.6811892192275633,0.42645179216449014,0.4088357877188108,0.12636843567657682,-0.042289524868018895,0.6229508196721312,0.4205612670186163,0.3209780494581828,-0.05607113086968602,-0.17788274520700195,0.6363434287302029,0.48152264517921645,0.36176715754376215,0.11992220061128091,-0.08341205890525145,0.6168380105584884,0.4248402333981662,0.3864962489580439,0.07663239788830231,-0.1306474020561267,0.6335093081411504,0.5365379272020006,0.42200611280911365,0.20527924423450958,-0.04312308974715199,0.49874965268130034,0.4246735204223395,0.3687135315365379,0.14987496526813004,-0.039677688246735204,0.3972214504028897,0.2500694637399278,0.3303695470964157,0.13170325090302862,-0.18138371769936093,0.5996665740483468,0.24351208669074742,0.25168102250625174,0.15998888580161155,-0.08996943595443178,0.4846901917199222,0.38588496804667966,0.4675743262017227,0.2313976104473465,-0.12647957766046125,0.601333703806613,0.42839677688246736,0.42756321200333425,0.18238399555432064,-0.08669074742984162,0.47168657960544597,0.5417060294526257,0.5181994998610725,0.25996110030564046,0.04856904695748819,0.5677132536815782,0.4903584328980272,0.5384829119199778,0.2342873020283412,-0.10514031675465407,0.547985551542095,0.4064462350652959,0.36993609335926647,0.10953042511808836,-0.0964156710197277,0.637454848569047,0.3866629619338705,0.3930536260072242,0.15698805223673243,-0.02856348985829397,0.4894137260350097,0.5357043623228674,0.41678243956654626,0.15276465684912477,-0.07891080855793275,0.5254237288135594
Fp2_delta_power,0.817782717421506,0.6764656849124757,0.4098360655737705,0.24034454015004167,0.4840789108085579,1.0,0.8311197554876355,0.5613225896082245,0.4001111419838844,0.4182272853570436,0.6270075020839122,0.43923312031119754,0.22278410669630452,0.2923589886079467,0.29041400388996946,0.6953598221728258,0.5540427896637955,0.1891080855793276,0.27174215059738815,0.30975270908585717,0.6922478466240622,0.5221450402889691,0.12053348152264518,0.3190886357321478,0.33714920811336485,0.6066129480411225,0.4378438455126424,0.06207279799944429,0.29152542372881357,0.3327590997499305,0.7365379272020005,0.5257015837732704,0.24567935537649346,0.2670186162823006,0.3718810780772437,0.6300083356487913,0.5098638510697416,0.24534592942484024,0.2441789385940539,0.32553487079744375,0.7755487635454292,0.5860516810225063,0.4163934426229508,0.31475409836065577,0.25173659349819394,0.751764378994165,0.5836065573770491,0.4123367602111698,0.423728813559322,0.13987218671853294,0.4968602389552654,0.46462906362878575,0.2978605168102251,0.22828563489858295,0.3286468463462073,0.6038343984440122,0.5525423728813559,0.31203111975548764,0.37265907196443454,0.3118088357877188,0.49619338705195887,0.5230897471519866,0.33520422339538763,0.18727424284523478,0.38955265351486523,0.42539594331758823,0.38338427340928033,0.1847735482078355,0.3156988052236732,0.1152542372881356,0.7652681300361212,0.6705195887746597,0.4441233676021117,0.31191997777160324,0.3731592108919144,0.7280911364267852,0.5583773270352875,0.36260072242289526,0.3665462628507919,0.10680744651292026,0.7240344540150042,0.5282022784106696,0.2107252014448458,0.376271186440678,0.17799388719088635,0.6554042789663795,0.5383161989441512,0.21933870519588775,0.35026396221172545,0.28130036121144764,0.7357043623228675,0.4798555154209503,0.26851903306474023,0.31091969991664353,0.20522367324256738
Fp2_theta_power,0.6908030008335648,0.7896637954987497,0.5642678521811615,0.37149208113364823,0.46863017504862464,0.8311197554876355,1.0,0.8041122534037233,0.5429841622672965,0.45734926368435674,0.45501528202278413,0.5387607668796888,0.3530425118088358,0.3836621283689914,0.27352042233953877,0.5206446235065296,0.698638510697416,0.35187552097804947,0.3495415393164768,0.37343706585162545,0.4913587107529869,0.6075020839121978,0.2215059738816338,0.37954987496526815,0.3347040844679077,0.46790775215337593,0.5418171714365101,0.1899972214504029,0.3539872186718533,0.3614893025840511,0.6442900805779384,0.6452903584328981,0.35737704918032787,0.34492914698527366,0.4141706029452626,0.49535982217282576,0.5812170047235343,0.35087524312308976,0.3288691303139761,0.3262572936926924,0.6719088635732148,0.6526813003612114,0.46957488191164215,0.3693803834398444,0.221561544873576,0.582217282578494,0.5875520978049458,0.4068908030008336,0.3763267574326202,0.20116699083078632,0.3593220338983051,0.5788274520700194,0.46762989719366493,0.3281467074187274,0.33287024173381496,0.4069463739927758,0.5204223395387607,0.37243678799666574,0.374659627674354,0.2777438177271464,0.2956376771325368,0.5527090858571826,0.3941094748541262,0.2342873020283412,0.3706029452625729,0.3525423728813559,0.47952208946929703,0.2792998055015282,0.27885523756599057,0.2225062517365935,0.6621839399833287,0.7818838566268408,0.5217004723534315,0.3155320922478466,0.4666851903306474,0.5541539316476799,0.6454570714087247,0.46168380105584883,0.3548207835509864,0.16799110864128924,0.5685468185607113,0.664684634620728,0.3874965268130036,0.45507085301472633,0.2552375659905529,0.5196999166435121,0.6631286468463462,0.35115309808280076,0.39033064740205614,0.3453181439288691,0.6517365934981939,0.6348430119477633,0.39160878021672685,0.4124479021950542,0.2744095582106141
Fp2_alpha_power,0.4182272853570436,0.5610447346485135,0.7125868296749097,0.33414837454848567,0.26229508196721313,0.5613225896082245,0.8041122534037233,1.0,0.6001667129758266,0.2305084745762712,0.25701583773270353,0.4215059738816338,0.5781050291747708,0.4790775215337594,-0.01972770213948319,0.32292303417616003,0.5393720477910531,0.6033898305084746,0.4622395109752709,0.075743262017227,0.30452903584328983,0.4477910530702973,0.524256737982773,0.4128368991386496,0.07979994442900806,0.28235621005834954,0.3819949986107252,0.4361767157543762,0.4080577938316199,0.08241178105029175,0.43584328980272297,0.4621283689913865,0.51914420672409,0.4133370380661295,0.13314809669352598,0.3335370936371214,0.4043345373714921,0.556876910252848,0.4281744929146985,0.013670464017782718,0.3811058627396499,0.4079466518477355,0.5221450402889691,0.38393998332870244,-0.02222839677688247,0.3244234509585996,0.3323145318143929,0.4546818560711309,0.3252570158377327,0.023839955543206445,0.3369824951375382,0.5145318143928869,0.6262295081967213,0.3709363712142262,0.2180050013892748,0.29524868018894135,0.3556543484301195,0.5319811058627396,0.37238121700472354,0.11631008613503752,0.11403167546540706,0.35876632397888303,0.5429285912753543,0.3232008891358711,0.09591553209224785,0.11386496248958045,0.25568213392609057,0.45295915532092246,0.26879688802445123,-0.0025006946373992774,0.44123367602111696,0.5135315365379272,0.604056682411781,0.3422061683801056,0.17165879410947485,0.4141706029452626,0.4457904973603779,0.582217282578494,0.3664351208669075,-0.0055015282022784105,0.3104195609891637,0.5204223395387607,0.6009447068630175,0.5079744373437066,0.03145318143928869,0.3611003056404557,0.4774103917754932,0.5723812170047236,0.47424284523478744,0.11041956098916365,0.33642678521811614,0.4116699083078633,0.5941650458460683,0.5049736037788275,-0.062350652959155324
Fp2_beta_power,0.298916365657127,0.3811058627396499,0.354709641567102,0.5149208113364824,-0.15365379272020005,0.4001111419838844,0.5429841622672965,0.6001667129758266,1.0,-0.38316198944151153,0.05773826062795221,0.24873575993331482,0.18860794665184774,0.45996110030564047,-0.24112253403723258,0.12742428452347873,0.3233120311197555,0.2530702973048069,0.4388441233676021,-0.11464295637677133,0.13353709363712143,0.24829119199777716,0.1225896082245068,0.42383995554320647,-0.2117254792998055,0.05701583773270353,0.19344262295081968,0.12925812725757155,0.4036121144762434,-0.1387607668796888,0.274131703250903,0.3693248124479022,0.2626840789108086,0.4226729647124201,0.04206724090025007,0.23562100583495416,0.31819949986107254,0.34098360655737703,0.4755209780494582,-0.1430953042511809,0.12848013337038067,0.20333425951653236,0.2701305918310642,0.47968880244512363,-0.3177549319255349,0.23562100583495416,0.1881633787163101,0.21778271742150598,0.45190330647402055,-0.22756321200333426,0.18866351764378994,0.28257849402611834,0.32114476243400947,0.41650458460683526,-0.10647402056126702,0.16093359266462906,0.2694081689358155,0.24034454015004167,0.5180327868852459,-0.1314809669352598,0.0032231175326479576,0.1884968046679633,0.1737149208113365,0.29597110308419006,-0.058071686579605444,0.010836343428730202,0.10369547096415671,0.051458738538482915,0.40511253125868296,-0.26879688802445123,0.198110586273965,0.3079744373437066,0.21283689913864962,0.3703806612948041,-0.08307863295359823,0.10997499305362601,0.11514309530425118,0.1964434565156988,0.4451236454570714,-0.35220894692970267,0.1324256737982773,0.20305640455682133,0.13942761878299528,0.4489580439010836,-0.26607390941928316,0.1369824951375382,0.28669074742984163,0.18316198944151152,0.37871631008613504,0.008224506807446514,0.1685468185607113,0.27279799944429006,0.2694637399277577,0.5063073075854404,-0.17499305362600723
Fp2_theta_beta_ratio,0.40416782439566545,0.421839399833287,0.20516810225062518,-0.2134481800500139,0.7958877465962767,0.4182272853570436,0.45734926368435674,0.2305084745762712,-0.38316198944151153,1.0,0.4117254792998055,0.2828007779938872,0.18966379549874965,-0.15893303695470964,0.6456237843845513,0.4174492914698527,0.40600166712975827,0.10508474576271186,-0.16454570714087247,0.6262850791886635,0.3704918032786885,0.3823839955543206,0.14281744929146986,-0.059183106418449566,0.6487357599333148,0.4173381494859683,0.35893303695470963,0.01961656015559878,-0.12181161433731592,0.6301750486246179,0.4325090302861906,0.35326479577660463,0.17088080022228397,-0.06435120866907475,0.544484579049736,0.31303139761044735,0.32925812725757153,0.07513198110586274,-0.1451514309530425,0.6182828563489858,0.5548763545429286,0.48891358710752986,0.2720200055570992,-0.08335648791330925,0.5720477910530702,0.39966657404834677,0.42828563489858296,0.20038899694359544,-0.057682689636010004,0.45768268963601,0.21933870519588775,0.33820505696026676,0.1775493192553487,-0.1398166157265907,0.5692136704640178,0.2514031675465407,0.25579327590997497,0.18182828563489858,-0.13453737149208114,0.5143651014170603,0.27602111697693804,0.3898305084745763,0.24206724090025006,-0.11642122811892193,0.5103639899972214,0.4385106974159489,0.44984717977215893,0.2521811614337316,-0.23928869130313976,0.6368435676576827,0.4848569046957488,0.5119755487635455,0.3285912753542651,-0.04617949430397333,0.6464017782717422,0.4530702973048069,0.5655459849958322,0.306474020561267,-0.1287579883300917,0.6274520700194498,0.3964434565156988,0.43739927757710473,0.23284245623784386,-0.0297304806890803,0.6273409280355654,0.3938871908863573,0.4091136426785218,0.21305918310641844,-0.026007224228952488,0.4756876910252848,0.505918310641845,0.40427896637954985,0.15104195609891635,-0.08280077799388719,0.546373992775771
