,Fp1_theta_power,Fp2_theta_power,F7_theta_power,F3_theta_power,Fz_theta_power,F4_theta_power,F8_theta_power,T7_theta_power,C3_theta_power,Cz_theta_power,C4_theta_power,T8_theta_power,P7_theta_power,P3_theta_power,Pz_theta_power,P4_theta_power,P8_theta_power,O1_theta_power,O2_theta_power
Fp1_theta_power,1.0,0.7845584346906399,0.5250132205182443,0.625753569539926,0.5699101004759387,0.668958223162348,0.4565309360126917,0.5096774193548387,0.5052353252247488,0.5530407191961925,0.43008989952406135,0.39153886832363827,0.539132734003173,0.5683765203595981,0.5435748281332629,0.5725542041248017,0.44272871496562666,0.43759915388683235,0.5358011634056055
Fp2_theta_power,0.7845584346906399,1.0,0.4817028027498678,0.4781597038603913,0.3987308302485457,0.5222633527234267,0.502221047065045,0.42971972501322053,0.4535695399259651,0.370174510840825,0.2500793231094659,0.34838709677419355,0.4919619249074564,0.43162347964040193,0.39037546271813856,0.597990481226864,0.5378635642517187,0.3920676890534109,0.49550502379693284
F7_theta_power,0.5250132205182443,0.4817028027498678,1.0,0.5295610787942887,0.40724484399788474,0.46208355367530407,0.6071390798519302,0.5028027498677948,0.5835536753040719,0.5254891591750397,0.42548915917503966,0.4088841882601798,0.43204653622422,0.4341618191433104,0.5031200423056584,0.48646218931782126,0.39402432575356955,0.23860391327340033,0.3360655737704918
F3_theta_power,0.625753569539926,0.4781597038603913,0.5295610787942887,1.0,0.7589106292966684,0.7089899524061343,0.46901110523532524,0.588630354309889,0.5797461660497092,0.6409836065573771,0.5749867794817557,0.5379164463246959,0.559016393442623,0.6475938656795346,0.665309360126917,0.6722369116869381,0.5579058699101005,0.4586991010047594,0.5729772607086198
Fz_theta_power,0.5699101004759387,0.3987308302485457,0.40724484399788474,0.7589106292966684,1.0,0.7103648863035431,0.2837123215230037,0.5486515071390798,0.48149127445795875,0.5855103120042305,0.4678476996298255,0.41015335801163405,0.5424643046007404,0.49413008989952406,0.4967741935483871,0.5104706504494976,0.46827075621364356,0.4501322051824432,0.4800634584875727
F4_theta_power,0.668958223162348,0.5222633527234267,0.46208355367530407,0.7089899524061343,0.7103648863035431,1.0,0.3931253305129561,0.7252247488101533,0.6090428344791116,0.7556848228450556,0.588048651507139,0.5329984135378106,0.7182971972501322,0.7162876784769963,0.6249603384452671,0.6475938656795346,0.5463246959280804,0.617451084082496,0.6755156002115283
F8_theta_power,0.4565309360126917,0.502221047065045,0.6071390798519302,0.46901110523532524,0.2837123215230037,0.3931253305129561,1.0,0.3805393971443681,0.4589106292966684,0.3697514542570069,0.4426229508196721,0.47440507667900583,0.3396615547329455,0.4282390269698572,0.48418826017979905,0.5094658910629297,0.5110523532522475,0.31538868323638286,0.2773664727657324
T7_theta_power,0.5096774193548387,0.42971972501322053,0.5028027498677948,0.588630354309889,0.5486515071390798,0.7252247488101533,0.3805393971443681,1.0,0.5472765732416711,0.6483870967741936,0.3663670015864622,0.4854574299312533,0.6157059756742465,0.6501850872554205,0.4807509254362771,0.41570597567424644,0.48397673188789003,0.5868323638286621,0.5445795875198308
C3_theta_power,0.5052353252247488,0.4535695399259651,0.5835536753040719,0.5797461660497092,0.48149127445795875,0.6090428344791116,0.4589106292966684,0.5472765732416711,1.0,0.7432575356953992,0.5859333685880487,0.41263881544156533,0.5745108408249603,0.6242728714965626,0.5735060814383924,0.6134849286092015,0.4944473823373876,0.4084611316763617,0.4713379164463247
Cz_theta_power,0.5530407191961925,0.370174510840825,0.5254891591750397,0.6409836065573771,0.5855103120042305,0.7556848228450556,0.3697514542570069,0.6483870967741936,0.7432575356953992,1.0,0.6476996298254891,0.4175039661554733,0.5061872025383395,0.6178741406663141,0.6893707033315706,0.5128503437334744,0.3991538868323638,0.4313061872025383,0.4872025383395029
C4_theta_power,0.43008989952406135,0.2500793231094659,0.42548915917503966,0.5749867794817557,0.4678476996298255,0.588048651507139,0.4426229508196721,0.3663670015864622,0.5859333685880487,0.6476996298254891,1.0,0.6599153886832364,0.4739291380222105,0.5454785827604443,0.49148598625066103,0.5729243786356425,0.504071919619249,0.259227921734532,0.4574828133262824
