,Fp1_theta_power,Fp2_theta_power,F7_theta_power,F3_theta_power,Fz_theta_power,F4_theta_power,F8_theta_power,T7_theta_power,C3_theta_power,Cz_theta_power,C4_theta_power,T8_theta_power,P7_theta_power,P3_theta_power,Pz_theta_power,P4_theta_power,P8_theta_power,O1_theta_power,O2_theta_power
Fp1_theta_power,1.0,0.7896637954987497,0.7333703806612948,0.5855515420950264,0.6453459294248403,0.6503473186996388,0.5598777438177271,0.5558766323978883,0.643678799666574,0.6861906085023618,0.5456515698805223,0.5515976660183384,0.7711030841900528,0.6636843567657683,0.7070297304806891,0.5699360933592664,0.6930258405112532,0.7395943317588219,0.5893303695470964
Fp2_theta_power,0.7896637954987497,1.0,0.5788274520700194,0.5387607668796888,0.664684634620728,0.698638510697416,0.5204223395387607,0.5527090858571826,0.6075020839121978,0.6631286468463462,0.5418171714365101,0.47952208946929703,0.7818838566268408,0.6452903584328981,0.6348430119477633,0.5812170047235343,0.6454570714087247,0.6526813003612114,0.5875520978049458
F7_theta_power,0.7333703806612948,0.5788274520700194,1.0,0.6673520422339538,0.5753820505696027,0.640177827174215,0.5532647957766046,0.5284801333703807,0.7227563212003334,0.6137816060016671,0.5574881911642123,0.44473464851347594,0.6332870241733815,0.6347874409558211,0.6608502361767158,0.5787718810780772,0.6386774103917755,0.6515698805223673,0.5042511808835788
F3_theta_power,0.5855515420950264,0.5387607668796888,0.6673520422339538,1.0,0.7274798555154209,0.8483467629897193,0.6193387051958877,0.711308696860239,0.8461794943039733,0.7030286190608502,0.6963045290358433,0.5349263684356765,0.6125034731869964,0.7291469852736872,0.7701583773270353,0.6946929702695193,0.610502917477077,0.5869963878855238,0.47935537649347043
Fz_theta_power,0.6453459294248403,0.664684634620728,0.5753820505696027,0.7274798555154209,1.0,0.7922756321200334,0.5581550430675187,0.5884412336760211,0.7414281744929146,0.7728257849402612,0.7068630175048625,0.6615726590719644,0.7106418449569325,0.739372047791053,0.74609613781606,0.6707974437343707,0.6966379549874965,0.6954709641567102,0.6422895248680189
F4_theta_power,0.6503473186996388,0.698638510697416,0.640177827174215,0.8483467629897193,0.7922756321200334,1.0,0.684356765768269,0.7014170602945262,0.8392886913031398,0.7817727146429564,0.7558210614059461,0.6531258682967491,0.7517088080022228,0.8213392609058072,0.8258405112531259,0.8099472075576549,0.739094192831342,0.6519588774659628,0.5849958321756044
F8_theta_power,0.5598777438177271,0.5204223395387607,0.5532647957766046,0.6193387051958877,0.5581550430675187,0.684356765768269,1.0,0.5684356765768269,0.6089469297026951,0.5963323145318143,0.5312031119755488,0.5083078632953598,0.5854959711030842,0.6693525979438733,0.5882745207001945,0.5343706585162545,0.5603778827452071,0.6348985829397055,0.5039177549319256
T7_theta_power,0.5558766323978883,0.5527090858571826,0.5284801333703807,0.711308696860239,0.5884412336760211,0.7014170602945262,0.5684356765768269,1.0,0.8051681022506252,0.7342039455404279,0.7121978327313142,0.6208391219783274,0.7592108919144207,0.7210891914420673,0.7567657682689636,0.6663517643789941,0.6298971936649069,0.701083634342873,0.5887746596276744
C3_theta_power,0.643678799666574,0.6075020839121978,0.7227563212003334,0.8461794943039733,0.7414281744929146,0.8392886913031398,0.6089469297026951,0.8051681022506252,1.0,0.8040011114198389,0.7704918032786885,0.6376771325368158,0.7206446235065296,0.8714087246457349,0.8419005279244235,0.767657682689636,0.6900805779383162,0.6662961933870519,0.5860516810225063
Cz_theta_power,0.6861906085023618,0.6631286468463462,0.6137816060016671,0.7030286190608502,0.7728257849402612,0.7817727146429564,0.5963323145318143,0.7342039455404279,0.8040011114198389,1.0,0.8564045568213393,0.6278410669630453,0.7196443456515699,0.8026674076132259,0.8363434287302028,0.7894415115309809,0.7465407057515977,0.7378716310086135,0.6734648513475966
