,Fp1_theta_beta_ratio,Fp2_theta_beta_ratio,F7_theta_beta_ratio,F3_theta_beta_ratio,Fz_theta_beta_ratio,F4_theta_beta_ratio,F8_theta_beta_ratio,T7_theta_beta_ratio,C3_theta_beta_ratio,Cz_theta_beta_ratio,C4_theta_beta_ratio,T8_theta_beta_ratio,P7_theta_beta_ratio,P3_theta_beta_ratio,Pz_theta_beta_ratio,P4_theta_beta_ratio,P8_theta_beta_ratio,O1_theta_beta_ratio,O2_theta_beta_ratio
Fp1_theta_beta_ratio,1.0,0.7515600211528292,0.5827075621364357,0.6410364886303543,0.4786885245901639,0.5734531993654152,0.5878371232152301,0.5098889476467477,0.5783183500793231,0.38270756213643575,0.3784241142252776,0.45928080380750924,0.4375462718138551,0.267741935483871,0.39365415124272873,0.5250132205182443,0.4243786356425172,0.27609730301427815,0.4102591221575886
Fp2_theta_beta_ratio,0.7515600211528292,1.0,0.5130618720253834,0.5117398202009519,0.391485986250661,0.5833950290851402,0.5874669487043892,0.4534108937070333,0.4977260708619778,0.244420941300899,0.39439450026441036,0.38847170809095716,0.35224748810153356,0.28239026969857217,0.337123215230037,0.41739820200951877,0.4002644103648863,0.2437334743521946,0.3881544156530936
F7_theta_beta_ratio,0.5827075621364357,0.5130618720253834,1.0,0.5988894764674775,0.5809624537281861,0.4687466948704389,0.7377049180327869,0.52760444209413,0.6209941829719725,0.525542041248017,0.49936541512427285,0.4313061872025383,0.4064516129032258,0.3285563194077208,0.48646218931782126,0.5837652035959809,0.4621893178212586,0.3237969328397673,0.4632469592808038
F3_theta_beta_ratio,0.6410364886303543,0.5117398202009519,0.5988894764674775,1.0,0.7848757271285034,0.6398202009518773,0.6116869381279746,0.5347435219460603,0.7122157588577472,0.5549444738233739,0.4980962453728186,0.47054468535166577,0.48323638286620835,0.49698572184029616,0.5802221047065045,0.6387096774193548,0.4013749338974088,0.4706504494976203,0.5024854574299312
Fz_theta_beta_ratio,0.4786885245901639,0.391485986250661,0.5809624537281861,0.7848757271285034,1.0,0.6586462189317821,0.5833950290851402,0.4507667900581703,0.6403490216816499,0.5549973558963511,0.4601269169751454,0.2786356425171867,0.36694870438921207,0.3894764674775251,0.5431517715494447,0.6126916975145426,0.45256478053939714,0.4449497620306716,0.5216287678476996
F4_theta_beta_ratio,0.5734531993654152,0.5833950290851402,0.4687466948704389,0.6398202009518773,0.6586462189317821,1.0,0.49814912744579587,0.533474352194606,0.5675832892649392,0.4648863035430989,0.4118455843469064,0.45330512956107877,0.4745108408249603,0.49159175039661557,0.5329984135378106,0.5029085140137494,0.4949762030671602,0.5121099947117927,0.620888418826018
F8_theta_beta_ratio,0.5878371232152301,0.5874669487043892,0.7377049180327869,0.6116869381279746,0.5833950290851402,0.49814912744579587,1.0,0.4886832363828662,0.6392384981491275,0.48434690639873085,0.49836065573770494,0.4613960867265997,0.35240613432046536,0.382760444209413,0.5651507139079852,0.5836065573770491,0.5180856689582232,0.3711263881544157,0.433474352194606
T7_theta_beta_ratio,0.5098889476467477,0.4534108937070333,0.52760444209413,0.5347435219460603,0.4507667900581703,0.533474352194606,0.4886832363828662,1.0,0.649286092014807,0.5130618720253834,0.522104706504495,0.38767847699629826,0.443416181914331,0.5181914331041777,0.4662612374405077,0.45023796932839766,0.3493918561607615,0.46388154415653093,0.4946060285563194
C3_theta_beta_ratio,0.5783183500793231,0.4977260708619778,0.6209941829719725,0.7122157588577472,0.6403490216816499,0.5675832892649392,0.6392384981491275,0.649286092014807,1.0,0.7567424643046008,0.7038075092543628,0.38313061872025383,0.47303014278159705,0.7015864621893179,0.7050237969328398,0.6882601797990481,0.5387096774193548,0.6404019037546271,0.5737704918032787
Cz_theta_beta_ratio,0.38270756213643575,0.244420941300899,0.525542041248017,0.5549444738233739,0.5549973558963511,0.4648863035430989,0.48434690639873085,0.5130618720253834,0.7567424643046008,1.0,0.7656266525647806,0.3266525647805394,0.5020095187731359,0.6579587519830777,0.7727657324167108,0.6312004230565839,0.4950290851401375,0.4865679534637758,0.38096245372818616
C4_theta_beta_ratio,0.3784241142252776,0.39439450026441036,0.49936541512427285,0.4980962453728186,0.4601269169751454,0.4118455843469064,0.49836065573770494,0.522104706504495,0.7038075092543628,0.7656266525647806,1.0,0.38027498677948174,0.43262823902696984,0.6046536224219989,0.6762030671602327,0.6931253305129561,0.5675304071919619,0.4628239026969857,0.48164992067689055
T8_theta_beta_ratio,0.45928080380750924,0.38847170809095716,0.4313061872025383,0.47054468535166577,0.2786356425171867,0.45330512956107877,0.4613960867265997,0.38767847699629826,0.38313061872025383,0.3266525647805394,0.38027498677948174,1.0,0.48202009518773137,0.18212585933368589,0.3139608672659968,0.4058170280274987,0.6575885774722369,0.23278688524590163,0.41337916446324696
P7_theta_beta_ratio,0.4375462718138551,0.35224748810153356,0.4064516129032258,0.48323638286620835,0.36694870438921207,0.4745108408249603,0.35240613432046536,0.443416181914331,0.47303014278159705,0.5020095187731359,0.43262823902696984,0.48202009518773137,1.0,0.4982548915917504,0.522104706504495,0.5043892120571126,0.5423585404547858,0.32749867794817555,0.4518244315177155
P3_theta_beta_ratio,0.267741935483871,0.28239026969857217,0.3285563194077208,0.49698572184029616,0.3894764674775251,0.49159175039661557,0.382760444209413,0.5181914331041777,0.7015864621893179,0.6579587519830777,0.6046536224219989,0.18212585933368589,0.4982548915917504,1.0,0.7378106821787415,0.6276044420941301,0.32670544685351666,0.5847170809095716,0.4582760444209413
Pz_theta_beta_ratio,0.39365415124272873,0.337123215230037,0.48646218931782126,0.5802221047065045,0.5431517715494447,0.5329984135378106,0.5651507139079852,0.4662612374405077,0.7050237969328398,0.7727657324167108,0.6762030671602327,0.3139608672659968,0.522104706504495,0.7378106821787415,1.0,0.7272342675832892,0.4841353781068218,0.5545742993125331,0.49428873611845586
P4_theta_beta_ratio,0.5250132205182443,0.41739820200951877,0.5837652035959809,0.6387096774193548,0.6126916975145426,0.5029085140137494,0.5836065573770491,0.45023796932839766,0.6882601797990481,0.6312004230565839,0.6931253305129561,0.4058170280274987,0.5043892120571126,0.6276044420941301,0.7272342675832892,1.0,0.6110523532522475,0.5204653622421999,0.7147540983606557
P8_theta_beta_ratio,0.4243786356425172,0.4002644103648863,0.4621893178212586,0.4013749338974088,0.45256478053939714,0.4949762030671602,0.5180856689582232,0.3493918561607615,0.5387096774193548,0.4950290851401375,0.5675304071919619,0.6575885774722369,0.5423585404547858,0.32670544685351666,0.4841353781068218,0.6110523532522475,1.0,0.40111052353252247,0.6101533580116341
O1_theta_beta_ratio,0.27609730301427815,0.2437334743521946,0.3237969328397673,0.4706504494976203,0.4449497620306716,0.5121099947117927,0.3711263881544157,0.46388154415653093,0.6404019037546271,0.4865679534637758,0.4628239026969857,0.23278688524590163,0.32749867794817555,0.5847170809095716,0.5545742993125331,0.5204653622421999,0.40111052353252247,1.0,0.6323109465891062
O2_theta_beta_ratio,0.4102591221575886,0.3881544156530936,0.4632469592808038,0.5024854574299312,0.5216287678476996,0.620888418826018,0.433474352194606,0.4946060285563194,0.5737704918032787,0.38096245372818616,0.48164992067689055,0.41337916446324696,0.4518244315177155,0.4582760444209413,0.49428873611845586,0.7147540983606557,0.6101533580116341,0.6323109465891062,1.0
