,Fp1_theta_beta_ratio,Fp2_theta_beta_ratio,F7_theta_beta_ratio,F3_theta_beta_ratio,Fz_theta_beta_ratio,F4_theta_beta_ratio,F8_theta_beta_ratio,T7_theta_beta_ratio,C3_theta_beta_ratio,Cz_theta_beta_ratio,C4_theta_beta_ratio,T8_theta_beta_ratio,P7_theta_beta_ratio,P3_theta_beta_ratio,Pz_theta_beta_ratio,P4_theta_beta_ratio,P8_theta_beta_ratio,O1_theta_beta_ratio,O2_theta_beta_ratio
Fp1_theta_beta_ratio,1.0,0.7958877465962767,0.5996665740483468,0.7161433731592108,0.637454848569047,0.6811892192275633,0.4846901917199222,0.601333703806613,0.6229508196721312,0.4894137260350097,0.6363434287302029,0.47168657960544597,0.5677132536815782,0.6168380105584884,0.5254237288135594,0.6335093081411504,0.547985551542095,0.49874965268130034,0.3972214504028897
Fp2_theta_beta_ratio,0.7958877465962767,1.0,0.5692136704640178,0.6456237843845513,0.6273409280355654,0.6262850791886635,0.5143651014170603,0.5103639899972214,0.6487357599333148,0.4756876910252848,0.6301750486246179,0.6368435676576827,0.6464017782717422,0.544484579049736,0.546373992775771,0.6182828563489858,0.6274520700194498,0.5720477910530702,0.45768268963601
F7_theta_beta_ratio,0.5996665740483468,0.5692136704640178,1.0,0.48046679633231454,0.5114754098360655,0.4607946651847735,0.6302306196165601,0.4251736593498194,0.45395943317588217,0.4397888302306196,0.5122534037232565,0.4101139205334815,0.35337593776048903,0.42233953876076685,0.44562378438455125,0.3648235621005835,0.4375659905529314,0.39244234509585996,0.11203111975548763
F3_theta_beta_ratio,0.7161433731592108,0.6456237843845513,0.48046679633231454,1.0,0.7289247013059184,0.887579883300917,0.5527646568491248,0.6909141428174493,0.764156710197277,0.6345095859961101,0.7636010002778549,0.5519310919699917,0.6559044178938594,0.7071964434565157,0.7779383161989442,0.7659349819394277,0.5887190886357322,0.5594887468741317,0.423728813559322
Fz_theta_beta_ratio,0.637454848569047,0.6273409280355654,0.5114754098360655,0.7289247013059184,1.0,0.7470408446790775,0.5393720477910531,0.567379827729925,0.7718810780772437,0.7129758266185051,0.7524312308974715,0.5652681300361212,0.5753264795776605,0.7096415671019728,0.7497082522923034,0.7000277854959711,0.6394554042789664,0.5513753820505696,0.4425673798277299
F4_theta_beta_ratio,0.6811892192275633,0.6262850791886635,0.4607946651847735,0.887579883300917,0.7470408446790775,1.0,0.5883856626840789,0.7168102250625173,0.7609891636565713,0.6936926924145596,0.8354542928591275,0.6675743262017227,0.656348985829397,0.7271464295637677,0.752820227841067,0.8109474854126146,0.6223951097527091,0.5373714920811337,0.4916921367046402
F8_theta_beta_ratio,0.4846901917199222,0.5143651014170603,0.6302306196165601,0.5527646568491248,0.5393720477910531,0.5883856626840789,1.0,0.48235621005834955,0.54231731036399,0.4682411781050292,0.58866351764379,0.5264795776604613,0.38788552375659907,0.48958043901083637,0.45801611558766325,0.3802167268685746,0.48569046957488193,0.40844679077521534,0.2573492636843568
T7_theta_beta_ratio,0.601333703806613,0.5103639899972214,0.4251736593498194,0.6909141428174493,0.567379827729925,0.7168102250625173,0.48235621005834955,1.0,0.6606835232008892,0.6001667129758266,0.7078632953598222,0.5137538205056961,0.5686579605445957,0.652014448457905,0.6168935815504307,0.6509030286190608,0.47735482078355096,0.7039177549319255,0.5244790219505419
C3_theta_beta_ratio,0.6229508196721312,0.6487357599333148,0.45395943317588217,0.764156710197277,0.7718810780772437,0.7609891636565713,0.54231731036399,0.6606835232008892,1.0,0.6105584884690192,0.7841622672964712,0.6266185051403168,0.5637121422617394,0.6925257015837732,0.7015837732703529,0.690302861906085,0.5580994720755765,0.561989441511531,0.48869130313976106
Cz_theta_beta_ratio,0.4894137260350097,0.4756876910252848,0.4397888302306196,0.6345095859961101,0.7129758266185051,0.6936926924145596,0.4682411781050292,0.6001667129758266,0.6105584884690192,1.0,0.7710475131981106,0.513198110586274,0.4739094192831342,0.7655459849958322,0.7139761044734648,0.6737982772992498,0.5448180050013893,0.470075020839122,0.4257849402611837
