,frontal_delta_power_mean,frontal_theta_power_mean,frontal_alpha_power_mean,frontal_beta_power_mean,frontal_theta_beta_ratio,central_delta_power_mean,central_theta_power_mean,central_alpha_power_mean,central_beta_power_mean,central_theta_beta_ratio,parietal_delta_power_mean,parietal_theta_power_mean,parietal_alpha_power_mean,parietal_beta_power_mean,parietal_theta_beta_ratio,temporal_delta_power_mean,temporal_theta_power_mean,temporal_alpha_power_mean,temporal_beta_power_mean,temporal_theta_beta_ratio,occipital_delta_power_mean,occipital_theta_power_mean,occipital_alpha_power_mean,occipital_beta_power_mean,occipital_theta_beta_ratio
frontal_delta_power_mean,1.0,0.7236382866208355,0.3352723426758329,0.46562665256478053,0.29492332099418295,0.6941829719725013,0.49264939185616075,0.0597567424643046,0.3469592808038075,0.214806980433633,0.6496033844526705,0.5334214701216288,0.16795346377578002,0.3819672131147541,0.12083553675304072,0.5407191961924908,0.5246959280803808,0.2726599682707562,0.19021681649920677,0.3818085668958223,0.7219460602855632,0.5131676361713379,0.2150713907985193,0.25378106821787416,0.229613960867266
frontal_theta_power_mean,0.7236382866208355,1.0,0.5743521946060286,0.5958223162347964,0.3836065573770492,0.4427815970386039,0.6378106821787414,0.1718667371760973,0.4096774193548387,0.23717609730301428,0.5071919619249075,0.7351665785298783,0.29428873611845585,0.45335801163405604,0.2224748810153358,0.24806980433633,0.5073506081438393,0.3254891591750397,0.22897937599153886,0.3197250132205182,0.5556848228450555,0.5579587519830778,0.33342147012162876,0.29413008989952405,0.24283447911158118
frontal_alpha_power_mean,0.3352723426758329,0.5743521946060286,1.0,0.6178212585933368,-0.04902168164992068,0.16107879428873612,0.29793759915388685,0.6837652035959809,0.47329455314648333,-0.16885245901639345,0.3176097303014278,0.48011634056054997,0.7615547329455314,0.4386039132734003,-0.06483342147012162,0.09947117927022739,0.3423585404547858,0.7589106292966684,0.3768376520359598,0.02384981491274458,0.37043892120571126,0.45928080380750924,0.6187202538339502,0.3670544685351666,0.0493918561607615
frontal_beta_power_mean,0.46562665256478053,0.5958223162347964,0.6178212585933368,1.0,-0.4282919090428345,0.2982548915917504,0.41993654151242726,0.3615018508725542,0.7287149656266526,-0.2748281332628239,0.26224219989423586,0.4153358011634056,0.36641988365943945,0.6714436805922792,-0.32427287149656264,0.21322051824431518,0.39159175039661553,0.401427815970386,0.6269169751454257,-0.17932310946589106,0.37678476996298255,0.3490745637228979,0.34034902168164993,0.55579058699101,-0.20957165520888418
frontal_theta_beta_ratio,0.29492332099418295,0.3836065573770492,-0.04902168164992068,-0.4282919090428345,1.0,0.15621364357482814,0.1881544156530936,-0.19645690111052352,-0.3681121099947118,0.5586991010047594,0.21544156530936012,0.282760444209413,-0.09360126916975145,-0.28778424114225276,0.5973030142781597,0.05023796932839767,0.13585404547858276,-0.0678476996298255,-0.36721311475409835,0.5373876255949234,0.1586991010047594,0.20465362242199894,-0.0039132734003172924,-0.28625066102591223,0.5140666314119513
central_delta_power_mean,0.6941829719725013,0.4427815970386039,0.16107879428873612,0.2982548915917504,0.15621364357482814,1.0,0.6727128503437335,0.12469592808038076,0.38471708090957163,0.33918561607615016,0.7176097303014278,0.5141195134849286,0.15700687466948704,0.37641459545214173,0.09222633527234268,0.5836065573770491,0.47625594923320996,0.19925965097831835,0.27128503437334744,0.18053939714436806,0.6817028027498678,0.4351665785298784,0.12887361184558435,0.10243257535695399,0.3149656266525648
central_theta_power_mean,0.49264939185616075,0.6378106821787414,0.29793759915388685,0.41993654151242726,0.1881544156530936,0.6727128503437335,1.0,0.3026969857218403,0.4738762559492332,0.5482813326282391,0.4557377049180328,0.6794817556848228,0.2141195134849286,0.356795346377578,0.23061872025383395,0.37530407191961923,0.5724484399788472,0.228397673188789,0.31025912215758855,0.2398202009518773,0.4568482284505553,0.4445267054468535,0.19243786356425172,0.18714965626652566,0.2452141723955579
central_alpha_power_mean,0.0597567424643046,0.1718667371760973,0.6837652035959809,0.3615018508725542,-0.19645690111052352,0.12469592808038076,0.3026969857218403,1.0,0.5672131147540984,-0.20153358011634057,0.03373876255949233,0.18244315177154943,0.6576414595452141,0.33305129561078795,-0.2562136435748281,0.04526705446853517,0.2041776837652036,0.632258064516129,0.34812268640930727,-0.1598625066102591,0.11258593336858805,0.21401374933897407,0.4027498677948176,0.26996298254891593,-0.09365415124272872
central_beta_power_mean,0.3469592808038075,0.4096774193548387,0.47329455314648333,0.7287149656266526,-0.3681121099947118,0.38471708090957163,0.4738762559492332,0.5672131147540984,1.0,-0.3908514013749339,0.22258064516129034,0.3520888418826018,0.386409307244844,0.7195663670015865,-0.45552617662612377,0.2573241671073506,0.41084082496033847,0.4524590163934426,0.571602326811211,-0.1348492860920148,0.3246430460074035,0.30978318350079326,0.30407191961924906,0.5582760444209413,-0.22749867794817558
central_theta_beta_ratio,0.214806980433633,0.23717609730301428,-0.16885245901639345,-0.2748281332628239,0.5586991010047594,0.33918561607615016,0.5482813326282391,-0.20153358011634057,-0.3908514013749339,1.0,0.28794288736118456,0.33897408778424115,-0.18725542041248017,-0.33934426229508197,0.6842411422527763,0.19397144368059227,0.20380750925436278,-0.1718667371760973,-0.2955579058699101,0.4886832363828662,0.23934426229508196,0.19169751454257006,-0.12035959809624537,-0.37197250132205184,0.535483870967742
parietal_delta_power_mean,0.6496033844526705,0.5071919619249075,0.3176097303014278,0.26224219989423586,0.21544156530936012,0.7176097303014278,0.4557377049180328,0.03373876255949233,0.22258064516129034,0.28794288736118456,1.0,0.7441565309360126,0.311158117398202,0.3924378635642517,0.2821258593336859,0.5369645690111052,0.48096245372818613,0.2632469592808038,0.13558963511369646,0.37747223691168696,0.7746166049709149,0.5597567424643046,0.2657852987837123,0.07673188789000529,0.44569011105235323
parietal_theta_power_mean,0.5334214701216288,0.7351665785298783,0.48011634056054997,0.4153358011634056,0.282760444209413,0.5141195134849286,0.6794817556848228,0.18244315177154943,0.3520888418826018,0.33897408778424115,0.7441565309360126,1.0,0.46092014806980436,0.5038603913273401,0.38921205711263884,0.2790058170280275,0.5347435219460603,0.3479111581173982,0.2636700158646219,0.29888947646747754,0.6227921734531994,0.6817028027498678,0.42860920148069803,0.2589106292966684,0.40999471179270225
parietal_alpha_power_mean,0.16795346377578002,0.29428873611845585,0.7615547329455314,0.36641988365943945,-0.09360126916975145,0.15700687466948704,0.2141195134849286,0.6576414595452141,0.386409307244844,-0.18725542041248017,0.311158117398202,0.46092014806980436,1.0,0.4829190904283448,-0.09153886832363829,0.0723955579058699,0.254362771020624,0.7268112109994712,0.33828662083553673,-0.052829190904283445,0.3239026969857218,0.45240613432046534,0.7175568482284506,0.3419354838709677,0.0842411422527763
parietal_beta_power_mean,0.3819672131147541,0.45335801163405604,0.4386039132734003,0.6714436805922792,-0.28778424114225276,0.37641459545214173,0.356795346377578,0.33305129561078795,0.7195663670015865,-0.33934426229508197,0.3924378635642517,0.5038603913273401,0.4829190904283448,1.0,-0.5421470121628768,0.23516657852987838,0.376467477525119,0.42797461660497094,0.653146483342147,-0.24140666314119513,0.3736118455843469,0.3797990481226864,0.31634056054997356,0.5376520359598096,-0.1384981491274458
parietal_theta_beta_ratio,0.12083553675304072,0.2224748810153358,-0.06483342147012162,-0.32427287149656264,0.5973030142781597,0.09222633527234268,0.23061872025383395,-0.2562136435748281,-0.45552617662612377,0.6842411422527763,0.2821258593336859,0.38921205711263884,-0.09153886832363829,-0.5421470121628768,1.0,-0.006292966684294025,0.059439450026441035,-0.18783712321523005,-0.45959809624537284,0.5309360126916975,0.188841882601798,0.19719725013220518,-0.010047593865679535,-0.3379164463246959,0.5626123744050767
temporal_delta_power_mean,0.5407191961924908,0.24806980433633,0.09947117927022739,0.21322051824431518,0.05023796932839767,0.5836065573770491,0.37530407191961923,0.04526705446853517,0.2573241671073506,0.19397144368059227,0.5369645690111052,0.2790058170280275,0.0723955579058699,0.23516657852987838,-0.006292966684294025,1.0,0.8088841882601798,0.45457429931253307,0.3500793231094659,0.46060285563194076,0.5290322580645161,0.34806980433633,0.12808038075092543,0.24489687995769435,0.09624537281861449
temporal_theta_power_mean,0.5246959280803808,0.5073506081438393,0.3423585404547858,0.39159175039661553,0.13585404547858276,0.47625594923320996,0.5724484399788472,0.2041776837652036,0.41084082496033847,0.20380750925436278,0.48096245372818613,0.5347435219460603,0.254362771020624,0.376467477525119,0.059439450026441035,0.8088841882601798,1.0,0.6185087255420413,0.45965097831835006,0.5084611316763618,0.5080380750925436,0.5194077207826546,0.3367530407191962,0.352934955050238,0.1708090957165521
temporal_alpha_power_mean,0.2726599682707562,0.3254891591750397,0.7589106292966684,0.401427815970386,-0.0678476996298255,0.19925965097831835,0.228397673188789,0.632258064516129,0.4524590163934426,-0.1718667371760973,0.2632469592808038,0.3479111581173982,0.7268112109994712,0.42797461660497094,-0.18783712321523005,0.45457429931253307,0.6185087255420413,1.0,0.5004759386567953,0.12406134320465362,0.3544156530936013,0.46589106292966687,0.6239026969857219,0.4027498677948176,0.011845584346906399
temporal_beta_power_mean,0.19021681649920677,0.22897937599153886,0.3768376520359598,0.6269169751454257,-0.36721311475409835,0.27128503437334744,0.31025912215758855,0.34812268640930727,0.571602326811211,-0.2955579058699101,0.13558963511369646,0.2636700158646219,0.33828662083553673,0.653146483342147,-0.45959809624537284,0.3500793231094659,0.45965097831835006,0.5004759386567953,1.0,-0.44008461131676363,0.16171337916446324,0.18577472236911688,0.2537281861448969,0.4556848228450555,-0.21348492860920149
temporal_theta_beta_ratio,0.3818085668958223,0.3197250132205182,0.02384981491274458,-0.17932310946589106,0.5373876255949234,0.18053939714436806,0.2398202009518773,-0.1598625066102591,-0.1348492860920148,0.4886832363828662,0.37747223691168696,0.29888947646747754,-0.052829190904283445,-0.24140666314119513,0.5309360126916975,0.46060285563194076,0.5084611316763618,0.12406134320465362,-0.44008461131676363,1.0,0.3882072977260709,0.36668429402432573,0.09772607086197779,-0.1026969857218403,0.41972501322051825
occipital_delta_power_mean,0.7219460602855632,0.5556848228450555,0.37043892120571126,0.37678476996298255,0.1586991010047594,0.6817028027498678,0.4568482284505553,0.11258593336858805,0.3246430460074035,0.23934426229508196,0.7746166049709149,0.6227921734531994,0.3239026969857218,0.3736118455843469,0.188841882601798,0.5290322580645161,0.5080380750925436,0.3544156530936013,0.16171337916446324,0.3882072977260709,1.0,0.8120042305658381,0.5063458487572713,0.2897937599153887,0.47355896351136967
occipital_theta_power_mean,0.5131676361713379,0.5579587519830778,0.45928080380750924,0.3490745637228979,0.20465362242199894,0.4351665785298784,0.4445267054468535,0.21401374933897407,0.30978318350079326,0.19169751454257006,0.5597567424643046,0.6817028027498678,0.45240613432046534,0.3797990481226864,0.19719725013220518,0.34806980433633,0.5194077207826546,0.46589106292966687,0.18577472236911688,0.36668429402432573,0.8120042305658381,1.0,0.7313061872025384,0.42897937599153885,0.5020624008461132
occipital_alpha_power_mean,0.2150713907985193,0.33342147012162876,0.6187202538339502,0.34034902168164993,-0.0039132734003172924,0.12887361184558435,0.19243786356425172,0.4027498677948176,0.30407191961924906,-0.12035959809624537,0.2657852987837123,0.42860920148069803,0.7175568482284506,0.31634056054997356,-0.010047593865679535,0.12808038075092543,0.3367530407191962,0.6239026969857219,0.2537281861448969,0.09772607086197779,0.5063458487572713,0.7313061872025384,1.0,0.588630354309889,0.09238498149127446
occipital_beta_power_mean,0.25378106821787416,0.29413008989952405,0.3670544685351666,0.55579058699101,-0.28625066102591223,0.10243257535695399,0.18714965626652566,0.26996298254891593,0.5582760444209413,-0.37197250132205184,0.07673188789000529,0.2589106292966684,0.3419354838709677,0.5376520359598096,-0.3379164463246959,0.24489687995769435,0.352934955050238,0.4027498677948176,0.4556848228450555,-0.1026969857218403,0.2897937599153887,0.42897937599153885,0.588630354309889,1.0,-0.48402961396086724
occipital_theta_beta_ratio,0.229613960867266,0.24283447911158118,0.0493918561607615,-0.20957165520888418,0.5140666314119513,0.3149656266525648,0.2452141723955579,-0.09365415124272872,-0.22749867794817558,0.535483870967742,0.44569011105235323,0.40999471179270225,0.0842411422527763,-0.1384981491274458,0.5626123744050767,0.09624537281861449,0.1708090957165521,0.011845584346906399,-0.21348492860920149,0.41972501322051825,0.47355896351136967,0.5020624008461132,0.09238498149127446,-0.48402961396086724,1.0
