,frontal_delta_power_mean,frontal_theta_power_mean,frontal_alpha_power_mean,frontal_beta_power_mean,frontal_theta_beta_ratio,central_delta_power_mean,central_theta_power_mean,central_alpha_power_mean,central_beta_power_mean,central_theta_beta_ratio,parietal_delta_power_mean,parietal_theta_power_mean,parietal_alpha_power_mean,parietal_beta_power_mean,parietal_theta_beta_ratio,temporal_delta_power_mean,temporal_theta_power_mean,temporal_alpha_power_mean,temporal_beta_power_mean,temporal_theta_beta_ratio,occipital_delta_power_mean,occipital_theta_power_mean,occipital_alpha_power_mean,occipital_beta_power_mean,occipital_theta_beta_ratio
frontal_delta_power_mean,1.0,0.7358710752986941,0.5018060572381217,0.3951097527090859,0.4691858849680467,0.8130036121144762,0.5580439010836343,0.21583773270352877,0.2810780772436788,0.42534037232564603,0.7453181439288691,0.5850514031675466,0.394331758821895,0.45006946373992773,0.26551819949986105,0.6077799388719088,0.5453737149208113,0.3974437343706585,0.40138927479855513,0.2297304806890803,0.7155876632397888,0.5377604890247291,0.4675743262017227,0.39560989163656574,0.24201166990830786
frontal_theta_power_mean,0.7358710752986941,1.0,0.7583773270352876,0.623450958599611,0.5044734648513476,0.5726590719644346,0.8315643234231731,0.5012503473186997,0.5538205056960267,0.34898582939705475,0.5070853014726313,0.7786607390941929,0.620227841066963,0.648513475965546,0.2500138927479856,0.32258960822450683,0.683023061961656,0.5711030841900528,0.5348707974437343,0.23701028063350932,0.47057515976660186,0.5450958599611003,0.5653792720200056,0.49736037788274523,0.16554598499583217
frontal_alpha_power_mean,0.5018060572381217,0.7583773270352876,1.0,0.7375937760489025,0.1387607668796888,0.34715198666296193,0.6570714087246458,0.7987774381772714,0.7093081411503195,0.009724923589886079,0.2828007779938872,0.5686579605445957,0.8806335093081411,0.7474854126146152,-0.045123645457071405,0.13020283412058906,0.45607113086968604,0.8292303417616005,0.6240622395109753,-0.05657126979716588,0.25801611558766324,0.40622395109752707,0.7472075576549041,0.43262017227007504,0.07335370936371215
frontal_beta_power_mean,0.3951097527090859,0.623450958599611,0.7375937760489025,1.0,-0.2755209780494582,0.2500138927479856,0.5015282022784107,0.5477632675743263,0.7664906918588497,-0.2619060850236177,0.22689636010002778,0.43473186996387886,0.6599055293136983,0.845290358432898,-0.24167824395665463,0.08152264517921645,0.326146151708808,0.5583217560433453,0.7425395943317589,-0.26974159488746874,0.24290080577938317,0.35198666296193387,0.6579605445957211,0.5895526535148652,-0.10980828007779939
frontal_theta_beta_ratio,0.4691858849680467,0.5044734648513476,0.1387607668796888,-0.2755209780494582,1.0,0.4206168380105585,0.39972214504028897,-0.020839121978327314,-0.18894137260350097,0.8000555709919422,0.3844956932481245,0.43723256460127813,0.03989997221450403,-0.10525145873853849,0.6271186440677966,0.2919699916643512,0.4440677966101695,0.09491525423728814,-0.15198666296193386,0.6281189219227563,0.3272575715476521,0.28152264517921644,0.030119477632675744,-0.03362045012503473,0.36282300639066406
central_delta_power_mean,0.8130036121144762,0.5726590719644346,0.34715198666296193,0.2500138927479856,0.4206168380105585,1.0,0.5939983328702417,0.19966657404834676,0.2892470130591831,0.42211725479299805,0.8784662406223951,0.6935815504306752,0.37982772992497915,0.37126979716587943,0.42117254792998055,0.8411225340372326,0.7305362600722423,0.4451792164490136,0.36599055293136984,0.4366212836899139,0.8629063628785774,0.7273131425395943,0.4080022228396777,0.23067518755209782,0.4744651292025563
central_theta_power_mean,0.5580439010836343,0.8315643234231731,0.6570714087246458,0.5015282022784107,0.39972214504028897,0.5939983328702417,1.0,0.6383995554320645,0.6796332314531814,0.3504862461794943,0.4480133370380661,0.7925534870797444,0.6236176715754376,0.5752709085857183,0.3126424006668519,0.4217282578494026,0.8151153098082801,0.6843011947763268,0.533425951653237,0.3710475131981106,0.4182828563489858,0.5514309530425118,0.5163100861350375,0.33748263406501805,0.2605723812170047
central_alpha_power_mean,0.21583773270352877,0.5012503473186997,0.7987774381772714,0.5477632675743263,-0.020839121978327314,0.19966657404834676,0.6383995554320645,1.0,0.8097804945818283,-0.18716310086135038,0.03145318143928869,0.37899416504584604,0.8386218393998333,0.6242289524868019,-0.19783273131425397,0.056515698805223676,0.3812170047235343,0.8163378716310086,0.6061128091136426,-0.13287024173381495,0.011280911364267851,0.21767157543762156,0.58438455126424,0.30464017782717423,-0.034176160044456796
central_beta_power_mean,0.2810780772436788,0.5538205056960267,0.7093081411503195,0.7664906918588497,-0.18894137260350097,0.2892470130591831,0.6796332314531814,0.8097804945818283,1.0,-0.3507641011392053,0.12675743262017228,0.4385106974159489,0.7238677410391775,0.8181161433731592,-0.2682411781050292,0.1125868296749097,0.4027229786051681,0.6942484023339817,0.8031119755487636,-0.23395387607668797,0.1234231731036399,0.2721867185329258,0.567379827729925,0.4747429841622673,-0.11091969991664351
central_theta_beta_ratio,0.42534037232564603,0.34898582939705475,0.009724923589886079,-0.2619060850236177,0.8000555709919422,0.42211725479299805,0.3504862461794943,-0.18716310086135038,-0.3507641011392053,1.0,0.43828841344818004,0.4170047235343151,-0.07440955821061405,-0.24401222561822727,0.8111141983884412,0.39855515420950266,0.4784662406223951,0.04551264240066685,-0.2468463462072798,0.7517088080022228,0.4198388441233676,0.3703250903028619,0.013614893025840511,-0.1540983606557377,0.5499305362600723
