feature,ADHD_mean,Control_mean,ADHD_median,Control_median,p_value,cohen_d,abs_effect_size,p_fdr
F4_theta_beta_ratio,1.601112164313155,2.509954783383739,1.4575911830041044,2.3189675893086577,0.00014935397224288274,-0.8528758857004723,0.8528758857004723,0.01792247666914593
temporal_theta_beta_ratio,1.514803055762635,2.2804883101962243,1.4194359269863617,2.1504266841256285,0.0008189423559851537,-0.7427716083464501,0.7427716083464501,0.04913654135910922
T7_theta_beta_ratio,1.7309334161466767,2.6401842653656677,1.586814590176292,2.112067133344218,0.0037258859200405385,-0.6488130899457075,0.6488130899457075,0.11177657760121616
T8_theta_beta_ratio,1.4420690340263138,2.097026200275184,1.300862400816749,1.7075343796320308,0.004839345490858495,-0.6021146800996351,0.6021146800996351,0.11614429178060387
P4_theta_beta_ratio,2.0275286311650893,2.7620308868704515,1.8589029739385483,2.410626217228836,0.0220931113827207,-0.5691486787866357,0.5691486787866357,0.15551706965488643
Pz_theta_power,2339.107146427733,3516.1687869550033,1936.8777995262965,2899.3966698450586,0.023013463392490337,-0.5669469614324595,0.5669469614324595,0.15551706965488643
P7_theta_power,1867.3880140452568,3034.608366520183,1646.6930747745678,2362.432318099598,0.0032072889566406135,-0.5401973645958384,0.5401973645958384,0.11177657760121616
parietal_theta_power_mean,2214.830153486039,3315.2621485874356,1968.3849111091452,2292.9606000204503,0.049142709729841555,-0.49845245671835664,0.49845245671835664,0.19100997246090679
frontal_theta_beta_ratio,1.7385797215444936,2.1834440885938706,1.665833851422902,2.074739069822506,0.02667873938536461,-0.4812582659730799,0.4812582659730799,0.1684973013812502
O1_theta_power,3054.8820510410933,4346.228172674732,2680.0451940125267,3037.222839582681,0.038355743626737146,-0.46009955334271785,0.46009955334271785,0.17482246554713288
