group,feature_subset,feature_1,feature_2,spearman_r,abs_spearman_r
ADHD,channel,F3_beta_power,Fz_beta_power,0.8930195663670016,0.8930195663670016
ADHD,channel,F4_alpha_power,Fz_alpha_power,0.8818085668958223,0.8818085668958223
ADHD,channel,F4_beta_power,Fz_beta_power,0.8787414066631412,0.8787414066631412
ADHD,channel,F3_alpha_power,F4_alpha_power,0.8772078265468006,0.8772078265468006
ADHD,channel,F3_beta_power,F4_beta_power,0.8645690111052353,0.8645690111052353
ADHD,channel,P8_delta_power,P8_theta_power,0.8635642517186674,0.8635642517186674
ADHD,channel,P3_alpha_power,P4_alpha_power,0.8598096245372818,0.8598096245372818
ADHD,channel,F4_delta_power,O1_delta_power,0.8511898466419884,0.8511898466419884
ADHD,channel,F3_alpha_power,Fz_alpha_power,0.8498149127445795,0.8498149127445795
ADHD,channel,F8_delta_power,F8_theta_power,0.8474881015335801,0.8474881015335801
Control,channel,P4_beta_power,Pz_beta_power,0.8929702695193109,0.8929702695193109
Control,channel,C4_delta_power,Cz_delta_power,0.8895804390108364,0.8895804390108364
Control,channel,F3_theta_beta_ratio,F4_theta_beta_ratio,0.887579883300917,0.887579883300917
Control,channel,P3_theta_power,Pz_theta_power,0.8873575993331481,0.8873575993331481
Control,channel,O1_theta_power,P7_theta_power,0.8782439566546263,0.8782439566546263
Control,channel,F3_beta_power,F4_beta_power,0.8779661016949153,0.8779661016949153
Control,channel,F3_alpha_power,Fz_alpha_power,0.8716865796054459,0.8716865796054459
Control,channel,C3_theta_power,P3_theta_power,0.8714087246457349,0.8714087246457349
Control,channel,O1_delta_power,O1_theta_power,0.8659071964434565,0.8659071964434565
Control,channel,F3_alpha_power,C3_alpha_power,0.8653514865240345,0.8653514865240345
