group,feature_subset,feature_1,feature_2,spearman_r,abs_spearman_r
Control,channel,P8_beta_power,P8_theta_beta_ratio,-0.6128924701305918,0.6128924701305918
Control,channel,O1_beta_power,O1_theta_beta_ratio,-0.5642122811892192,0.5642122811892192
Control,channel,O2_beta_power,O2_theta_beta_ratio,-0.5176437899416505,0.5176437899416505
Control,channel,F3_theta_beta_ratio,F4_beta_power,-0.47529869408168934,0.47529869408168934
Control,channel,F4_beta_power,F4_theta_beta_ratio,-0.4744651292025563,0.4744651292025563
Control,channel,F3_beta_power,F3_theta_beta_ratio,-0.4739094192831342,0.4739094192831342
Control,channel,Fz_beta_power,Fz_theta_beta_ratio,-0.454459572103362,0.454459572103362
Control,channel,F3_beta_power,Fz_theta_beta_ratio,-0.45201444845790495,0.45201444845790495
Control,channel,F4_beta_power,Fz_theta_beta_ratio,-0.4514587385384829,0.4514587385384829
Control,channel,C3_beta_power,Fz_theta_beta_ratio,-0.443123089747152,0.443123089747152
