group,feature_subset,feature_1,feature_2,spearman_r,abs_spearman_r
ADHD,channel,F3_beta_power,Fz_beta_power,0.8930195663670016,0.8930195663670016
ADHD,channel,F4_alpha_power,Fz_alpha_power,0.8818085668958223,0.8818085668958223
ADHD,channel,F4_beta_power,Fz_beta_power,0.8787414066631412,0.8787414066631412
ADHD,channel,F3_alpha_power,F4_alpha_power,0.8772078265468006,0.8772078265468006
ADHD,channel,F3_beta_power,F4_beta_power,0.8645690111052353,0.8645690111052353
ADHD,channel,P8_delta_power,P8_theta_power,0.8635642517186674,0.8635642517186674
ADHD,channel,P3_alpha_power,P4_alpha_power,0.8598096245372818,0.8598096245372818
ADHD,channel,F4_delta_power,O1_delta_power,0.8511898466419884,0.8511898466419884
ADHD,channel,F3_alpha_power,Fz_alpha_power,0.8498149127445795,0.8498149127445795
ADHD,channel,F8_delta_power,F8_theta_power,0.8474881015335801,0.8474881015335801
