group,feature_subset,feature_1,feature_2,spearman_r,abs_spearman_r
Control,channel,P4_beta_power,Pz_beta_power,0.8929702695193109,0.8929702695193109
Control,channel,C4_delta_power,Cz_delta_power,0.8895804390108364,0.8895804390108364
Control,channel,F3_theta_beta_ratio,F4_theta_beta_ratio,0.887579883300917,0.887579883300917
Control,channel,P3_theta_power,Pz_theta_power,0.8873575993331481,0.8873575993331481
Control,channel,O1_theta_power,P7_theta_power,0.8782439566546263,0.8782439566546263
Control,channel,F3_beta_power,F4_beta_power,0.8779661016949153,0.8779661016949153
Control,channel,F3_alpha_power,Fz_alpha_power,0.8716865796054459,0.8716865796054459
Control,channel,C3_theta_power,P3_theta_power,0.8714087246457349,0.8714087246457349
Control,channel,O1_delta_power,O1_theta_power,0.8659071964434565,0.8659071964434565
Control,channel,F3_alpha_power,C3_alpha_power,0.8653514865240345,0.8653514865240345
