removed_feature,max_correlation_with_selected,most_correlated_selected_feature
F3_theta_beta_ratio,0.7802902875746066,F4_theta_beta_ratio
F4_theta_power,0.7507596310363538,Pz_theta_power
central_alpha_power_mean,0.8678513293543136,Cz_alpha_power
F4_alpha_power,0.7917254476397179,Cz_alpha_power
temporal_theta_beta_ratio,0.8247693977211069,T7_theta_beta_ratio
Pz_theta_beta_ratio,0.7739962018448182,parietal_theta_beta_ratio
parietal_delta_power_mean,0.7638090070537168,Fz_delta_power
C3_beta_power,0.7792457948996202,F3_beta_power
P4_theta_beta_ratio,0.7916033640803039,parietal_theta_beta_ratio
F3_theta_power,0.7931497558328812,Fz_theta_power
Fz_beta_power,0.8511394465545307,F3_beta_power
P3_theta_power,0.7990640260444927,Pz_theta_power
C4_theta_beta_ratio,0.7672951709169832,C3_theta_beta_ratio
central_theta_beta_ratio,0.855127509495388,C3_theta_beta_ratio
F7_delta_power,0.7977889310906131,F7_theta_power
temporal_delta_power_mean,0.833654367878459,T7_delta_power
O1_delta_power,0.8330982094411286,Fz_delta_power
Fp1_alpha_power,0.7737384698860553,F7_alpha_power
Cz_delta_power,0.8125339120998373,C4_delta_power
F4_delta_power,0.7585322843190451,Fz_delta_power
T8_beta_power,0.920604991861096,temporal_beta_power_mean
parietal_beta_power_mean,0.8185024416711882,P8_beta_power
P3_theta_beta_ratio,0.7524552360282148,parietal_theta_beta_ratio
occipital_theta_beta_ratio,0.8862452523060228,O1_theta_beta_ratio
central_beta_power_mean,0.753418339663592,F3_beta_power
P4_alpha_power,0.7889446554530657,P3_alpha_power
Fz_alpha_power,0.810865436787846,P3_alpha_power
P7_theta_power,0.7840884427563755,O1_theta_power
O1_alpha_power,0.7634427563754748,O2_alpha_power
occipital_delta_power_mean,0.8550732501356484,Fz_delta_power
T8_theta_power,0.9206185567010309,temporal_theta_power_mean
C4_beta_power,0.7644058600108519,Cz_beta_power
F4_beta_power,0.827807921866522,F3_beta_power
T7_beta_power,0.8292457948996201,temporal_beta_power_mean
O2_delta_power,0.7970564297341292,Fz_delta_power
F8_theta_power,0.7616793271839393,frontal_delta_power_mean
Pz_beta_power,0.7968393922951709,P4_beta_power
C3_delta_power,0.7711340206185567,P7_delta_power
Pz_delta_power,0.7746201844818231,P7_delta_power
occipital_alpha_power_mean,0.916956049918611,O2_alpha_power
central_delta_power_mean,0.9162642430819317,C4_delta_power
T7_alpha_power,0.8212696690179055,P7_alpha_power
Fp2_alpha_power,0.7704693434617471,Fp2_theta_power
F8_delta_power,0.8640124796527401,frontal_delta_power_mean
P3_beta_power,0.8002170374389582,P4_beta_power
Cz_theta_power,0.7968393922951709,Pz_theta_power
Fp2_theta_beta_ratio,0.8195469343461748,Fp1_theta_beta_ratio
parietal_alpha_power_mean,0.8517634291915356,P3_alpha_power
parietal_theta_power_mean,0.8693163320672816,P4_theta_power
Fp2_delta_power,0.8344275637547477,Fp2_theta_power
frontal_beta_power_mean,0.8518990775908845,F3_beta_power
P8_theta_beta_ratio,0.7816874660879002,parietal_theta_beta_ratio
O2_theta_power,0.7689636462289745,O1_theta_power
C3_alpha_power,0.7597531199131851,Cz_alpha_power
P3_delta_power,0.7934481823114488,P7_delta_power
occipital_theta_power_mean,0.9301410743353229,O1_theta_power
T7_theta_power,0.8374660879001627,temporal_theta_power_mean
central_theta_power_mean,0.8452251763429192,C3_theta_power
F3_delta_power,0.7714188822571894,frontal_delta_power_mean
P8_theta_power,0.8205100379815519,P8_delta_power
occipital_beta_power_mean,0.8876288659793814,O1_beta_power
frontal_alpha_power_mean,0.8332745523602821,F7_alpha_power
Fp1_delta_power,0.7790016277807922,frontal_delta_power_mean
F3_alpha_power,0.8279164405860011,P3_alpha_power
Fp1_theta_power,0.7560906131307651,Fp2_theta_power
temporal_alpha_power_mean,0.9159793814432989,T8_alpha_power
frontal_theta_power_mean,0.8282013022246337,Fp2_theta_power
frontal_theta_beta_ratio,0.8303309820944113,Fp1_theta_beta_ratio
