feature_set,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std
All EEG features,120,0.6757894736842105,0.07335263743235515,0.6766666666666665,0.0753100586792469,0.699043062200957,0.062402324032377506,0.6737777777777778,0.0941488183675186,0.6597435897435898,0.08083066446721629,0.7511111111111111,0.08213208272256146
Channel-level features,95,0.6136842105263158,0.0581906314150958,0.61,0.06299127903581496,0.6460528559249787,0.04122762148337593,0.681111111111111,0.05811865258054232,0.6036446886446886,0.05556917811220014,0.7066666666666667,0.08566371229953948
Regional mean features,25,0.6757894736842106,0.11935189712049153,0.6777777777777778,0.11292956397575032,0.6999521531100479,0.09313494872234748,0.7288888888888889,0.09178611745805948,0.6699999999999999,0.11372481406154654,0.7488888888888889,0.10508080371143903
Reduced features | threshold=0.6,8,0.7078947368421052,0.1040722101751852,0.7088888888888889,0.10520996056680727,0.7365969271003596,0.09023234454861784,0.7106666666666668,0.13966732961921685,0.6831080031080032,0.09855572437900047,0.8177777777777777,0.14582248636909262
Reduced features | threshold=0.7,12,0.6452631578947369,0.10876287455233255,0.6466666666666667,0.10585338101168493,0.6636363636363637,0.10068634985355243,0.7368888888888888,0.17310868633303939,0.6399999999999999,0.1057250101810247,0.711111111111111,0.15885392000588014
Reduced features | threshold=0.75,17,0.6652631578947368,0.1204607957972208,0.6677777777777778,0.11420146806692974,0.6929346092503987,0.09663470951379251,0.7231111111111111,0.08923930928121114,0.6566666666666666,0.11718930554164632,0.7488888888888889,0.10508080371143903
Reduced features | threshold=0.8,19,0.7178947368421053,0.08741279786116504,0.718888888888889,0.08177053107988486,0.7496833784064905,0.0802937290149779,0.7520000000000001,0.06900492020389327,0.6796794871794871,0.09246149935292206,0.8533333333333333,0.12927146286443544
Reduced features | threshold=0.85,24,0.6547368421052632,0.13371321691116145,0.6577777777777778,0.1279756921363498,0.6738585858585859,0.1345881328859387,0.7013333333333334,0.1348696673106812,0.6433333333333333,0.12454361128179603,0.731111111111111,0.185445742622445
Reduced features | threshold=0.9,25,0.6868421052631579,0.10670071017217522,0.6877777777777777,0.10020965676341763,0.7026697177726925,0.09402457358640263,0.7093333333333334,0.0941907704319691,0.676068376068376,0.10020068984446391,0.7488888888888889,0.13799266396675577
Single theta/beta ratio,1,0.5426315789473685,0.06056977844554021,0.5466666666666666,0.06091888960832353,0.5612364243943191,0.04984158070798249,0.5282222222222221,0.09787015837953145,0.5492424242424242,0.08166371501946584,0.5866666666666667,0.0748331477354788
All theta/beta ratio features,24,0.5531578947368421,0.11722081820908198,0.5544444444444444,0.11692563849845598,0.5964694857347974,0.07635495069613248,0.6182222222222222,0.13772328671544148,0.5675757575757576,0.11884661503945364,0.6488888888888888,0.09391354048495751
