feature_set,selected_feature,pretty_feature
All EEG features,Fp1_delta_power,Fp1_delta_power
All EEG features,Fp1_theta_power,Fp1 ${\theta}$ power
All EEG features,Fp1_alpha_power,Fp1_alpha_power
All EEG features,Fp1_beta_power,Fp1 ${\beta}$ power
All EEG features,Fp1_theta_beta_ratio,Fp1 ${\theta}/{\beta}$ ratio
All EEG features,Fp2_delta_power,Fp2_delta_power
All EEG features,Fp2_theta_power,Fp2_theta_power
All EEG features,Fp2_alpha_power,Fp2_alpha_power
All EEG features,Fp2_beta_power,Fp2_beta_power
All EEG features,Fp2_theta_beta_ratio,Fp2_theta_beta_ratio
All EEG features,F3_delta_power,F3_delta_power
All EEG features,F3_theta_power,F3 ${\theta}$ power
All EEG features,F3_alpha_power,F3_alpha_power
All EEG features,F3_beta_power,F3 ${\beta}$ power
All EEG features,F3_theta_beta_ratio,F3 ${\theta}/{\beta}$ ratio
All EEG features,F4_delta_power,F4_delta_power
All EEG features,F4_theta_power,F4 ${\theta}$ power
All EEG features,F4_alpha_power,F4_alpha_power
All EEG features,F4_beta_power,F4 ${\beta}$ power
All EEG features,F4_theta_beta_ratio,F4 ${\theta}/{\beta}$ ratio
All EEG features,C3_delta_power,C3_delta_power
All EEG features,C3_theta_power,C3 ${\theta}$ power
All EEG features,C3_alpha_power,C3_alpha_power
All EEG features,C3_beta_power,C3 ${\beta}$ power
All EEG features,C3_theta_beta_ratio,C3 ${\theta}/{\beta}$ ratio
All EEG features,C4_delta_power,C4_delta_power
All EEG features,C4_theta_power,C4 ${\theta}$ power
All EEG features,C4_alpha_power,C4_alpha_power
All EEG features,C4_beta_power,C4 ${\beta}$ power
All EEG features,C4_theta_beta_ratio,C4 ${\theta}/{\beta}$ ratio
All EEG features,P3_delta_power,P3_delta_power
All EEG features,P3_theta_power,P3 ${\theta}$ power
All EEG features,P3_alpha_power,P3_alpha_power
All EEG features,P3_beta_power,P3 ${\beta}$ power
All EEG features,P3_theta_beta_ratio,P3 ${\theta}/{\beta}$ ratio
All EEG features,P4_delta_power,P4_delta_power
All EEG features,P4_theta_power,P4_theta_power
All EEG features,P4_alpha_power,P4_alpha_power
All EEG features,P4_beta_power,P4_beta_power
All EEG features,P4_theta_beta_ratio,P4_theta_beta_ratio
All EEG features,O1_delta_power,O1_delta_power
All EEG features,O1_theta_power,O1_theta_power
All EEG features,O1_alpha_power,O1_alpha_power
All EEG features,O1_beta_power,O1_beta_power
All EEG features,O1_theta_beta_ratio,O1 ${\theta}/{\beta}$ ratio
All EEG features,O2_delta_power,O2_delta_power
All EEG features,O2_theta_power,O2 ${\theta}$ power
All EEG features,O2_alpha_power,O2_alpha_power
All EEG features,O2_beta_power,O2 ${\beta}$ power
All EEG features,O2_theta_beta_ratio,O2 ${\theta}/{\beta}$ ratio
All EEG features,F7_delta_power,F7_delta_power
All EEG features,F7_theta_power,F7 ${\theta}$ power
All EEG features,F7_alpha_power,F7_alpha_power
All EEG features,F7_beta_power,F7 ${\beta}$ power
