,central_theta_power_mean,temporal_theta_beta_ratio,central_alpha_power_mean,central_beta_power_mean,parietal_theta_power_mean,occipital_theta_beta_ratio,occipital_theta_power_mean,parietal_alpha_power_mean,central_theta_beta_ratio,parietal_delta_power_mean
central_theta_power_mean,1.0,0.45850515463917524,0.4741589799240369,0.5903553988062941,0.7437194791101465,0.38859196961475856,0.5755561584373304,0.4619099294628323,0.3818095496473142,0.42516277807921865
temporal_theta_beta_ratio,0.45850515463917524,1.0,-0.0939636462289745,-0.11639989148128052,0.5112995116657624,0.5686109603906674,0.4974905046120456,0.005425935973955507,0.6525094953879544,0.48012750949538796
central_alpha_power_mean,0.4741589799240369,-0.0939636462289745,1.0,0.6525908844275637,0.24583559413998915,0.03426478567552903,0.20809820944112858,0.7595632121540966,-0.22192078133478024,-0.014853499728703201
central_beta_power_mean,0.5903553988062941,-0.11639989148128052,0.6525908844275637,1.0,0.36105534454693433,-0.05031199131850244,0.31452794357026587,0.5410743353228432,-0.4392430819316332,0.14184753119913185
parietal_theta_power_mean,0.7437194791101465,0.5112995116657624,0.24583559413998915,0.36105534454693433,1.0,0.4933667932718394,0.813049376017363,0.5616115029842648,0.4076098752034726,0.7691399891481281
occipital_theta_beta_ratio,0.38859196961475856,0.5686109603906674,0.03426478567552903,-0.05031199131850244,0.4933667932718394,1.0,0.6594818231144872,0.21998100922409117,0.5602143244709712,0.4736163863266413
occipital_theta_power_mean,0.5755561584373304,0.4974905046120456,0.20809820944112858,0.31452794357026587,0.813049376017363,0.6594818231144872,1.0,0.5099158979924037,0.31805480195333696,0.7296663049376018
parietal_alpha_power_mean,0.4619099294628323,0.005425935973955507,0.7595632121540966,0.5410743353228432,0.5616115029842648,0.21998100922409117,0.5099158979924037,1.0,-0.08591969614758546,0.33990775908844273
central_theta_beta_ratio,0.3818095496473142,0.6525094953879544,-0.22192078133478024,-0.4392430819316332,0.4076098752034726,0.5602143244709712,0.31805480195333696,-0.08591969614758546,1.0,0.3675122083559414
parietal_delta_power_mean,0.42516277807921865,0.48012750949538796,-0.014853499728703201,0.14184753119913185,0.7691399891481281,0.4736163863266413,0.7296663049376018,0.33990775908844273,0.3675122083559414,1.0
