feature,control_mean,adhd_mean,adhd_minus_control,absolute_difference
central_parietal_beta_connectivity,0.22820506193691295,0.5693874610016095,0.3411823990646966,0.3411823990646966
central_parietal_alpha_connectivity,0.34091568251840626,0.6518753603579938,0.3109596778395875,0.3109596778395875
C4_P4_beta_connectivity,0.36351999058399914,0.6539708940803556,0.29045090349635644,0.29045090349635644
central_occipital_beta_connectivity,0.0619851506528663,0.3502455091261495,0.2882603584732832,0.2882603584732832
P4_Cz_beta_connectivity,0.21348024820236003,0.4968554069786776,0.2833751587763176,0.2833751587763176
C3_P3_beta_connectivity,0.3926029396550187,0.6658019539695668,0.27319901431454807,0.27319901431454807
central_occipital_alpha_connectivity,0.05608833669159337,0.3250889032422521,0.26900056655065874,0.26900056655065874
C4_O2_beta_connectivity,0.06344932119207423,0.33112738766766464,0.2676780664755904,0.2676780664755904
P4_Cz_alpha_connectivity,0.24583456030091588,0.509223186075524,0.2633886257746081,0.2633886257746081
C4_O2_alpha_connectivity,0.09469938680132288,0.35555985188175826,0.26086046508043537,0.26086046508043537
frontal_parietal_beta_connectivity,-0.08313485956343641,0.17578051572849293,0.2589153752919293,0.2589153752919293
C4_P4_alpha_connectivity,0.4164117500510969,0.6669885054479587,0.25057675539686186,0.25057675539686186
C3_O1_beta_connectivity,0.09297817899116213,0.3406811983840488,0.2477030193928867,0.2477030193928867
O2_Cz_beta_connectivity,0.045984900631800496,0.29264230323526746,0.24665740260346697,0.24665740260346697
C3_P3_alpha_connectivity,0.4512561984428375,0.6959172481861308,0.24466104974329328,0.24466104974329328
Cz_Pz_alpha_connectivity,0.24263578775165634,0.48058635637577496,0.23795056862411862,0.23795056862411862
Cz_Pz_theta_connectivity,0.303361392005627,0.5391317357608931,0.23577034375526612,0.23577034375526612
P3_Cz_alpha_connectivity,0.2079003945843262,0.44180818721587933,0.23390779263155315,0.23390779263155315
P3_Cz_theta_connectivity,0.2761691344417684,0.5085868925068128,0.2324177580650444,0.2324177580650444
O2_Cz_alpha_connectivity,0.037901285803766366,0.2668494118575516,0.22894812605378526,0.22894812605378526
C4_O2_theta_connectivity,0.22077472275009272,0.4451216595395216,0.22434693678942888,0.22434693678942888
P4_Cz_theta_connectivity,0.39048499030561906,0.6107276139901113,0.22024262368449227,0.22024262368449227
central_parietal_theta_connectivity,0.49279433518623583,0.7108473990742334,0.2180530638879976,0.2180530638879976
C3_P7_beta_connectivity,0.10682693946696124,0.32000597020315996,0.2131790307361987,0.2131790307361987
C4_P8_beta_connectivity,0.09094976513359634,0.30385732757469197,0.21290756244109563,0.21290756244109563
frontal_parietal_alpha_connectivity,-0.04099672711505116,0.16929162881059606,0.2102883559256472,0.2102883559256472
C4_P8_alpha_connectivity,0.17859847399356948,0.3880083510347658,0.2094098770411963,0.2094098770411963
C3_P7_alpha_connectivity,0.22500883013116857,0.43151663563872433,0.20650780550755576,0.20650780550755576
P4_F8_beta_connectivity,-0.022756964946668713,0.1781634009486842,0.2009203658953529,0.2009203658953529
P4_T8_beta_connectivity,0.24266947421752919,0.44229365188690595,0.19962417766937676,0.19962417766937676
Fz_Pz_beta_connectivity,0.1490922791172407,0.3485280138351156,0.1994357347178749,0.1994357347178749
P3_F7_beta_connectivity,0.0007641512585680447,0.19939850437858714,0.1986343531200191,0.1986343531200191
temporal_parietal_beta_connectivity,0.28964671069484715,0.4874445855696462,0.19779787487479905,0.19779787487479905
O1_Cz_alpha_connectivity,-0.03196497774194729,0.1653267800696538,0.19729175781160108,0.19729175781160108
P8_Cz_beta_connectivity,0.013623881264150213,0.21060159657989277,0.19697771531574257,0.19697771531574257
P3_Fz_beta_connectivity,0.077011821126524,0.27351681993106103,0.19650499880453703,0.19650499880453703
F3_P3_beta_connectivity,0.10136300430856061,0.2972342908548966,0.195871286546336,0.195871286546336
O2_Cz_theta_connectivity,0.17755270939202145,0.37337106265551634,0.1958183532634949,0.1958183532634949
C3_Pz_beta_connectivity,0.2649420406854151,0.4606747169118934,0.19573267622647827,0.19573267622647827
F4_P4_alpha_connectivity,0.051973292425796576,0.24726579722128145,0.19529250479548488,0.19529250479548488
frontal_occipital_beta_connectivity,-0.14122890370707977,0.05212668738431328,0.19335559109139305,0.19335559109139305
C3_O1_alpha_connectivity,0.1281148987704209,0.32145913177062535,0.19334423300020445,0.19334423300020445
P4_T8_alpha_connectivity,0.328212760210742,0.5207457047778108,0.19253294456706876,0.19253294456706876
C3_P4_alpha_connectivity,0.13738964304830734,0.3282194030571317,0.19082976000882437,0.19082976000882437
