feature,importance
central_parietal_beta_connectivity,0.08448686534978112
central_parietal_alpha_connectivity,0.08159327900792814
central_occipital_beta_connectivity,0.07664914022751648
frontal_occipital_beta_connectivity,0.041283309118174336
central_parietal_theta_connectivity,0.03911166002856663
frontal_occipital_delta_connectivity,0.03630067611276624
parietal_occipital_beta_connectivity,0.035135463143092016
central_occipital_alpha_connectivity,0.03436613474550736
central_occipital_theta_connectivity,0.03007166535903728
temporal_occipital_beta_connectivity,0.029042581886409412
frontal_parietal_alpha_connectivity,0.025228090749856918
frontal_parietal_delta_connectivity,0.025170627525881787
frontal_parietal_theta_connectivity,0.022223185472538487
temporal_parietal_beta_connectivity,0.021586421707960143
central_temporal_alpha_connectivity,0.021552718458374292
parietal_occipital_theta_connectivity,0.02096119891973519
temporal_occipital_theta_connectivity,0.02092118067512478
frontal_parietal_beta_connectivity,0.020919080432951275
frontal_occipital_theta_connectivity,0.019050574622998487
frontal_central_delta_connectivity,0.018408624105400225
central_temporal_theta_connectivity,0.017900862845876615
temporal_occipital_delta_connectivity,0.01747911875362058
parietal_occipital_delta_connectivity,0.017149367243440253
temporal_parietal_delta_connectivity,0.016898606821486188
central_parietal_delta_connectivity,0.016768504741163533
parietal_occipital_alpha_connectivity,0.016766909810040823
central_occipital_delta_connectivity,0.01588982031827896
frontal_central_theta_connectivity,0.01564142379078154
frontal_occipital_alpha_connectivity,0.015091634679604258
frontal_central_alpha_connectivity,0.015068873870116576
central_temporal_delta_connectivity,0.01479816864294626
frontal_temporal_theta_connectivity,0.014619661577349535
temporal_occipital_alpha_connectivity,0.014509948726279876
central_temporal_beta_connectivity,0.014349222712038121
frontal_temporal_alpha_connectivity,0.014138064222680716
temporal_parietal_theta_connectivity,0.01398214643310442
frontal_temporal_delta_connectivity,0.013404926085896458
frontal_temporal_beta_connectivity,0.013184564855520164
frontal_central_beta_connectivity,0.010004848144883309
temporal_parietal_alpha_connectivity,0.00829084807529125
