feature,channel_1,channel_2,band,control_mean_r,adhd_mean_r,delta_r,absolute_delta_r
F4_Cz_alpha_connectivity,F4,Cz,alpha,0.40254802431086045,0.1687460184467363,-0.23380200586412414,0.23380200586412414
C3_P3_alpha_connectivity,C3,P3,alpha,0.23088579799726885,0.46222965112859743,0.23134385313132858,0.23134385313132858
C4_P4_alpha_connectivity,C4,P4,alpha,0.2501819921124684,0.4520622738077563,0.20188028169528793,0.20188028169528793
F3_C3_alpha_connectivity,F3,C3,alpha,0.5032866685045755,0.30763742832325713,-0.19564924018131835,0.19564924018131835
F4_C4_alpha_connectivity,F4,C4,alpha,0.4499797695551304,0.25500809324038864,-0.19497167631474177,0.19497167631474177
Fp1_F3_alpha_connectivity,Fp1,F3,alpha,0.5473471713063003,0.7412332088681652,0.19388603756186495,0.19388603756186495
F3_Cz_alpha_connectivity,F3,Cz,alpha,0.028715417824898108,-0.15595614249237272,-0.18467156031727083,0.18467156031727083
F4_C3_alpha_connectivity,F4,C3,alpha,-0.07273206711517007,-0.24480498980340898,-0.17207292268823893,0.17207292268823893
C4_O2_alpha_connectivity,C4,O2,alpha,-0.13173663389315657,0.04011933350341735,0.1718559673965739,0.1718559673965739
F3_F7_alpha_connectivity,F3,F7,alpha,0.40841839329399726,0.5767238968682467,0.1683055035742494,0.1683055035742494
