feature,channel_1,channel_2,band,control_mean_r,adhd_mean_r,delta_r,absolute_delta_r
C3_P3_beta_connectivity,C3,P3,beta,0.1747145155916151,0.48533123380698245,0.31061671821536735,0.31061671821536735
C4_P4_beta_connectivity,C4,P4,beta,0.22002905005354623,0.4950723376591152,0.27504328760556895,0.27504328760556895
Fp1_F3_beta_connectivity,Fp1,F3,beta,0.353532055330126,0.6025643388650659,0.2490322835349399,0.2490322835349399
F3_Cz_beta_connectivity,F3,Cz,beta,0.023633574411347304,-0.206369187556638,-0.2300027619679853,0.2300027619679853
C4_O2_beta_connectivity,C4,O2,beta,-0.14144713638291273,0.08835208027479216,0.2297992166577049,0.2297992166577049
C3_Cz_beta_connectivity,C3,Cz,beta,0.06570250735250284,-0.15005018930352113,-0.21575269665602398,0.21575269665602398
F4_C3_beta_connectivity,F4,C3,beta,-0.04248437281963803,-0.2549945385420436,-0.2125101657224056,0.2125101657224056
F3_C4_beta_connectivity,F3,C4,beta,-0.07489126628716686,-0.28009601669350653,-0.20520475040633968,0.20520475040633968
P4_Cz_beta_connectivity,P4,Cz,beta,0.05748097992542538,0.25793765747695346,0.20045667755152807,0.20045667755152807
C3_O1_beta_connectivity,C3,O1,beta,-0.1572909276638257,0.03830256966032324,0.19559349732414896,0.19559349732414896
