feature,channel_1,channel_2,band,control_mean_r,adhd_mean_r,delta_r,absolute_delta_r
F4_Cz_delta_connectivity,F4,Cz,delta,0.6144157542331485,0.4140602707098696,-0.20035548352327892,0.20035548352327892
P3_Cz_delta_connectivity,P3,Cz,delta,-0.4631600506473858,-0.28389660636533487,0.17926344428205093,0.17926344428205093
F4_C4_delta_connectivity,F4,C4,delta,0.650320929323548,0.47317595935991524,-0.17714496996363277,0.17714496996363277
Cz_Pz_delta_connectivity,Cz,Pz,delta,-0.3319878731783645,-0.16129510408576134,0.17069276909260314,0.17069276909260314
Fp2_Cz_delta_connectivity,Fp2,Cz,delta,0.4087144720856852,0.25446050323681974,-0.15425396884886544,0.15425396884886544
Fp2_C4_delta_connectivity,Fp2,C4,delta,0.41158940892571355,0.26178745261537556,-0.149801956310338,0.149801956310338
F8_Cz_delta_connectivity,F8,Cz,delta,0.1769902358544741,0.03447259113739269,-0.1425176447170814,0.1425176447170814
Fp2_T8_delta_connectivity,Fp2,T8,delta,0.3430363068303817,0.20785328793423957,-0.13518301889614215,0.13518301889614215
F3_C3_delta_connectivity,F3,C3,delta,0.6252034258946604,0.49684686053009386,-0.12835656536456652,0.12835656536456652
F3_O1_delta_connectivity,F3,O1,delta,0.029266041734509647,-0.09906154724709855,-0.1283275889816082,0.1283275889816082
