feature,channel_1,channel_2,band,control_mean_r,adhd_mean_r,delta_r,absolute_delta_r
F4_Cz_theta_connectivity,F4,Cz,theta,0.4965780733172834,0.2411456905631598,-0.2554323827541236,0.2554323827541236
F4_C4_theta_connectivity,F4,C4,theta,0.5663944975195192,0.351226356435459,-0.21516814108406018,0.21516814108406018
P3_Cz_theta_connectivity,P3,Cz,theta,-0.2704710519927993,-0.07284146238354673,0.1976295896092526,0.1976295896092526
Cz_Pz_theta_connectivity,Cz,Pz,theta,-0.1425683273902589,0.04873906872276371,0.1913073961130226,0.1913073961130226
Fp1_F3_theta_connectivity,Fp1,F3,theta,0.5606748397406138,0.7402741219108318,0.17959928217021792,0.17959928217021792
F3_C3_theta_connectivity,F3,C3,theta,0.5669970860632075,0.3932243535074714,-0.1737727325557361,0.1737727325557361
C3_P3_theta_connectivity,C3,P3,theta,0.27451680134464046,0.4431491491801609,0.16863234783552045,0.16863234783552045
Fp2_Cz_theta_connectivity,Fp2,Cz,theta,0.1630834818178447,0.011204595970049714,-0.151878885847795,0.151878885847795
F3_Cz_theta_connectivity,F3,Cz,theta,0.005339489463090145,-0.14175103053330212,-0.14709051999639228,0.14709051999639228
Fp2_C4_theta_connectivity,Fp2,C4,theta,0.20606450629236808,0.05936010677963998,-0.1467043995127281,0.1467043995127281
