group,band,region_1,region_2,mean_pearson_r
Control,delta,frontal,central,-0.12066239810866744
Control,delta,frontal,temporal,-0.1685852242081206
Control,delta,frontal,parietal,-0.8276800584272687
Control,delta,frontal,occipital,-0.70911345662896
Control,delta,central,temporal,-0.08693907250799905
Control,delta,central,parietal,-0.2790842547750789
Control,delta,central,occipital,-0.23939797829092857
Control,delta,temporal,parietal,-0.1081862412412015
Control,delta,temporal,occipital,-0.22610549536523522
Control,delta,parietal,occipital,0.6587222986495507
Control,theta,frontal,central,-0.012625089573985846
Control,theta,frontal,temporal,-0.11874855473261242
Control,theta,frontal,parietal,-0.8681485157662456
Control,theta,frontal,occipital,-0.7026346974987181
Control,theta,central,temporal,-0.07215767227681333
Control,theta,central,parietal,-0.351594739197088
Control,theta,central,occipital,-0.4490424781145758
Control,theta,temporal,parietal,-0.036758321666027875
Control,theta,temporal,occipital,-0.1820319803565247
Control,theta,parietal,occipital,0.6879408954742453
Control,alpha,frontal,central,-0.04560919011687967
Control,alpha,frontal,temporal,-0.08552421162419681
Control,alpha,frontal,parietal,-0.863637446585153
Control,alpha,frontal,occipital,-0.6512230377199665
Control,alpha,central,temporal,-0.026286531823605547
Control,alpha,central,parietal,-0.33138850018221766
Control,alpha,central,occipital,-0.48961609394927946
Control,alpha,temporal,parietal,-0.07240189218945307
Control,alpha,temporal,occipital,-0.198981063327226
Control,alpha,parietal,occipital,0.6327052069850506
Control,beta,frontal,central,0.021253254917481864
Control,beta,frontal,temporal,-0.12696419379189638
Control,beta,frontal,parietal,-0.8196823939167609
Control,beta,frontal,occipital,-0.6619218358493674
Control,beta,central,temporal,0.03275474955902746
Control,beta,central,parietal,-0.36345924079473224
Control,beta,central,occipital,-0.3865168784864545
Control,beta,temporal,parietal,-0.08714931386918749
Control,beta,temporal,occipital,-0.24275535293253456
Control,beta,parietal,occipital,0.4936809864618686
ADHD,delta,frontal,central,-0.2450582242552767
ADHD,delta,frontal,temporal,-0.11885961639904362
ADHD,delta,frontal,parietal,-0.8275651368738736
ADHD,delta,frontal,occipital,-0.7182766617317211
ADHD,delta,central,temporal,-0.17729062741169377
ADHD,delta,central,parietal,-0.12154234843493435
ADHD,delta,central,occipital,-0.13223280318763625
ADHD,delta,temporal,parietal,-0.09668300488687794
ADHD,delta,temporal,occipital,-0.19887405244350986
ADHD,delta,parietal,occipital,0.6544416491444742
ADHD,theta,frontal,central,-0.18204103186411408
ADHD,theta,frontal,temporal,-0.14776722085931557
ADHD,theta,frontal,parietal,-0.8782736625995057
ADHD,theta,frontal,occipital,-0.715225037916388
ADHD,theta,central,temporal,-0.19391012179167894
ADHD,theta,central,parietal,-0.15173492112486364
ADHD,theta,central,occipital,-0.31101138909671283
ADHD,theta,temporal,parietal,0.02389047432862139
ADHD,theta,temporal,occipital,-0.10082353193721028
ADHD,theta,parietal,occipital,0.69577369719454
ADHD,alpha,frontal,central,-0.23440864375572631
ADHD,alpha,frontal,temporal,-0.07918066278197423
ADHD,alpha,frontal,parietal,-0.8800633251534856
ADHD,alpha,frontal,occipital,-0.6757788303257346
ADHD,alpha,central,temporal,-0.1200351657621348
ADHD,alpha,central,parietal,-0.10316506522797671
ADHD,alpha,central,occipital,-0.34410298724868077
ADHD,alpha,temporal,parietal,-0.04867179718206322
ADHD,alpha,temporal,occipital,-0.17087238798450086
ADHD,alpha,parietal,occipital,0.6601382119399902
ADHD,beta,frontal,central,-0.16050953765809187
ADHD,beta,frontal,temporal,-0.15218617942503596
ADHD,beta,frontal,parietal,-0.8118293103797124
ADHD,beta,frontal,occipital,-0.6672401596261451
ADHD,beta,central,temporal,-0.053049862162623876
ADHD,beta,central,parietal,-0.15693431758491583
ADHD,beta,central,occipital,-0.23549353091473493
ADHD,beta,temporal,parietal,-0.05601974153420473
ADHD,beta,temporal,occipital,-0.21511215105370335
ADHD,beta,parietal,occipital,0.4652784467205195
