feature,importance
P4_Cz_beta_connectivity,0.01985241586687807
Cz_Pz_alpha_connectivity,0.014379986673743676
C4_P4_beta_connectivity,0.012467057428476928
P3_Cz_beta_connectivity,0.011969907805646619
P3_Cz_theta_connectivity,0.010827356202513473
O1_Pz_beta_connectivity,0.010440407078981494
P4_Cz_alpha_connectivity,0.010217536701332196
C4_Pz_beta_connectivity,0.008666891787284078
O2_Cz_beta_connectivity,0.008116842421166517
C3_O2_theta_connectivity,0.007790931842163566
P4_Cz_theta_connectivity,0.0075064806468871535
Cz_Pz_beta_connectivity,0.007306614635640184
P3_Cz_alpha_connectivity,0.007274871870689949
P3_Pz_beta_connectivity,0.00701994685639331
C3_P4_alpha_connectivity,0.006874176637237363
C4_Pz_alpha_connectivity,0.006173961327776676
C3_P4_theta_connectivity,0.005887689883632795
C4_O2_beta_connectivity,0.005863549320264824
C4_P3_theta_connectivity,0.005761600343138638
C4_O1_beta_connectivity,0.005553572347417935
O1_P7_theta_connectivity,0.00536464704119442
C4_P4_alpha_connectivity,0.005291824783528484
O2_F8_beta_connectivity,0.005207171025059917
Cz_Pz_theta_connectivity,0.0051682734991702565
C3_P4_beta_connectivity,0.005148582749998092
C4_P3_alpha_connectivity,0.0050651581638609874
C3_Pz_beta_connectivity,0.005013253836544579
C3_O1_beta_connectivity,0.004834738869530895
F4_P3_theta_connectivity,0.004650886883122032
F4_T7_theta_connectivity,0.004644566438296588
F4_P3_alpha_connectivity,0.004633328385576693
C3_P3_beta_connectivity,0.004622016371030822
O1_T7_delta_connectivity,0.00424144048552451
C3_O2_alpha_connectivity,0.00414562819499145
Fp2_P8_alpha_connectivity,0.004098353072827172
T8_Pz_alpha_connectivity,0.004094732099610117
Fp2_F8_theta_connectivity,0.0038188916498677647
O1_P7_delta_connectivity,0.0037638859895797448
F3_P4_theta_connectivity,0.003615557771648222
T8_Fz_theta_connectivity,0.0035973595918150007
Fp2_F8_beta_connectivity,0.0035665253852116626
C3_O2_beta_connectivity,0.0035562083844183907
O1_Pz_alpha_connectivity,0.0035264293660577477
C4_Pz_delta_connectivity,0.0034778698864057285
C4_O2_alpha_connectivity,0.003388760550514847
C4_Pz_theta_connectivity,0.0033691360043982222
F3_O1_beta_connectivity,0.0033299479245288382
P4_O1_beta_connectivity,0.003315264387626206
Fp2_O1_theta_connectivity,0.003259638715135811
O2_Cz_alpha_connectivity,0.0032328560906580745
Fp2_F8_alpha_connectivity,0.0031836009819958657
P3_T8_delta_connectivity,0.0031777823883975356
P4_Fz_alpha_connectivity,0.0031450827803650486
P4_T8_beta_connectivity,0.0030872103918637055
Fp2_T7_alpha_connectivity,0.003065583020290891
F8_Fz_alpha_connectivity,0.0030556581685356647
T8_Pz_beta_connectivity,0.0030501048457580392
