feature,importance
C3_P3_beta_connectivity,0.06291220546617723
O1_Pz_alpha_connectivity,0.03986471375153562
C4_P4_beta_connectivity,0.0365649601521473
C3_Cz_beta_connectivity,0.022553551423570642
P4_Cz_beta_connectivity,0.021355636354680473
Fp1_F3_theta_connectivity,0.020524064341853915
F3_Fz_beta_connectivity,0.018993462608569132
P3_Pz_beta_connectivity,0.018027973756531323
F3_Fz_theta_connectivity,0.015358868973115882
C4_O2_beta_connectivity,0.014533809902398146
P3_P8_beta_connectivity,0.01431647301208257
P3_T8_beta_connectivity,0.012720539395001246
P3_Cz_delta_connectivity,0.011993142892934773
Fp1_Cz_alpha_connectivity,0.011186721221698451
C3_C4_beta_connectivity,0.010762538176438791
central_occipital_beta_connectivity,0.010403394209915389
Fp2_P3_beta_connectivity,0.009681939734437551
P3_Cz_theta_connectivity,0.009573171091327584
Fp2_C3_beta_connectivity,0.009525918809893357
O2_Cz_alpha_connectivity,0.00939094834991858
C4_Fz_alpha_connectivity,0.009267450371282982
O1_Pz_beta_connectivity,0.008652229072684956
Fp1_F3_alpha_connectivity,0.00852808999694128
central_parietal_beta_connectivity,0.00830919544715643
C3_T7_theta_connectivity,0.008079269144355977
T7_P8_alpha_connectivity,0.00794336733297267
P3_F8_beta_connectivity,0.007768636659145727
Fp2_P8_alpha_connectivity,0.006625084226805536
T7_Cz_beta_connectivity,0.006432857169309949
Fp1_F3_delta_connectivity,0.006386046024013726
F3_Cz_beta_connectivity,0.0063024190754931
F7_Fz_alpha_connectivity,0.0060935288705201785
O1_P7_theta_connectivity,0.006047139048922935
Fp1_F3_beta_connectivity,0.005900875343221381
Fp1_O1_alpha_connectivity,0.005657070327001586
F4_C3_beta_connectivity,0.005608657853921817
F3_Pz_delta_connectivity,0.005534061294607994
Fp2_P8_beta_connectivity,0.0053545487798997825
P4_P8_alpha_connectivity,0.00518736805138924
Fp1_C4_alpha_connectivity,0.0050893359582337705
F3_P4_beta_connectivity,0.005025075864188395
F4_P8_alpha_connectivity,0.004942655259384284
F8_Cz_delta_connectivity,0.004888895664869028
P3_P8_theta_connectivity,0.004874803698368225
P8_Pz_beta_connectivity,0.004855887005985133
P8_Cz_alpha_connectivity,0.004755663027249132
T8_P7_delta_connectivity,0.004685398254355192
F4_P7_theta_connectivity,0.0044024581113379126
central_temporal_beta_connectivity,0.004368448136949746
O1_T8_delta_connectivity,0.004204675452835814
C3_P7_alpha_connectivity,0.004144338702245685
T7_P7_beta_connectivity,0.004042163658118076
