feature,feature_level,band,node_1,node_2,n_ADHD,n_Control,ADHD_mean_r,Control_mean_r,mean_difference_r,ADHD_median_r,Control_median_r,ADHD_mean_z,Control_mean_z,U_statistic,p_value,cohen_d_z,abs_cohen_d_z,rank_biserial,abs_rank_biserial,p_fdr_all,p_fdr_within_level,p_fdr_within_level_band,significant_uncorrected,significant_fdr_all,significant_fdr_within_level,significant_fdr_within_level_band,direction
C3_P3_beta_connectivity,channel,beta,C3,P3,61,60,0.46391506734159654,0.15683966705323457,0.307075400288362,0.4565630655872785,0.18972570113459242,0.5299347790669844,0.17652553171011787,2943.0,8.056655361167927e-09,1.1474357864407252,1.1474357864407252,0.6081967213114754,0.6081967213114754,5.833018481485579e-06,5.510752267038862e-06,1.3776880667597156e-06,True,True,True,True,ADHD > Control
F4_C3_beta_connectivity,channel,beta,F4,C3,61,60,-0.2490985523815704,-0.04066657621648614,-0.20843197616508424,-0.2514328507012889,-0.0557103718376058,-0.26074747531417475,-0.042509960861459875,877.0,7.900119190546977e-07,-1.095047507814059,1.095047507814059,-0.5207650273224044,0.5207650273224044,7.74205367246215e-05,7.314315900502914e-05,1.8285789751257286e-05,True,True,True,True,Control > ADHD
F3_Cz_beta_connectivity,channel,beta,F3,Cz,61,60,-0.20010385663485478,0.021930708163277336,-0.2220345647981321,-0.2029156810640102,0.035559234930310255,-0.2093760373643125,0.023637976031431772,870.0,6.554901738160112e-07,-1.0736321552172103,1.0736321552172103,-0.5245901639344263,0.5245901639344263,7.74205367246215e-05,7.314315900502914e-05,1.8285789751257286e-05,True,True,True,True,Control > ADHD
P4_Cz_beta_connectivity,channel,beta,P4,Cz,61,60,0.2510008890775177,0.055134461501053236,0.1958664275764645,0.2574547046313709,0.049499766544187,0.2638978099835317,0.05754441265177106,2854.0,1.1212628969512715e-07,1.0707327335871655,1.0707327335871655,0.5595628415300546,0.5595628415300546,4.0589716869636034e-05,3.834719107573349e-05,9.586797768933372e-06,True,True,True,True,ADHD > Control
C3_Cz_beta_connectivity,channel,beta,C3,Cz,61,60,-0.1442103470384841,0.06278496049498768,-0.20699530753347178,-0.1386766026370055,0.0609760413761026,-0.1511917808879863,0.0657972949368015,835.0,2.528883609341912e-07,-1.0346533247884036,1.0346533247884036,-0.5437158469945356,0.5437158469945356,6.103039110545148e-05,5.7658546292995604e-05,1.4414636573248901e-05,True,True,True,True,Control > ADHD
F3_C4_beta_connectivity,channel,beta,F3,C4,61,60,-0.2726515764748715,-0.07008563369162754,-0.20256594278324394,-0.2551925067703679,-0.07831468398715845,-0.2877862602717782,-0.07503175362118059,880.0,8.554755439184695e-07,-1.0199465903862646,1.0199465903862646,-0.5191256830601093,0.5191256830601093,7.74205367246215e-05,7.314315900502914e-05,1.8285789751257286e-05,True,True,True,True,Control > ADHD
O2_Cz_beta_connectivity,channel,beta,O2,Cz,61,60,0.049408585705261784,-0.12470156991026289,0.17411015561552468,0.0385392075076088,-0.1408972192715918,0.05140224665917307,-0.1302497799901203,2754.0,1.6888770852951768e-06,0.9532766505241214,0.9532766505241214,0.5049180327868852,0.5049180327868852,0.0001222747009753708,0.0001155191926341901,2.8879798158547524e-05,True,True,True,True,ADHD > Control
P3_F8_beta_connectivity,channel,beta,P3,F8,61,60,-0.36542408783861574,-0.23368546697932516,-0.13173862085929058,-0.3714324907297444,-0.2180258756545935,-0.39401500356908775,-0.24324086235916803,904.0,1.6037849693642487e-06,-0.9451383857777845,0.9451383857777845,-0.5060109289617487,0.5060109289617487,0.0001222747009753708,0.0001155191926341901,2.8879798158547524e-05,True,True,True,True,Control > ADHD
C4_O2_beta_connectivity,channel,beta,C4,O2,61,60,0.08493622105708745,-0.13352086072024166,0.21845708177732912,0.0764086100945781,-0.17598849967413788,0.0885830578287914,-0.1424019495367009,2741.0,2.3574238787943404e-06,0.9360795890832727,0.9360795890832727,0.4978142076502732,0.4978142076502732,0.00015516135347700931,0.00014658890300866625,3.6647225752166564e-05,True,True,True,True,ADHD > Control
C4_P4_beta_connectivity,channel,beta,C4,P4,61,60,0.4642058437291594,0.19118778259890518,0.27301806113025423,0.5032722139655904,0.17477269519321276,0.5427573474612398,0.22368663681571502,2795.0,5.732212422068595e-07,0.9342076379969132,0.9342076379969132,0.5273224043715847,0.5273224043715847,7.74205367246215e-05,7.314315900502914e-05,1.8285789751257286e-05,True,True,True,True,ADHD > Control
C3_C4_beta_connectivity,channel,beta,C3,C4,61,60,-0.2713391428978044,-0.0935781455267651,-0.17776099737103931,-0.2794900415732222,-0.09246399022545346,-0.2884449858179479,-0.09793263385498527,855.0,4.3750965108587486e-07,-0.9284483371925635,0.9284483371925635,-0.5327868852459017,0.5327868852459017,7.74205367246215e-05,7.314315900502914e-05,1.8285789751257286e-05,True,True,True,True,Control > ADHD
Fp2_C3_beta_connectivity,channel,beta,Fp2,C3,61,60,-0.2671952388719955,-0.11379335293044943,-0.15340188594154605,-0.2649748553487409,-0.13506117124679257,-0.28128176445596154,-0.11768590274611503,976.0,9.662261999081527e-06,-0.9256212253615026,0.9256212253615026,-0.4666666666666667,0.4666666666666667,0.00041149868749029565,0.0004130617004607353,0.00011801762870306722,True,True,True,True,Control > ADHD
Fp1_F3_alpha_connectivity,channel,alpha,Fp1,F3,61,60,0.7055696550462083,0.4967366677710338,0.20883298727517446,0.746213557442648,0.54053806886034,0.9532108230810351,0.6145858960748048,2716.0,4.422137024409182e-06,0.9244638499600394,0.9244638499600394,0.4841530054644809,0.4841530054644809,0.0002462790158209422,0.0002326724403612216,0.0007561854311739702,True,True,True,True,ADHD > Control
C3_O1_beta_connectivity,channel,beta,C3,O1,61,60,0.03712407382753887,-0.1482703633390385,0.18539443716657739,0.0197719143731144,-0.15995495757933997,0.03832131723100943,-0.1586076785405749,2730.0,3.115365208192439e-06,0.9207162570809378,0.9207162570809378,0.4918032786885247,0.4918032786885247,0.00018796036756094382,0.00017757581686696903,4.4393954216742256e-05,True,True,True,True,ADHD > Control
Fp1_F3_beta_connectivity,channel,beta,Fp1,F3,61,60,0.5536112836780517,0.3247621184681015,0.2288491652099502,0.5544547809980317,0.36510779868116594,0.6971636374164181,0.3694745889781806,2689.0,8.566381101763486e-06,0.895440524154626,0.895440524154626,0.46939890710382515,0.46939890710382515,0.00041149868749029565,0.0004130617004607353,0.00011268085910781202,True,True,True,True,ADHD > Control
Fp1_F3_theta_connectivity,channel,theta,Fp1,F3,61,60,0.7032068459402934,0.5123863699568232,0.19082047598347018,0.7501527210504253,0.5649510538611999,0.9510855806677523,0.6338168867073342,2684.0,9.662261999081527e-06,0.8678396789224455,0.8678396789224455,0.46666666666666656,0.46666666666666656,0.00041149868749029565,0.0004130617004607353,0.0011808879981523612,True,True,True,True,ADHD > Control
