feature,feature_level,band,node_1,node_2,n_ADHD,n_Control,ADHD_mean_r,Control_mean_r,mean_difference_r,ADHD_median_r,Control_median_r,ADHD_mean_z,Control_mean_z,U_statistic,p_value,cohen_d_z,abs_cohen_d_z,rank_biserial,abs_rank_biserial,p_fdr_all,p_fdr_within_level,p_fdr_within_level_band,significant_uncorrected,significant_fdr_all,significant_fdr_within_level,significant_fdr_within_level_band,direction
central_parietal_beta_connectivity,regional,beta,central,parietal,61,60,-0.1503473372354771,-0.3368671504551731,0.18651981321969602,-0.138396239070823,-0.3336256854648946,-0.15824204297146224,-0.3808659281804214,2692.0,7.966985433144781e-06,0.8676145008194314,0.8676145008194314,0.4710382513661202,0.4710382513661202,0.00041149868749029565,0.0002230882603203842,7.96698543314478e-05,True,True,True,True,ADHD > Control
central_parietal_theta_connectivity,regional,theta,central,parietal,61,60,-0.14357123184017173,-0.33279664783163326,0.18922541599146153,-0.1384465367556082,-0.3654432726757017,-0.15291576581489713,-0.36726227960565383,2678.0,1.115441301601921e-05,0.8625602159192076,0.8625602159192076,0.46338797814207644,0.46338797814207644,0.0004352984596441212,0.0002230882603203842,0.0001115441301601921,True,True,True,True,ADHD > Control
central_occipital_beta_connectivity,regional,beta,central,occipital,61,60,-0.22855830514471973,-0.3727743649849956,0.14421605984027588,-0.2577105761763772,-0.4179971335507933,-0.23999765111226562,-0.40769864322658395,2650.0,2.1536172622427642e-05,0.8462698934651893,0.8462698934651893,0.4480874316939891,0.4480874316939891,0.0006236875591455045,0.00028714896829903523,0.00010768086311213821,True,True,True,True,ADHD > Control
central_occipital_theta_connectivity,regional,theta,central,occipital,61,60,-0.30218407241934486,-0.43236409729005987,0.130180024870715,-0.3227522279657097,-0.4602704080207795,-0.32166471503898086,-0.4835002719728998,2598.0,6.927347546293996e-05,0.7830148319142669,0.7830148319142669,0.4196721311475411,0.4196721311475411,0.0013931665620880147,0.0005493687706576668,0.00034636737731469976,True,True,True,True,ADHD > Control
central_parietal_alpha_connectivity,regional,alpha,central,parietal,61,60,-0.09666447027341947,-0.3060007515737845,0.20933628130036502,-0.0848332969248696,-0.38418751135246487,-0.10353341664827721,-0.34438724402827625,2617.0,4.5568634396075346e-05,0.7765296082067165,0.7765296082067165,0.4300546448087432,0.4300546448087432,0.0011497941435227442,0.00045568634396075345,0.00045568634396075345,True,True,True,True,ADHD > Control
frontal_central_beta_connectivity,regional,beta,frontal,central,61,60,-0.15566459766850732,0.020969898325002415,-0.17663449599350972,-0.164444997159027,0.029440901628858547,-0.1619096644608289,0.02125645582276979,1070.0,8.240531559865e-05,-0.7666981102991902,0.7666981102991902,-0.41530054644808745,0.41530054644808745,0.0016124715809033136,0.0005493687706576668,0.0002746843853288334,True,True,True,True,Control > ADHD
central_occipital_alpha_connectivity,regional,alpha,central,occipital,61,60,-0.329908933136813,-0.46852273456092,0.13861380142410695,-0.3313186278869542,-0.501813043775301,-0.3587391808511183,-0.5355552555859949,2563.0,0.00014626583585110095,0.741177912463658,0.741177912463658,0.4005464480874317,0.4005464480874317,0.00230209706861298,0.0008358047762920055,0.0007313291792555047,True,True,True,True,ADHD > Control
frontal_central_theta_connectivity,regional,theta,frontal,central,61,60,-0.17401040009005572,-0.011045241371615758,-0.16296515871843997,-0.2119598694108563,-0.014119993456724551,-0.18409286857550058,-0.01262576042130156,1160.0,0.0005190469048367496,-0.6936481861634943,0.6936481861634943,-0.36612021857923494,0.36612021857923494,0.005964919985742964,0.0025952345241837477,0.001730156349455832,True,True,True,True,Control > ADHD
frontal_central_alpha_connectivity,regional,alpha,frontal,central,61,60,-0.2140020607987985,-0.03426472247523418,-0.1797373383235643,-0.230031781279164,-0.0123599599816058,-0.23884937675797235,-0.04564085503328011,1198.0,0.0010613610075539265,-0.5686022542682091,0.5686022542682091,-0.34535519125683056,0.34535519125683056,0.009371041091085887,0.004717160033573006,0.0035378700251797552,True,True,True,True,Control > ADHD
central_parietal_delta_connectivity,regional,delta,central,parietal,61,60,-0.10959719986831058,-0.2570740231321594,0.1474768232638488,-0.118106652626798,-0.2714495821349796,-0.12214620635119636,-0.28668870133939245,2351.0,0.006969373637406005,0.5045535714377585,0.5045535714377585,0.2846994535519125,0.2846994535519125,0.040692149302273765,0.02534317686329456,0.06969373637406004,True,True,True,False,ADHD > Control
